full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
John Rutherford,,abortion,4,"Cosponsored the Life at Conception Act (H.R. 816) implementing 14th Amendment protections for pre-born humans and the Born-Alive Abortion Survivors Protection Act. Describes himself as a 'strong defender of the lives of the unborn.' Aligns with restricting abortion to serious health threats and limited cases rather than a complete ban with criminal penalties.",https://www.ontheissues.org/FL/John_Rutherford.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),"All life is sacred, period.","All life is sacred, period."
John Rutherford,,campaign-finance,4,"Voted against the For the People Act (2019 and 2021) which would have expanded campaign finance disclosures and established federal matching funds for small donations. Opposed requirements for presidential candidates to submit tax returns. Aligns with reducing restrictions on political donations and spending.",https://www.ontheissues.org/FL/John_Rutherford_Government_Reform.htm,https://ballotpedia.org/John_Rutherford_(Florida),,,,
John Rutherford,,civil-rights,4,"Voted against the Equality Act in both 2019 and 2021, against private lawsuits for school discrimination, and against ERA deadline extension. Voted with Trump 96.6% of the time. Aligns with limiting federal civil rights enforcement to clear cases of discrimination.",https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://www.ontheissues.org/FL/John_Rutherford_Civil_Rights.htm,https://ballotpedia.org/John_Rutherford_(Florida),,,
John Rutherford,,climate-change,5,"LCV lifetime score of 5% (0% in 2024 and 2025), with no pro-environment votes in 2024–2025. Criticized the Green New Deal as a 'socialist manifesto' and questions the scientific consensus on human causation of climate change. Consistently votes against clean air, clean energy, and methane pollution controls.",https://www.lcv.org/congressional-scorecard/moc/john-rutherford,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),,,
John Rutherford,,deportation,4,"Supports requiring illegal immigrants to return to their country of origin, defended Trump's family separation policy at the border, and opposes executive amnesty. Backs continued border wall construction and restrictions on entry from non-cooperating countries.",https://www.ontheissues.org/FL/John_Rutherford_Immigration.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),"First and foremost, strengthen wall along southern border.","First and foremost, strengthen wall along southern border."
John Rutherford,,fossil-fuels,4,"LCV lifetime score of 5% with consistent anti-environment votes including opposition to methane pollution limits, clean energy funding, and endangered species protections. His 2019 bipartisan moratorium on Gulf/Atlantic offshore drilling was specific to protecting Florida tourism, not a principled anti-fossil-fuel position. Overall record aligns with expanding fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/john-rutherford,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),,,
John Rutherford,,healthcare,4,"Describes the ACA as 'too big, too complex, too burdensome for small businesses.' Supported the unsuccessful 2017 ACA repeal effort. Advocates a market-driven approach to healthcare reform. Aligns with only helping the poorest afford care and leaving everyone else to employers and private insurance.",https://www.ontheissues.org/FL/John_Rutherford.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),,,
John Rutherford,,immigration,4,"'First and foremost, strengthen wall along southern border.' Opposes illegal immigration and executive amnesty, supports requiring undocumented immigrants to return to their country of origin, voted against the NO BAN Act. Supports increased high-skill worker visa caps but maintains restrictive posture toward undocumented residents.",https://www.ontheissues.org/FL/John_Rutherford_Immigration.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),"First and foremost, strengthen wall along southern border.","First and foremost, strengthen wall along southern border."
John Rutherford,,redistricting,5,"Voted against the For the People Act (2019 and 2021) which would have required states to establish independent nonpartisan redistricting commissions for congressional districts. His opposition aligns with leaving redistricting to the party that controls the state legislature without outside interference.",https://www.ontheissues.org/FL/John_Rutherford_Government_Reform.htm,https://ballotpedia.org/John_Rutherford_(Florida),,,,
John Rutherford,,school-vouchers,4,"Rated as 'Strongly Favors' school vouchers per VoteMatch analysis. Opposes federal education standards and voted against the Equity and Inclusion Enforcement Act. Aligns with expanding voucher eligibility to most families so parents can choose any school.",https://www.ontheissues.org/FL/John_Rutherford.htm,https://ballotpedia.org/John_Rutherford_(Florida),,,,
John Rutherford,,tariffs,3,"Voted for the USMCA Implementation Act (December 2019), favoring updated North American trade rules. Described as supporting trade deals that benefit American workers while opposing those that harm them. VoteMatch rates him as favoring free trade but his overall record suggests selective use of trade agreements.",https://www.ontheissues.org/FL/John_Rutherford_Free_Trade.htm,https://ballotpedia.org/John_Rutherford_(Florida),,,,
John Rutherford,,taxes,4,"Voted for the Tax Cuts and Jobs Act of 2017, cutting corporate tax rates from 35% to 21%. States 'Keep the government off our backs & out of our wallets' and opposes raising income taxes even to balance the budget. Advocates lower taxes to stimulate economic growth. Aligns with cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/FL/John_Rutherford.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),"Keep the government off our backs & out of our wallets.","Keep the government off our backs & out of our wallets."
John Rutherford,,voting-rights,4,"Voted against the For the People Act (2019, 2021) which would have implemented automatic voter registration, same-day registration, and no-fault absentee balloting. Opposed making Election Day a federal holiday, citing fraud concerns with same-day registration. Aligns with requiring photo ID and regularly purging inactive voter rolls.",https://www.ontheissues.org/FL/John_Rutherford_Government_Reform.htm,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://ballotpedia.org/John_Rutherford_(Florida),,,
