full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Lilliana Young,,healthcare,2,"Young's platform calls for the state to flex its muscle to force lower prices for medications and doctor visits, establish new mandatory essential health benefits for all insurance networks operating in Indiana, and expand Medicaid access. As a Medicaid recipient herself she has cited Medicaid cuts as a major problem facing Hoosiers — supporting an active state role without calling for a full single-payer system.",https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,https://www.progressiveindiana.net/p/portraits-and-perspectives-lilliana-b49,
Lilliana Young,,taxes,2,"Young advocates for a $20/hour minimum wage as her first legislative priority, public housing construction, and legalized marijuana to fund public healthcare and education — policies requiring significant new public spending. Her worker-first platform and democratic socialist self-identification indicate support for modestly to significantly increased taxes on higher earners to fund these programs, though she has not proposed specific tax rate changes.",https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,https://www.progressiveindiana.net/p/portraits-and-perspectives-lilliana,,
Lilliana Young,,same-sex-marriage,1,"Young explicitly stated she wants to enshrine marriage equality into the Indiana state constitution for both interracial and same-sex marriages, going further than simply defending existing federal protections. She also wants to codify LGBTQ protections broadly into the state constitution.",https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,https://www.progressiveindiana.net/p/portraits-and-perspectives-lilliana-b49,
Lilliana Young,,religious-freedom,2,"Young's platform to enshrine LGBTQ protections into the state constitution and repeal all anti-trans legislation implies support for limiting religious exemptions where they conflict with civil rights for LGBTQ individuals. Her work on the Bloomington/Monroe County Human Rights Commission and advocacy for a 'safe haven' resolution for gender-affirming care both reflect a stance that religious freedom should not override anti-discrimination protections.",https://bloomingtonian.com/2025/09/26/lillian-young-launches-campaign-for-indiana-house-with-bloomington-town-hall-on-trans-rights/,https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,
Lilliana Young,,trans-athletes,1,"Young founded The Sisterhood (a mutual aid hub and advocacy organization for transgender women in Bloomington) and stated: 'I want to see all of the anti-trans legislation in the state get repealed. I want to pursue codifying into the state constitution LGBTQ protections.' She helped pass Bloomington's 2024 safe-haven resolution for gender-affirming care and has made transgender rights a signature issue of her campaign.",https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,
Lilliana Young,,medicare,2,"Young cites Medicaid cuts as a major problem facing Hoosiers and, as a Medicaid recipient herself, supports expanded access to state Medicaid. Her healthcare platform calls for mandatory essential health benefits and lowering costs — indicating support for significant Medicaid expansion without explicitly calling for Medicare for All or full program universalization.",https://www.idsnews.com/article/2026/03/bloomington-indiana-district-state-candidates-democratic-primary-lilliana-young-matt-pierce,https://www.progressiveindiana.net/p/portraits-and-perspectives-lilliana-b49,
Lilliana Young,,fossil-fuels,2,"At a March 2026 public forum Young called for legislation to give Indiana's Department of Environmental Management more enforcement support and stated corporations should be 'cleaning up their own messes.' She also disapproved of data center expansion and expressed concern about electric cost spikes for Hoosiers — indicating a position closer to stopping new fossil fuel permits than unrestricted extraction.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://www.idsnews.com/article/2026/03/indiana-house-county-commissioner-candidates-forum-affordability-ice,
Lilliana Young,,deportation,2,"Young explicitly opposed Indiana Senate Bill 76 — the 'Fairness Act' mandating local government and school cooperation with federal immigration enforcement and ICE detainer requests — stating her opposition at multiple forums. Her opposition to all local enforcement cooperation with immigration authorities indicates she supports deporting only serious violent offenders at most.",https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,https://www.idsnews.com/article/2026/03/bloomington-indiana-district-state-candidates-democratic-primary-lilliana-young-matt-pierce,
Lilliana Young,,climate-change,2,"Young called for strengthening Indiana's IDEM environmental enforcement and making corporations accountable for cleaning up environmental damage. While she has not declared a climate emergency or proposed a full fossil fuel phase-out, her platform includes significantly stronger regulatory enforcement and corporate accountability, placing her closer to rapid transition than market-based solutions.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,,
Lilliana Young,,civil-rights,2,"Young serves on the Bloomington/Monroe County Human Rights Commission, founded The Sisterhood for transgender women, helped pass Bloomington's 2024 gender-affirming care safe-haven resolution, and states she advocates for 'the dignity of marginalized communities.' Her platform includes enshrining LGBTQ protections into the state constitution and protecting immigrants and trans people from what she calls government 'bullying and bulldozing.'",https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,https://www.idsnews.com/article/2025/10/lilliana-young-challenging-demoncratic-primary,
