full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Matt Pierce,,healthcare,2,"Pierce identifies affordability as 'the biggest issue Hoosiers face,' citing healthcare alongside childcare and college costs as priorities. He describes himself as 'a progressive voice that fights hard to make sure that average Hoosier families have things like health care.' His advocacy focuses on cost regulation and access expansion rather than single-payer, consistent with a public option or strong regulatory position.",https://www.idsnews.com/article/2026/03/bloomington-indiana-district-state-candidates-democratic-primary-lilliana-young-matt-pierce,https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,
Matt Pierce,,abortion,2,"Pierce filed amendment #64 opposing Indiana's near-total abortion ban SB1 during the August 2022 special session and argued the bill was 'such bad public policy and just not ready for prime time, that it doesn't make sense to continue.' His amendment was defeated 38-62. He has introduced physician-assisted death legislation (HB1011) for eight consecutive years, reinforcing a strong bodily autonomy position. Record is consistent with keeping abortion legal and broadly accessible.",https://iga.in.gov/legislative/2022ss1/bills/senate/1,https://legiscan.com/IN/bill/HB1011/2026,
Matt Pierce,,taxes,2,"Pierce has criticized Republican budgets that 'give tax dollars to private or charter schools' while cutting childcare and Medicaid funding, calling for public investment in services for working families. He opposed utility rate structures that favor corporate profits over customers. His platform reflects support for modestly progressive taxation with public spending oriented toward healthcare, education, and affordability.",https://indianacapitalchronicle.com/2025/04/25/republicans-finalize-44-billion-budget-while-democrats-point-to-missed-opportunities/,https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,
Matt Pierce,,same-sex-marriage,1,"In 2020 Pierce attempted to introduce an amendment to overturn Indiana's same-sex marriage ban, causing House Speaker Bosma to kill the entire child marriage ban bill rather than allow the vote. This demonstrates Pierce's willingness to actively push for full marriage equality, not merely permit it, and his advocacy for comprehensive federal recognition and equal treatment under law.",https://en.wikipedia.org/wiki/Same_sex_marriage_in_Indiana,,
Matt Pierce,,trans-athletes,1,"Pierce directly intervened to kill a transgender bathroom bill in committee by speaking against it to the committee chair, stating 'every little kind of push, and behind-the-scenes discussion that you can do is helpful because that can help maybe stop bad legislation from becoming law.' His consistent opposition to anti-trans legislation places him at the most protective end of the scale.",https://www.idsnews.com/article/2026/03/bloomington-indiana-district-state-candidates-democratic-primary-lilliana-young-matt-pierce,,
Matt Pierce,,fossil-fuels,2,"As ranking member of the Indiana House Utilities, Energy and Telecommunications Committee, Pierce has consistently opposed fossil fuel cost expansion. He expressed sadness that SB277 (2025-26) prevents Indiana from setting stricter environmental standards than federal law, and opposed charging ratepayers for failed nuclear projects. He has opposed data center energy expansion that raises electricity costs for residents. His position favors stopping new fossil fuel permits rather than an immediate ban.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce,https://indianacapitalchronicle.com/2026/01/21/affordable-electricity-bill-moves-to-house-floor-after-spate-of-edits/
Matt Pierce,,voting-rights,2,"Pierce introduced an amendment for a nonpartisan redistricting commission and called passage of the Republican gerrymandered congressional map 'the saddest day I have ever experienced in the Indiana House of Representatives.' He serves on the Elections and Apportionment Committee and has consistently supported expanding voter access. His overall record reflects support for broad access to voting including mail-in and early voting expansions.",https://www.indianahousedemocrats.org/news/pierce-reacts-to-the-house-passage-of-republicans-gerrymandered-congressional-map,https://indianacapitalchronicle.com/2025/12/05/indiana-house-approves-redistricting-bill-sending-issue-to-state-senate/,
Matt Pierce,,deportation,2,"Pierce strongly opposed Indiana SB76 (February 2026) requiring state entities to assist ICE, stating: 'Why do we want to give our full, complete compliance to an organization that has proven itself to be poorly trained, incompetent, not able to follow our laws or constitution, and has caused the deaths of innocent U.S. citizens?' He also proposed amendments requiring ICE officers to remove masks, indicating strong opposition to mass deportation and support for limiting enforcement to serious violent crimes.",https://www.indianahousedemocrats.org/news/pierce-rejects-bill-forcing-all-levels-of-state-government-schools-and-universities-to-assist-ice,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce,
Matt Pierce,,climate-change,2,"Pierce opposed SB277 (2026) that prevents Indiana from implementing environmental protections stricter than federal standards, expressing sadness at the legislature's 'lack of commitment to environmental protection.' As ranking member of Utilities, Energy and Telecommunications Committee he has consistently pushed for cleaner energy transition and opposed policies that favor fossil fuel industry interests over public health and ratepayer welfare.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce,
Matt Pierce,,civil-rights,2,"Pierce raised concerns about racial gerrymandering stating Republican maps have 'a very profound impact on the minority voters of Marion County and up in Lake County.' He called IU's arrest of peaceful protesters 'a textbook violation of the First Amendment' (April 2024) and demanded charges be dropped. His record reflects strong civil rights enforcement and opposition to systemic discrimination, though no evidence of reparations support was found.",https://indianacapitalchronicle.com/2025/12/05/indiana-house-approves-redistricting-bill-sending-issue-to-state-senate/,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce,
Matt Pierce,,housing,2,"Pierce opposed SB285 (2026) to criminalize homelessness, arguing it 'hides the problem of homelessness rather than solving it' and instead advocating for 'residential treatment facilities so people experiencing homelessness have access to care.' He frames affordable housing as a core affordability issue: ensuring 'average Hoosier families can afford housing' is a central campaign commitment.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://www.ipm.org/news/2026-02-18/rep-pierce-faces-first-primary-challenger-in-more-than-20-years,
Matt Pierce,,immigration,2,"Pierce strongly opposed SB76 (February 2026) requiring state compliance with ICE, calling the agency 'poorly trained, incompetent' and a 'deadly force that's spreading chaos and violence.' He proposed requiring ICE officers to unmask during enforcement actions. His stance reflects support for significantly expanded legal pathways and sharp limits on state cooperation with federal deportation efforts.",https://www.indianahousedemocrats.org/news/pierce-rejects-bill-forcing-all-levels-of-state-government-schools-and-universities-to-assist-ice,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce,
Matt Pierce,,ai-regulation,4,"Pierce served on Indiana's AI legislative task force and opposed a proposed 10-year federal moratorium on state AI laws, stating it would mean 'artificial intelligence technology will be completely unregulated' and that 'States need to be able to step up.' However, he also cautioned: 'If we don't fully understand the potential bad things and we legislate in not the best way, we might stifle some innovation.' This reflects a pro-oversight but measured, light-touch regulatory stance — not heavy pre-approval mandates.",https://www.wfyi.org/news/articles/indiana-legislative-task-force-grapples-with-legal-questions-around-ai,,
Matt Pierce,,redistricting,1,"Pierce introduced an amendment to create an independent nonpartisan redistricting commission, stating 'The eyes are upon us for the moment. We have an opportunity to make a real statement.' He called the Republican gerrymander 'the saddest day I have ever experienced in the Indiana House' and specifically accused the maps of diluting minority voter power. His proposal explicitly removes all elected officials from the mapmaking process.",https://www.indianahousedemocrats.org/news/pierce-reacts-to-the-house-passage-of-republicans-gerrymandered-congressional-map,https://indianacapitalchronicle.com/2025/12/05/indiana-house-approves-redistricting-bill-sending-issue-to-state-senate/,https://legiscan.com/IN/rollcall/HB1032/id/1609931
Matt Pierce,,school-vouchers,5,"Pierce has called Indiana's school choice program 'a very deliberate incremental system to divert money away from our public schools,' opposing vouchers for more than a decade. He argues society benefits when public schools bring together all students regardless of class. He has explicitly opposed state budget allocations of 'tax dollars to private or charter schools' and fought universal voucher expansion at every stage.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://indianacapitalchronicle.com/2025/04/25/republicans-finalize-44-billion-budget-while-democrats-point-to-missed-opportunities/,
Matt Pierce,,data-center-energy,5,"Pierce has been among the most vocal opponents of Indiana's data center expansion legislation. He argued developers and utilities are trying to make local governments 'unable to say no' to data centers despite widespread public opposition. He raised concerns that data centers will drive up electricity bills for ordinary ratepayers and that the 1% local revenue incentive was designed to overcome community resistance. He opposed HB1002 amendments that failed to address data center cost shifting.",https://indianacapitalchronicle.com/2026/03/26/that-1-incentive-to-encourage-data-center-approvals-final-deal-watered-it-down/,https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,https://www.indianahousedemocrats.org/news/category/Rep.+Matt+Pierce
Matt Pierce,,criminalization-of-homelessness,1,"Pierce explicitly opposed SB285 (signed into law March 2026), the bill criminalizing public camping, stating it 'hides the problem of homelessness rather than solving it.' He argued for residential treatment facilities instead of jails, stating jails should not be 'the number one health provider in the community.' He supports fully funded mental health and substance use treatment as the alternative to criminalization.",https://www.idsnews.com/article/2026/03/democratic-candidates-bloomington-state-house-election-public-forum,,
Matt Pierce,,childcare,2,"Pierce consistently cites childcare as one of the three biggest affordability issues facing Hoosiers alongside healthcare and college costs. He has criticized Republican budgets for failing to fund Medicaid waiver waitlists and childcare while providing tax benefits to wealthy families. He supports significant expansion of public childcare assistance as a core economic priority, though he has not explicitly called for a universal public childcare guarantee.",https://www.idsnews.com/article/2026/03/bloomington-indiana-district-state-candidates-democratic-primary-lilliana-young-matt-pierce,https://indianacapitalchronicle.com/2025/04/25/republicans-finalize-44-billion-budget-while-democrats-point-to-missed-opportunities/,
