external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-21006,Garland Barr,abortion,4,"Barr voted YES on the Pain-Capable Unborn Child Protection Act banning abortion after 20 weeks with only a maternal-life exception, and co-sponsored the Born-Alive Abortion Survivors Protection Act. He has consistently opposed all federal abortion funding. The 20-week ban's single exception (maternal life) fits stance 4 — restricting abortion to serious threats to the mother's life — though he has also backed the Life at Conception Act.",https://www.ontheissues.org/House/Andy_Barr_Abortion.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,I consider myself pro-life,I consider myself pro-life
-21006,Garland Barr,healthcare,5,"Barr signed the Contract from America calling to 'Defund, repeal and replace the recently passed government-run health care,' voted for full ACA repeal in 2015, and consistently advocates market-based health insurance with 'doctors & patients in charge of health decisions instead of bureaucrats.' He opposes any government-administered coverage system.",https://www.ontheissues.org/House/Andy_Barr_Health_Care.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,"""fully repealing ObamaCare is important, but not sufficient""","""fully repealing ObamaCare is important, but not sufficient"""
-21006,Garland Barr,taxes,5,"Barr signed the Taxpayer Protection Pledge, advocates a 'single-rate tax system,' supports eliminating the inheritance tax with 'no expiration,' and voted for the 2017 Tax Cuts and Jobs Act. His stated goal is dramatically reducing tax rates across all income levels and shrinking the size of government.",https://www.ontheissues.org/House/Andy_Barr.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),"advocates ""single-rate tax system""",advocates a single-rate tax system
-21006,Garland Barr,climate-change,5,"Barr signed the No Climate Tax Pledge, publicly disputed climate science by stating 'There are scientists who dispute the level of warming, the extent to which humans are contributing to that,' opposes cap-and-trade as having 'no impact on global temperatures,' and opposes all greenhouse gas regulations and the EPA's actions on coal.",https://www.ontheissues.org/House/Andy_Barr.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,"There are scientists who dispute the level of warming, the extent to which humans are contributing to that.","There are scientists who dispute the level of warming, the extent to which humans are contributing to that."
-21006,Garland Barr,fossil-fuels,4,"Barr opposes the EPA's 'war on coal,' supports 'exploring proven energy reserves,' voted to support offshore energy production and offshore oil/gas drilling (2016), and backed letting the wind energy tax credit expire. He favors expanding domestic fossil fuel production through drilling without major new restrictions.",https://www.ontheissues.org/House/Andy_Barr.htm,https://www.ontheissues.org/House/Andy_Barr_Energy.htm,,,,
-21006,Garland Barr,same-sex-marriage,5,"Barr supported a constitutional amendment to codify DOMA (2012), signed the First Amendment Defense Act protecting those who believe marriage is between one man and one woman, and opposed the 2015 Supreme Court decision legalizing same-sex marriage nationwide. He holds that marriage should be defined as between a man and a woman.",https://www.ontheissues.org/House/Andy_Barr_Civil_Rights.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,,,
-21006,Garland Barr,immigration,4,"Barr voted to ban DREAMer immigrants from military service (2016), supports deporting foreign criminals and punishing nations that deny repatriation, and backed increasing high-skill and family-based visa caps. His overall record favors stricter legal status requirements and limiting public services to those with legal status, though he does not call for stopping all legal immigration.",https://www.ontheissues.org/House/Andy_Barr.htm,,,,,
-21006,Garland Barr,deportation,4,"Barr supports deporting 'foreign criminals' and punishing nations that deny repatriation of their nationals, and voted to ban DREAMers from military service. His record indicates support for deporting all people without legal status prioritized by criminal history, consistent with stance 4.",https://www.ontheissues.org/House/Andy_Barr.htm,,,,,
-21006,Garland Barr,social-security,5,"Barr received a 0% rating from both the Alliance for Retired Americans and Americans for Retirement Security — both groups explicitly state 0% indicates a pro-privatization stance, meaning support for transitioning Social Security to private investment accounts.",https://www.ontheissues.org/House/Andy_Barr_Social_Security.htm,https://www.ontheissues.org/House/Andy_Barr.htm,,,,
-21006,Garland Barr,medicare/aid,4,"Barr consistently advocates market-based healthcare replacing government programs, supports full ACA repeal, and backs 'free market reforms replacing federal care programs.' His stated preference is for private insurance over government-administered coverage. While he has not explicitly called for phasing out Medicare entirely, his record aligns with partial privatization and reducing Medicaid coverage.",https://www.ontheissues.org/House/Andy_Barr_Health_Care.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,,,
-21006,Garland Barr,tariffs,3,"Barr co-sponsored the Sugar Reform Act maintaining import tariffs and quotas on sugar to protect domestic producers, indicating selective use of tariffs for key agricultural industries. His broader trade record does not show support for sweeping high tariffs on all imports, placing him in the 'selective protectionism' category.",https://www.ontheissues.org/House/Andy_Barr_Free_Trade.htm,,,,,
-21006,Garland Barr,civil-rights,4,"Barr voted against an amendment barring federal contractors from discriminating based on sexual orientation and gender identity (2016), supports the First Amendment Defense Act allowing religious exemptions from anti-discrimination rules, and backed DOMA. His record favors limiting federal civil rights enforcement and protecting religious liberty over expanding anti-discrimination protections.",https://www.ontheissues.org/House/Andy_Barr_Civil_Rights.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,,,
-21006,Garland Barr,religious-freedom,4,"Barr signed the First Amendment Defense Act protecting those who act on 'a religious belief that marriage is or should be recognized as the union of one man and one woman,' and opposed federal contractor non-discrimination requirements on religious grounds. He explicitly supports faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Andy_Barr_Civil_Rights.htm,https://en.wikipedia.org/wiki/Andy_Barr_(politician),,,,
-21006,Garland Barr,voting-rights,4,"Barr voted against the For the People Act of 2019, which would have expanded voter registration, established Election Day as a federal holiday, and allowed same-day registration. He supports measures that tighten voter rolls and require stronger verification, consistent with stance 4 — requiring photo ID and regularly purging inactive registrations.",https://www.ontheissues.org/House/Andy_Barr_Government_Reform.htm,,,,,
