external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-21005,Harold Rogers,abortion,5,"Co-sponsored the Life at Conception Act (2009) and the Sanctity of Human Life Act (2011) declaring life begins at fertilization, and co-sponsored legislation granting preborn equal protection under the 14th Amendment (2007, 2016) — all no-exceptions frameworks. Rated 100% by National Right to Life Committee and 0% by NARAL across his career.",https://www.ontheissues.org/House/Hal_Rogers_Abortion.htm,https://en.wikipedia.org/wiki/Hal_Rogers,,
-21005,Harold Rogers,campaign-finance,4,"Voted NO on the Shays-Meehan campaign finance overhaul (2002) and NO on banning soft money and issue ads (1999), opposing major reform legislation. Voted YES on restricting 527 independent grassroots committees (2006), suggesting preference for targeted regulation over broad reform. His record overall leans toward reducing restrictions on political spending.",https://www.ontheissues.org/House/Hal_Rogers_Government_Reform.htm,,,
-21005,Harold Rogers,civil-rights,5,"Voted YES on ending racial preferences in higher education admissions (1998) and received a 28% rating from the NAACP. Voted NAY on the Equal Rights Amendment deadline removal (2021) and has a 7% rating from the ACLU and 0% from the Human Rights Campaign across his career.",https://www.ontheissues.org/House/Hal_Rogers_Civil_Rights.htm,https://en.wikipedia.org/wiki/Hal_Rogers,,
-21005,Harold Rogers,climate-change,5,"Rated 0% by the League of Conservation Voters, opposes EPA greenhouse gas regulations, supports offshore drilling, and has no documented votes in favor of renewable energy or climate action. Member of the Congressional Coal Caucus. OnTheIssues summarizes his position as 'Treat energy as source of prosperity, not pollution source.'",https://www.ontheissues.org/House/Hal_Rogers.htm,https://www.ontheissues.org/House/Hal_Rogers_Environment.htm,,
-21005,Harold Rogers,deportation,4,"Rated 100% by FAIR (restrictionist immigration group) and 92% by USBC (sealed-border advocacy). Supported the Secure Fence Act (2006) and opposes any pathway to citizenship for undocumented immigrants. His record supports systematic deportation prioritized by criminal history, not immediate mass removal regardless of ties.",https://www.ontheissues.org/House/Hal_Rogers_Immigration.htm,https://en.wikipedia.org/wiki/Hal_Rogers,,
-21005,Harold Rogers,fossil-fuels,4,"Member of the Congressional Coal Caucus representing coal-dependent southeastern Kentucky. Opposes EPA greenhouse gas regulations and the Waters of the U.S. rule (voted YES on blocking it, 2014). Supports offshore drilling and has a 0% rating from the League of Conservation Voters. His consistent record favors expanding fossil fuel permits within existing regulatory structures.",https://www.ontheissues.org/House/Hal_Rogers_Environment.htm,https://en.wikipedia.org/wiki/Hal_Rogers,,
-21005,Harold Rogers,healthcare,4,"Voted to repeal the ACA in 2011 and 2015, co-sponsored repeal legislation, and opposed SCHIP expansion multiple times (2007, 2008, 2009). Supports Medical Savings Accounts and capping malpractice damages. Rated 0% by the American Public Health Association. His record favors market-based insurance with limited government assistance only for the poorest.",https://www.ontheissues.org/House/Hal_Rogers_Health_Care.htm,https://www.ontheissues.org/House/Hal_Rogers.htm,,
-21005,Harold Rogers,immigration,4,"Rated 100% by FAIR and 92% by USBC; co-sponsored English as official language (1999, 2007); supported the Secure Fence Act (2006); opposes pathways to citizenship; voted YES to ban DREAMers from military service via MAVNI (2016). Did support high-skilled visa expansion (1998, 2019), distinguishing him from a full stop-all-immigration position.",https://www.ontheissues.org/House/Hal_Rogers_Immigration.htm,https://en.wikipedia.org/wiki/Hal_Rogers,,
-21005,Harold Rogers,medicare/aid,4,"Voted YES on the Ryan Budget (2011) that would partially privatize Medicare through premium support. Rated 8% by the Alliance for Retired Americans, described as indicating support for 'privatization and other market-based reforms.' Voted NO on SCHIP expansion multiple times (2007, 2008, 2009), opposing Medicaid broadening.",https://www.ontheissues.org/House/Hal_Rogers_Health_Care.htm,https://www.ontheissues.org/House/Hal_Rogers_Social_Security.htm,,
-21005,Harold Rogers,redistricting,5,"Voted NAY on the For the People Act in both 2019 and 2021, which would have required states to establish independent redistricting commissions. His opposition to independent commissions reflects a position that state legislatures should draw maps without outside interference.",https://www.ontheissues.org/House/Hal_Rogers_Government_Reform.htm,,,
