geo_id,mtfcc,row_hash
0600001,G5420,df976853002052b7fa803cdca20c9e2e
0600009,G5420,17f90eda149bb4c0162ac4cc5084142e
0600011,G5420,1e94dbf86d0da79fda5f2e5b38aaca20
0600013,G5420,195c756225f2a90c84c58b2babb9bbf8
0600014,G5420,6aac9e2664bdf122a37ebb0ffbb1b8b8
0600015,G5420,c30555c2db51d5ea442bcaabbc35e7f6
0600016,G5420,17aecc38c5754bf53c15292cae32cf71
0600017,G5420,e883a26d4471b9707751ab3a9a7e729b
0600018,G5420,0a611e35f9284048620e9b2b33b3019c
0600019,G5420,57f854d275d2dae58ec7d84256b3e92f
0600020,G5420,26d455b4f4d94544270dc62536dd344e
0600021,G5420,f8c16d6a8f034694314464d106b4a3ac
0600022,G5420,83e5556e9a7a759f951c3fbfeae6f18c
0600025,G5420,abc137a6f2f41ef122c7856e6ae67e6f
0600026,G5420,de2ab5c3a017b696ce3e6fd85dd8ae26
0600027,G5420,419dd3c984b2359501312fb8cb8ee586
0600028,G5420,4ac9b92288e8aea59d07412eb8e96746
0600029,G5420,f06bff5e4d2228d7eb824be3ff531ff7
0600031,G5420,364486d7cd58a51f01076d2ede9433a4
0600032,G5420,112a2b795efa3572e9baeb790fa9def1
0600033,G5420,3d437361b0fdab063b00a7d62f503621
0600034,G5420,1d5724c2128cd8a153c373b162237a94
0600035,G5420,51d0a5d90f2cecce9cf255f2b182f2d3
0600036,G5420,1e9d3d615c1cd0535aa26f058b87e9c6
0600037,G5420,a58ebda90fc6f1a1c3ce6d36a47b8b12
0600038,G5420,3bc34e8fa324851727065d54ee01d45d
0600039,G5420,6214cff92d8f2e959ddce495c1f2cb57
0600040,G5420,64c3aa831d122ffeca9a3c6bbff51220
0600042,G5420,b25cb523c34d8f0b03a3be240d8d685e
0600043,G5420,8f5e68dab95d2168adbe1dbc5578464f
0600044,G5420,b34523d04064702d263f7b64df2cbf8c
0600045,G5420,717c4604b162614196c9f05d99636f87
0600046,G5420,4b4d33a3a7fbacc1e495ae2c9119815a
0600047,G5420,6bf11b31af0f4c2176a630da77ff9554
0600048,G5420,f010b1da9e5863b76b7db6a045c591ad
0600049,G5420,6488f2099aa2185686bade69c35a61bd
0600051,G5420,34f0e5ab9cadf9855f11779c39f83e08
0600052,G5420,57eac778508f531878ed8145ce29ebce
0600060,G5420,323262d97775f664c4e7cd1ea2fee545
0600061,G5420,9f37d3ffe990b4c38e92a5d2139ff910
0600062,G5420,3acb5339efe5fb9d7dade67ccc6f2404
0600063,G5420,dc59abc77fdf281703a32374cd3fef61
0600064,G5420,ab3552abe6d4a95e920e1fbe98d9b2f3
0600065,G5420,ff0ee5e334b429c8afd2dfcf67e3ca5e
0600067,G5420,813e9840c05442695a58371a8af44dff
0600068,G5420,bcd140ce2e6d14d9287d9bc1702bfc0f
0600069,G5420,04f48f03451f8fee32dfae5579871baa
06001,G5210,54d519a1e3318b8df993e05631df4af1
06001,G5220,a93d95984726b95caccfce0375e75019
0600116,G5420,64bb8e5a7028a55cb93c858e43da305e
0600153,G5420,7b7ee840745a9c6ce9c5a044433ee93e
0600158,G5420,13ba8c7c91e38dc5a1ab3ce560925146
0600159,G5420,ae81185c7406a17f3afbd2d530591d2a
0600160,G5420,337afe8ef55ec620c70b8bf736685724
06002,G5210,58df484710dc24ed04841ca073adead2
06002,G5220,9f319e4734262aa44c35b68387fde62a
0600296,G4110,cfab99b3066b944d19e9330e69a49774
06003,G5210,35c643d05336ec56ea347028a21487a2
06003,G5220,79b8f8596456ef5d79b6843389382120
0600394,G4110,d77b9c0e49494561d11ff59e2a10047c
06004,G5210,639fcc1f43d330ec95f83760b985e973
06004,G5220,0f96b6a6ac49540396c5d536640379ae
06005,G5210,c96b8d2417de1d3c3da2548a002427ea
06005,G5220,0145f7423b4eba461153fbd10fac65ca
0600562,G4110,72e071e19c2140fb6dacd791a921e0cb
