cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,3601,f1415ce1-250b-49d5-afc1-b0f0f624b044,Nick LaLota,Republican,REUSE,,-36001,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_1
1,3601,f1415ce1-250b-49d5-afc1-b0f0f624b044,Chris Gallant,Democratic,NEW,,-3610101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_1
2,3602,05d23321-9f87-412e-9b21-34c812b16c4d,Andrew R. Garbarino,Republican,REUSE,,-36002,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_2
2,3602,05d23321-9f87-412e-9b21-34c812b16c4d,Patrick Halpin,Democratic,NEW,,-3610201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_2
3,3603,e091d25a-1c46-45c0-8835-f0d84ae06173,Thomas R. Suozzi,Democratic,REUSE,,-36003,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_3
3,3603,e091d25a-1c46-45c0-8835-f0d84ae06173,Mike LiPetri,Republican,NEW,,-3610301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_3
4,3604,e03c23bc-1676-49e6-8e3c-f4c00dde548d,Laura Gillen,Democratic,REUSE,,-36004,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_4
4,3604,e03c23bc-1676-49e6-8e3c-f4c00dde548d,Jeanine Driscoll,Republican,NEW,,-3610401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_4
5,3605,87d3ba4f-2a14-4af0-aea9-b3430b136155,Gregory W. Meeks,Democratic,REUSE,,-36005,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_5
5,3605,87d3ba4f-2a14-4af0-aea9-b3430b136155,George Marsh,Republican,NEW,,-3610501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_5
6,3606,7061d405-60ca-49df-b23d-f0dee8ec7345,Grace Meng,Democratic,REUSE,,-36006,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_6
6,3606,7061d405-60ca-49df-b23d-f0dee8ec7345,Joseph Chou,Republican,NEW,,-3610601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_6
7,3607,221c4481-3039-44a2-8455-928fa2cba87e,Claire Valdez,Democratic,NEW,,-3610701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_7
7,3607,221c4481-3039-44a2-8455-928fa2cba87e,Melvin Rivera,Republican,NEW,,-3610702,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York#District_7
