full_name,topic_key,source_url,snippet,snippet_index
Lincoln Fillmore,abortion,https://freedomindex.us/ut/vote/1267461/,"HB467 Closing Abortion Clinics. Vote Results: 22 Yes, 6 No, 1 None (Total: 29 senators). Yes votes (22): J. Stuart Adams, Jacob L. Anderegg, Curtis S. Bramble, Gregg D. Buxton, Kirk A. Cullimore, Lincoln Fillmore, Keith Grover, Wayne A. Harper, David P. Hinkins, Don L. Ipson, John D. Johnson, Michael S. Kennedy, Daniel McCay, Michael K. McKell, Ann Millner, Derrin R. Owens, Scott D. Sandall, Jerry W. Stevenson, Evan J. Vickers, Todd D. Weiler, Chris H. Wilson, Ronald M. Winterton. No votes (6): Nate Blouin, Luz Escamilla, Karen Kwan, Stephanie Pitcher, Jennifer Plumb, Kathleen A. Riebe.",0
Lincoln Fillmore,abortion,https://freedomindex.us/ut/vote/1267461/,"HB467 is a Utah state measure that restricts abortion clinic operations. According to the Freedom Index, it 'Prevents an abortion clinic from being licensed after May 2, 2023, and from operating on or after January 1, 2024, or when their license expires.' The Utah Senate passed the bill on March 2, 2023, with a vote of 22 in favor and 6 opposed, with 1 legislator recording no vote.",1
Lincoln Fillmore,abortion,https://www.deseret.com/utah/2023/3/2/23623104/utah-bill-to-close-abortion-clinics-passes-senate/,"HB467 would ban elective abortion clinics after May 2, requiring abortions to be performed in hospitals instead. It removes the rape and incest exemption for abortions after 18 weeks of pregnancy, and creates a legal presumption that girls under 14 who seek abortions are victims of rape or incest. The Legislature on Thursday approved the bill. The Republican-controlled Senate voted down all proposals from Democrats.",0
Lincoln Fillmore,religious-freedom,https://freedomindex.us/ut/legislator/17849/,"SB174 Conscience Exemptions for Health Providers, 3/2/2026, Passed 22-7, Lincoln Fillmore voted Yes. Under the bill, providers can only object to forms of treatment, rather than individual patients. The bill requires providers to notify Utah's Department of Health and Human Services when they object to a type of treatment, and post a prominent, visible sign in their office noting the objection.",0
Lincoln Fillmore,trans-athletes,https://freedomindex.us/ut/legislator/17849/,"SB16 Ban on Sex Mutilation Against Minors, 1/27/2023, Passed 20-8, Lincoln Fillmore voted Yes. SB16 would ban transgender surgeries for Utah children and teens and place an indefinite moratorium on puberty blockers and cross-sex hormones for minors.",0
Lincoln Fillmore,trans-athletes,https://www.deseret.com/utah/2023/1/27/23574495/transgender-surgery-gender-affirming-care-ban-utah-legislature-vote/,"The Utah Senate passed SB16 with a vote of 20-8. Two Republicans, Sen. David Hinkins, R-Ferron, and Sen. Todd Weiler, R-Woods Cross, joined Democrats in voting against the bill. SB16 would ban sex characteristic reassignment surgeries for Utahns under age 18 and impose an indefinite moratorium on hormonal treatments for Utah children and teens not already being treated for gender dysphoria for at least six months.",0
Lincoln Fillmore,trans-athletes,https://senate.utah.gov/legislature-overrides-veto-on-h-b-11/,"Legislature Overrides Veto on H.B. 11. The Senate voted 21-8 in favor of overriding the governor's veto. H.B. 11, titled 'Student Eligibility in Interscholastic Activities,' established restrictions on transgender participation in school sports. Sen. Lincoln Fillmore, Mike Kennedy, Mike McKell, Ann Millner and Senate Majority Leader Evan Vickers flipped to a 'yea' vote to secure the veto override on HB11 in March 2022.",0
Lincoln Fillmore,voting-rights,https://freedomindex.us/ut/legislator/17849/,"HB300 Election Integrity, 3/6/2025, Passed 19-10, Lincoln Fillmore voted Yes. HB300 requires Utah voters to write the last four digits of their government-issued identification card on their ballot's return envelope. The bill phases out automatic mail-in ballots beginning January 1, 2028, requiring voters to opt in.",0
Lincoln Fillmore,voting-rights,https://www.deseret.com/politics/2025/03/03/utah-legislature-passes-hb300-elections-bill-out-of-committee/,"Utah lawmakers move forward with reforms to mail-in ballots. HB300 would require ballots to be in clerks' possession no later than 8 p.m. on election night, regardless of their postmark. The bill enhances the lieutenant governor's ability to investigate voter registration roll inaccuracies. The House voted 56-15 and the Senate voted 19-10 to approve the bill.",0
Lincoln Fillmore,school-vouchers,https://www.kuer.org/education/2023-01-26/utah-lawmakers-send-a-teacher-pay-bump-and-school-vouchers-to-the-governor,"Sen. Lincoln Fillmore argued on the Senate floor: 'We need to ask ourselves a slightly different question. Instead of, what can we do to provide an education for 700,000 kids in this state? We need to ask ourselves, what can we do to provide the education we can for this child? And that is a difficult question to ask because it requires 700,000 answers.' The Senate voted 20-8 to approve HB215, creating the Utah Fits All Scholarship program.",0
Lincoln Fillmore,school-vouchers,https://www.deseret.com/utah/2023/1/26/23572784/final-vote-on-hb215-voucher-teacher-raise-legislature/,"HB215 creates the Utah Fits All Scholarship program, providing $8,000 scholarships to qualifying families for private school tuition and education expenses. The bill also allocates $196.9 million for a $6,000 pay raise for licensed educators. The Utah Senate approved HB215 with a vote of 20-8, passing by a two-thirds margin in both legislative chambers, which prevents referendum challenges.",0
Lincoln Fillmore,homelessness,https://freedomindex.us/ut/legislator/17849/,"From Lincoln Fillmore's voting record: he voted Yes on HB165 Illegal Immigration (2/26/2024, Passed 63-11), No on SB248 Expanding State-funded Childcare (2/25/2026, Passed 17-9), No on HB100 'Free' School Meals (3/6/2025, Passed 26-0), No on SB258 State-Sponsored Preschool for All (3/3/2023, Passed 26-0). Pattern reflects opposition to state-funded social service expansions.",0
Lincoln Fillmore,childcare,https://freedomindex.us/ut/legislator/17849/,"SB248 Expanding State-funded Childcare, 2/25/2026, Passed 17-9, Lincoln Fillmore voted No. SB248 Child Care Expansion Act enacts an employer-based, state-assisted childcare expansion program to make quality childcare in the state more available. Also voted No on SB258 State-Sponsored Preschool for All (2023) and No on HB100 Free School Meals (2025).",0
Lincoln Fillmore,immigration,https://freedomindex.us/ut/legislator/17849/,"HB165 Illegal Immigration, 2/26/2024, Passed 63-11, Lincoln Fillmore voted Yes. SB217 CHIP 'Benefits' for Illegal Aliens, 3/2/2023, Passed 25-3, Lincoln Fillmore voted No. The No vote on SB217 reflects opposition to extending health benefits to non-citizen children; Yes on HB165 requires ICE to notify Utah three days before releasing undocumented immigrants in the state.",0
Lincoln Fillmore,immigration,https://www.ksl.com/article/50958276/utah-lawmaker-hints-at-texas-style-action-says-new-law-aims-to-help-get-handle-on-immigration,"HB165 requires federal officials to inform Utah authorities three days in advance when they plan to send undocumented immigrants to the state. Gov. Cox signed the bill: 'We passed another bill to show that we're not a sanctuary state that requires ICE to communicate with us if they're going to release someone in the state who is undocumented, who is not here legally.'",0
Lincoln Fillmore,deportation,https://freedomindex.us/ut/legislator/17849/,"HB165 Illegal Immigration, 2/26/2024, Passed 63-11, Lincoln Fillmore voted Yes. The bill establishes requirements for federal officers releasing aliens within Utah, requiring three days notice. Lincoln Fillmore voted No on SB217 CHIP Benefits for Illegal Aliens (2023), opposing extension of state benefits to undocumented children.",0
Lincoln Fillmore,healthcare,https://freedomindex.us/ut/legislator/17849/,"SB217 CHIP 'Benefits' for Illegal Aliens, 3/2/2023, Passed 25-3, Lincoln Fillmore voted No. SB258 State-Sponsored Preschool for All, 3/3/2023, Passed 26-0, Lincoln Fillmore voted No. HB100 'Free' School Meals, 3/6/2025, Passed 26-0, Lincoln Fillmore voted No. Pattern reflects opposition to government-funded social and health service expansions.",0
Lincoln Fillmore,taxes,https://kutv.com/news/eye-on-your-money/vote-which-tax-should-utah-legislators-work-hardest-not-to-raise,"Sen. Lincoln Fillmore, R-Salt Lake County, the bill's sponsor, said: 'We set it up so that when we collect more money from Utah taxpayers than the state needs to fund inflation and population growth, we'll give it right back to the taxpayers so that they can do the spending instead of the government.' Fillmore's SB116 would automatically reduce the income tax rate when actual revenue exceeds what was forecast, ultimately phasing out the state income tax over time.",0
Lincoln Fillmore,taxes,https://www.moabtimes.com/articles/your-property-taxes-pay-for-your-local-schools-utah-lawmakers-might-change-that/,"Sen. Lincoln Fillmore stated on the Senate floor about SB37: 'While we are protecting education funding in this bill, it also allows the state the flexibility to be able to make sure that we can adequately fund other priorities like social services, transportation, public safety.' Fillmore sponsored SB37 to redirect $842 million in school property tax revenue into the general fund to create more budget flexibility.",0
