abortion	4.0	Hilton said he would extradite a California abortion doctor to Louisiana under that state's abortion ban, indicating he supports other states' near-total restrictions and would enforce them against California providers. This goes beyond allowing first-trimester abortion (stance 3) and signals support for restricting abortion to cases of rape, incest, or life threats (stance 4). He has not called for a complete California ban (stance 5) or stated an exceptions-only federal position explicitly, but the extradition stance is the strongest documented evidence.	https://www.ontheissues.org/Steve_Hilton.htm | https://calmatters.org/california-voter-guide-2026/governor
ai-regulation	1.0	Hilton's AI policy explicitly opposes "sweeping, preemptive regulation on evolving technologies." His "Keep California the AI Capital of the World" plan argues for enforcing existing laws and closing narrow gaps rather than new regulatory frameworks. He specifically criticizes proposed California AI bills as risking innovation and pushes for California to allow AI companies to develop and deploy freely — fitting stance 1 (no government interference).	https://stevehiltonforgovernor.com/keep-california-the-ai-capital-of-the-world | https://stevehiltonforgovernor.com/policies
civil-rights	5.0	Hilton's platform opposes race-based government programs and DEI initiatives; his education platform explicitly calls for restoring "traditional curricula" and opposing equity-based interventions. His opposition to affirmative action and identity-based government programs is consistent with the OTI hard-core conservative rating. This fits stance 5: eliminate affirmative action and all race-based government programs.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com
climate-change	5.0	Hilton explicitly campaigned on repealing California's greenhouse gas reduction mandates and suspending environmental regulations to lower gas prices. The CalMatters voter guide notes he wants to "overturn greenhouse gas reduction mandates." He frames climate policy as imposing costly energy choices on working people and proposes redirecting funds to forest management instead of emissions restrictions — a rejection of climate policy in favor of economic priorities that aligns with stance 5.	https://www.ontheissues.org/Steve_Hilton.htm | https://calmatters.org/california-voter-guide-2026/governor | https://stevehiltonforgovernor.com/rebalancing-californias-carbon-sequestration-strategy
data-centers	5.0	Hilton's "Keep California the AI Capital of the World" plan advocates for welcoming technology investment with competitive incentives and minimal regulatory barriers. He argues against "sweeping, preemptive regulation" and proposes streamlining permits and reducing compliance burdens across the tech sector. This is consistent with stance 5: welcoming data center investment with competitive incentives and minimal regulatory barriers, trusting that economic growth and tax revenue will benefit all residents.	https://stevehiltonforgovernor.com/keep-california-the-ai-capital-of-the-world | https://stevehiltonforgovernor.com/policies
deportation	4.0	Hilton has called for 100% cooperation with ICE and characterized undocumented immigrants participating in political campaigns as an affront to taxpayers. He prioritizes deportation as part of his public safety platform. This aligns with stance 4 (deport everyone without legal status, starting with those who have criminal records) rather than stance 5, since there is no evidence he calls for immediate deportation regardless of family ties.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com/california-taxpayers-are-paying-for-illegal-immigrants-to-campaign-for-xavier-becerra-for-governor
fossil-fuels	4.0	Hilton pledges to boost oil drilling in California and cut the gas tax. He wants to suspend environmental regulations to lower fuel prices. The CalMatters voter guide states he wants "to lower the price of gas by suspending environmental regulations." This is consistent with stance 4 (expand fossil fuel drilling permits) — he wants more production and fewer regulatory barriers, but has not called for removing all environmental restrictions entirely.	https://calmatters.org/politics/2026/06/california-governor-primary-hilton-advances/ | https://calmatters.org/california-voter-guide-2026/governor | https://stevehiltonforgovernor.com
healthcare	4.0	OnTheIssues records Hilton saying it is "disgusting to subsidize health care for undocumented aliens," and his campaign does not propose expanding coverage or a public option. His platform focuses on cutting costs through deregulation and market competition rather than government coverage expansion. This fits stance 4: only help the poorest people afford healthcare and leave everyone else to employers and private insurance.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com
homelessness	4.0	Hilton's campaign lists homelessness as a public safety enforcement priority alongside crime and illegal immigration, stating "We need the basic principle that we should enforce the law." His Emerson poll article emphasizes addressing homelessness as part of a law enforcement and order restoration agenda. This fits stance 4 (prohibiting encampments with graduated warnings and penalties while requiring basic shelter options) rather than the most extreme criminalization stance.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com/hilton-surges-ahead-in-governors-race-emerson-poll/
housing	4.0	Hilton's housing platform focuses almost entirely on cutting regulations, fees, and permitting barriers for private developers — capping impact fees, expediting approvals, adding a deregulatory freeze. He proposes a first-time buyer loan program as a secondary element. The approach centers on enabling private development rather than public housing, rent controls, or mandatory affordable set-asides, fitting stance 4 (cut regulations and zoning rules so private developers can build more).	https://stevehiltonforgovernor.com/bring-back-the-starter-home-in-california | https://calmatters.org/california-voter-guide-2026/governor
immigration	4.0	Hilton supports full cooperation with ICE "100 percent" and has made strict immigration enforcement a central campaign theme, describing taxpayer subsidies for undocumented immigrants as "disgusting." He deports the healthcare subsidies position to stronger enforcement. This fits stance 4: make it harder to immigrate legally and limit public services to those with legal status — aggressive enforcement without explicitly calling for stopping all legal immigration.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com/california-taxpayers-are-paying-for-illegal-immigrants-to-campaign-for-xavier-becerra-for-governor
misinformation	5.0	Hilton's political philosophy is rooted in anti-government-regulation of speech — he was a Fox News host who promoted narratives the platform describes as free speech, and his broader platform opposes government regulatory overreach. His consistent opposition to government bosses and unelected bureaucrats extends to content moderation. No evidence was found of Hilton supporting government involvement in content moderation, and his philosophy aligns with stance 5 (ban any government involvement in content moderation decisions).	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com
redistricting	4.0	OnTheIssues records Hilton stating "Restore districting integrity to have fair representation" — framing the redistricting issue as returning control to the legislature, not expanding independent commissions. His general opposition to unelected regulatory bodies and preference for accountable governance suggests support for legislative control with judicial oversight (stance 4) rather than independent citizens' commissions.	https://www.ontheissues.org/Steve_Hilton.htm
school-vouchers	5.0	Hilton explicitly proposes launching Education Savings Accounts (ESAs) and open enrollment, the hallmark policies of universal school choice. ESAs allow education funding to follow the student to any school — public, private, or religious. This is the defining policy of stance 5: providing universal vouchers so education funding follows the student to any school chosen by the family.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com
taxes	5.0	Hilton proposes eliminating income tax on the first $100,000 earned and setting a 7.5% flat rate on earnings above that threshold — a drastic cut that collapses the progressive rate structure. He also pledges to slash state spending by roughly one-third to pre-pandemic levels. This aligns with stance 5: drastically cut taxes and shrink government so people and businesses keep more of their money.	https://www.ontheissues.org/Steve_Hilton.htm | https://stevehiltonforgovernor.com | https://calmatters.org/politics/2026/06/california-governor-primary-hilton-advances/
