abortion	1.0	Becerra has a lifelong 100% NARAL and 100% Planned Parenthood rating. His 2026 campaign states "I know that abortion access is health care" and pledges California will "lead when it comes to protecting access to abortion." As HHS Secretary he ensured Planned Parenthood funding reached dependent clinics. He voted against the Prenatal Non-Discrimination Act (PRENDA) and argued against religious exemptions from ACA contraception coverage.	https://www.xavierbecerra2026.com/rights | https://www.ontheissues.org/Xavier_Becerra.htm
ai-regulation	4.0	Becerra's AI platform calls for mandatory safety laws, "firm guardrails around real harms," transparency in automated decision-making, and mandatory independent audits of all AI systems deployed by state agencies. He supports requiring data centers to use clean energy and mandating worker protections. His stance emphasizes active monitoring, mandatory auditing, and regulatory enforcement — aligning with closely monitor AI development and require government approval before releasing advanced AI systems.	https://www.xavierbecerra2026.com/ai
campaign-finance	2.0	Becerra voted YES on banning soft money contributions and has consistently supported campaign finance disclosure and restrictions on dark money. His position per OnTheIssues: support automatic voter registration and campaign finance disclosure. He supports strict limits on corporate money in politics.	https://www.ontheissues.org/Xavier_Becerra.htm
childcare	2.0	As HHS Secretary, Becerra "led the fight to expand early childhood education, so every American gets a fair shot." His 2026 campaign explicitly commits to "expanding help with childcare and essential costs" as a core affordability priority. Voted YES on paid parental leave for federal workers during his House tenure. Platform targets affordability through expanded subsidies and programs for working families.	https://www.xavierbecerra2026.com/priorities/economy-and-affordability/ | https://www.xavierbecerra2026.com/priorities/
civil-rights	2.0	Becerra holds a 100% NAACP rating and consistently supports affirmative action and addressing systemic discrimination. As California AG he created an environmental justice bureau in 2018 and fought Trump administration rollbacks of civil rights protections. His campaign pledges to protect LGBTQ+ rights and voting rights.	https://www.ontheissues.org/Xavier_Becerra.htm | https://en.wikipedia.org/wiki/Xavier_Becerra
climate-change	2.0	Becerra holds a 90% LCV lifetime rating. As California AG he created an environmental justice bureau. His 2026 campaign calls for treating clean energy as a public investment, stating "California can fight climate change, strengthen reliability, and make energy more affordable for everyone." He supported 50% clean/carbon-free electricity by 2030.	https://www.xavierbecerra2026.com/ | https://www.ontheissues.org/Xavier_Becerra.htm
data-centers	2.0	Becerra's AI policy platform explicitly states that data centers must "use clean energy and cover their own energy costs" and that ratepayers must be protected from bearing infrastructure expansion costs. This directly aligns with requiring data centers to fund their own dedicated power generation and barring utilities from passing data center infrastructure costs to residential customers.	https://www.xavierbecerra2026.com/ai
deportation	2.0	As California AG Becerra led 21 AGs defending DACA against Trump and opposed ICE overreach and family separations. His 2026 campaign frames his mission as "stopping ICE overreach" and "protecting Dreamers from deportation." His congressional record shows a 0% FAIR rating. His position is to deport only those committing serious crimes while providing legal status to DACA-eligible and long-term residents.	https://www.xavierbecerra2026.com/ | https://www.ontheissues.org/Xavier_Becerra.htm | https://en.wikipedia.org/wiki/Xavier_Becerra
fossil-fuels	2.0	As California AG Becerra consistently challenged Trump administration fossil fuel rollbacks. His 2026 climate platform calls for treating clean energy as a public investment and transitions away from fossil fuels. His 90% LCV rating reflects a strong anti-fossil-fuel stance aligned with stopping new permits.	https://en.wikipedia.org/wiki/Xavier_Becerra | https://www.ontheissues.org/Xavier_Becerra.htm
healthcare	2.0	Becerra supports moving "toward Medicare for All" as a long-term goal while advocating for a strengthened Medi-Cal and ACA as immediate steps. His 2026 campaign states he will "deliver affordable care without debt or delays." As HHS Secretary he negotiated Medicare drug prices achieving 38–79% discounts on 10 medications in 2023. He stops short of full single-payer as a near-term proposal.	https://www.xavierbecerra2026.com/healthcare | https://www.ontheissues.org/Xavier_Becerra.htm
homelessness	2.0	Becerra's 2026 campaign frames homelessness as "a moral emergency and a policy failure" and emphasizes Housing First with treatment: "permanent housing paired with behavioral health and addiction services where needed." He proposes prevention-focused rental assistance, expanded shelter capacity, and full implementation of Proposition 1 mental health reforms.	https://www.xavierbecerra2026.com/homelessness
housing	2.0	Becerra's 2026 housing platform calls for a Day 1 executive order declaring a housing emergency, reforming exclusionary zoning, expanding by-right approvals near transit, supporting "missing middle" housing, funding 40,000 approved affordable units, and enforcing cities' housing element commitments. He states: "For too long, California simply hasn't built enough homes." He also supports renter protections and rent stabilization.	https://www.xavierbecerra2026.com/housing
immigration	2.0	Becerra has a 0% FAIR rating, voted NO on building a border fence, supported DACA, opposed the Muslim ban and family separations, and led a 21-AG coalition defending DACA in court. His 2026 campaign includes fighting ICE overreach and protecting Dreamers. He supports significantly increasing legal pathways and citizenship options.	https://www.ontheissues.org/Xavier_Becerra.htm | https://en.wikipedia.org/wiki/Xavier_Becerra | https://www.xavierbecerra2026.com/
medicare/aid	2.0	As HHS Secretary (2021–2025), negotiated Medicare drug prices achieving discounts of 38–79%, expanded ACA enrollment to over 24 million, and extended Medicaid/CHIP postpartum coverage. His 2026 campaign states he will "build toward Medicare for All" and strengthen Medi-Cal. Opposed Ryan Budget cuts to Medicare as a House member. Positions align with significantly expanding Medicaid and lowering Medicare eligibility rather than full single-payer.	https://en.wikipedia.org/wiki/Xavier_Becerra | https://www.xavierbecerra2026.com/priorities/health-care/ | https://www.ontheissues.org/CA/Xavier_Becerra.htm
redistricting	2.0	Becerra supported establishment of California's Citizens Redistricting Commission and consistently backed anti-gerrymandering reforms. His overall government reform voting record is consistent with support for fair redistricting via independent commissions.	https://www.ontheissues.org/Xavier_Becerra.htm
religious-freedom	3.0	As HHS Secretary Becerra defended the ACA contraception mandate and argued against broad religious exemptions for organizations providing public services. However he has not called for eliminating religious exemptions entirely. His position — that religious freedom should not override civil rights laws in employment and housing, but should be balanced against equal treatment — aligns with a balancing approach.	https://en.wikipedia.org/wiki/Xavier_Becerra | https://www.ontheissues.org/Xavier_Becerra.htm
same-sex-marriage	1.0	Voted against the Defense of Marriage Act in 1996 — one of a small group of House members to do so — and earned a 100% rating from the Human Rights Campaign. As California AG, he helped defend same-sex marriages and challenged Prop 8 enforcement. His 2026 campaign states he will ensure Californians can love who they love without restriction.	https://www.xavierbecerra2026.com/priorities/ | https://www.ontheissues.org/CA/Xavier_Becerra.htm
school-vouchers	1.0	Becerra holds a 100% NEA rating and explicitly stated opposition to "private and religious school voucher programs." In Congress he voted NO on vouchers for private/parochial schools. OnTheIssues records his position as: "Oppose private and religious school voucher programs."	https://www.ontheissues.org/Xavier_Becerra.htm
social-security	1.0	Rated 100% by the Alliance for Retired Americans, indicating a consistent pro-Trust Fund voting record. Publicly stated "Reject proposals for private saving accounts" and voted YES on the Social Security lockbox. Sponsored the MEDS Plan covering senior prescriptions under Medicare (2001), reflecting a stance of expanding benefits rather than cutting or privatizing them.	https://www.ontheissues.org/CA/Xavier_Becerra.htm
tariffs	3.0	Rated 39% by the Cato Institute, indicating a mixed record rather than consistent free-trade or protectionist views. Explicitly supports imposing tariffs against countries that manipulate their currency while also supporting the $25B expansion of the Export-Import Bank to promote exports. This selective-use-of-tariffs approach — protect American workers from unfair trade, but not blanket protectionism — maps to stance 3.	https://www.ontheissues.org/CA/Xavier_Becerra.htm
taxes	1.0	Rated 100% by Citizens for Tax Justice for progressive taxation. Voted NO on making the Bush tax cuts permanent. Proposed raising the estate tax to 1990s levels, projecting $448 billion in new revenue (2015). Sponsored legislation to enforce penalties against corporate offshore tax havens (2013). His 2026 campaign focuses on making the wealthy pay their fair share rather than broad rate cuts.	https://www.ontheissues.org/CA/Xavier_Becerra.htm
trans-athletes	2.0	Becerra has a 100% HRC rating. As HHS Secretary he reinstated transgender healthcare nondiscrimination protections and defended Title IX gender identity interpretations. His position supports transgender individuals in public life without imposing extraordinary barriers.	https://www.ontheissues.org/Xavier_Becerra.htm | https://en.wikipedia.org/wiki/Xavier_Becerra
ukraine-support	2.0	Becerra left Congress in 2017 before the 2022 Russia-Ukraine war, but served as a Biden cabinet secretary throughout the Ukraine conflict. No direct Ukraine floor votes or statements located. His consistent opposition to isolationism and alignment with Biden's foreign policy consensus supports scoring at continue providing current levels of military and economic aid. Lower-confidence inference from administration membership.	https://en.wikipedia.org/wiki/Xavier_Becerra
voting-rights	1.0	Explicitly opposed photo ID requirements, stating "No photo IDs to vote; they suppress the vote" (2014). Called for "automatic voter registration for all citizens" (2015). After leaving HHS, joined the UCLA Voting Rights Project (2025). His 2026 campaign commits to ensuring "California continues to lead when it comes to protecting access to the ballot."	https://www.ontheissues.org/CA/Xavier_Becerra.htm | https://www.xavierbecerra2026.com/priorities/
