race_candidate_id	politician_id	full_name	photo_source_url	source_url	notes
f23d6694-68ee-49ef-a117-ce63df4f0935	e365a1d4-2de3-4fb6-b416-d78227836553	Blake Moore	https://bioguide.congress.gov/bioguide/photo/M/M001213.jpg	https://bioguide.congress.gov/search/bio/M001213	Official congressional portrait from bioguide.congress.gov, confirmed as valid JPEG
8809c0c6-1dfb-4945-8d7b-011d2c4562c5	a7983eb6-bae0-4269-856b-f4554fb5ce29	Celeste Maloy	https://bioguide.congress.gov/bioguide/photo/M/M001228.jpg	https://bioguide.congress.gov/search/bio/M001228	Official congressional portrait from bioguide.congress.gov, confirmed as valid JPEG
d73bd373-8ffc-4256-b789-eb418436724a	9e3164d5-ce71-4c50-9220-b969265ce551	Mike Kennedy	https://bioguide.congress.gov/bioguide/photo/K/K000403.jpg	https://bioguide.congress.gov/search/bio/K000403	Official congressional portrait from bioguide.congress.gov, New Member Orientation photo Nov 2024
f3e15882-7509-4a91-bb20-d9919ccd33f6	e5c70a0f-1b0a-4ea2-b159-a4d421223929	Grant Pace	https://images.squarespace-cdn.com/content/v1/699bddb8f50120275d2984c7/43dce2a6-6918-4d0d-b1de-ccf5b2cba6ad/Grant-Pace__Socials__2026-03-01a-05.jpg	https://www.grantpaceforutah.com/	Campaign headshot from official campaign website grantpaceforutah.com
58046a29-cc9d-46e0-8097-c9a8a81de1c2	b86c57b4-9835-4fa3-8924-c52e52f19a66	Jackie Larson	https://assets.civicengine.com/uploads/candidate/headshot/758782/758782.jpg	https://www.ballotready.org/people/jackie-larson	Headshot from CivicEngine/BallotReady candidate profile
e2ccb160-3bde-4226-bdea-83622aa2aad2		Ben McAdams	https://newdealleaders.org/wp-content/uploads/2020/01/Ben-McAdams.jpg	https://newdealleaders.org/leader/ben-mcadams/	Official photo from NewDEAL Leaders profile page
98e75336-f1b5-48a8-ab75-393a34de40a7		Liban Mohamed	https://assets.civicengine.com/uploads/candidate/headshot/944749/944749.jpg	https://www.ballotready.org/people/liban-mohamed	Headshot from CivicEngine/BallotReady candidate profile
73853fa9-2046-4010-9021-93bc9fe8bcda		Michael Farrell	https://www.slugmag.com/wp/wp-content/uploads/2024/05/Photo-Feb-15-2026-14-41-33-scaled.webp	https://www.slugmag.com/community/michael-farrell-for-utah-an-office-open-to-all/	Campaign photo from SLUG Magazine profile, photographer Gabriel Kogami
85d8c7d8-99c5-4144-a1d1-51c6bda1d472		Nate Blouin	https://assets.civicengine.com/uploads/candidate/headshot/698750/698750.jpg	https://www.ballotready.org/people/nate-blouin	Headshot from CivicEngine/BallotReady candidate profile
83480756-7b91-4731-9b23-cb2cc6a74cea		Peter Crosby	https://images.squarespace-cdn.com/content/v1/5f855a983c5885379a0fdc78/b5031da2-010a-447e-93fe-a8a72da6a5aa/5809074819334750984.jpeg	https://www.theogdenite.com/news/peter-crosby-launches-early-campaign-against-three-term-rep-blake-moore	Photo from The Ogdenite article; shows Crosby signing congressional candidacy paperwork
a11152af-9de9-4d54-aa2e-c028244b30d1		Kent Udell	https://static.wixstatic.com/media/fb03de_4002ca22893f4429b67bf5f4f9b1846b~mv2.jpg	https://www.kentudellforcongress.com/	Professional headshot from official campaign website kentudellforcongress.com (3.6MB JPEG)
