jurisdiction_level,position_name,district_type,primary_party,seats,full_name,first_name,last_name,is_incumbent,candidate_status,politician_id,source_url
state,U.S. House District 2,NATIONAL_LOWER,Republican,1,Blake Moore,Blake,Moore,true,active,e365a1d4-2de3-4fb6-b416-d78227836553,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 2,NATIONAL_LOWER,Republican,1,Karianne Lisonbee,Karianne,Lisonbee,false,active,da3ae2d0-95ab-4292-9d49-51f4576fe56b,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 2,NATIONAL_LOWER,Democratic,1,Peter Crosby,Peter,Crosby,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 3,NATIONAL_LOWER,Republican,1,Celeste Maloy,Celeste,Maloy,true,active,a7983eb6-bae0-4269-856b-f4554fb5ce29,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 3,NATIONAL_LOWER,Republican,1,Phil Lyman,Phil,Lyman,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 3,NATIONAL_LOWER,Democratic,1,Kent Udell,Kent,Udell,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 4,NATIONAL_LOWER,Republican,1,Mike Kennedy,Mike,Kennedy,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,U.S. House District 4,NATIONAL_LOWER,Democratic,1,Jonny Larsen,Jonny,Larsen,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 9,STATE_UPPER,Democratic,1,Jen Plumb,Jen,Plumb,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 9,STATE_UPPER,Republican,1,Thaddeus A. Evans,Thaddeus,Evans,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 11,STATE_UPPER,Republican,1,Brooks Benson,Brooks,Benson,false,active,,https://en.wikipedia.org/wiki/2026_Utah_Senate_election
state,Utah State Senate District 11,STATE_UPPER,Democratic,1,MacKenzie Miller,MacKenzie,Miller,false,active,,https://en.wikipedia.org/wiki/2026_Utah_Senate_election
state,Utah State Senate District 12,STATE_UPPER,Democratic,1,Karen Kwan,Karen,Kwan,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 12,STATE_UPPER,Republican,1,Deidre Tyler,Deidre,Tyler,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 13,STATE_UPPER,Democratic,1,Silvia Catten,Silvia,Catten,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 13,STATE_UPPER,Democratic,1,Evan Done,Evan,Done,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 13,STATE_UPPER,Democratic,1,Taylor J. Paden,Taylor,Paden,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 13,STATE_UPPER,Republican,1,Ryan L. Mahoney,Ryan,Mahoney,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 14,STATE_UPPER,Democratic,1,Stephanie Pitcher,Stephanie,Pitcher,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 14,STATE_UPPER,Democratic,1,Tayler Khater,Tayler,Khater,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 18,STATE_UPPER,Republican,1,Daniel McCay,Daniel,McCay,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 18,STATE_UPPER,Republican,1,Doug Fiefia,Doug,Fiefia,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 18,STATE_UPPER,Democratic,1,A. Dane Anderson,A. Dane,Anderson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 19,STATE_UPPER,Republican,1,Kirk Cullimore,Kirk,Cullimore,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State Senate District 19,STATE_UPPER,Democratic,1,Shana Anderson,Shana,Anderson,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 21,STATE_LOWER,Democratic,1,Stephen Otterstrom,Stephen,Otterstrom,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 21,STATE_LOWER,Democratic,1,Aaron Wiley,Aaron,Wiley,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 22,STATE_LOWER,Republican,1,Char Varga,Char,Varga,false,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 22,STATE_LOWER,Democratic,1,Jen Dailey-Provost,Jen,Dailey-Provost,true,active,,https://vote.utah.gov/2026-candidate-filings/
state,Utah State House District 23,STATE_LOWER,Republican,1,Franklin D. Robinson,Franklin,Robinson,false,active,,https://vote.utah.gov/2026-candidate-filings/
