external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-22003,Clay Higgins,healthcare,4,"Higgins called the ACA ""the most egregious seizure of power and treasure from the American people in history"" and demands full repeal. He argues the U.S. has the world's finest doctors but that insurance costs are driven by regulatory capture, favoring a private-market solution with only limited help for those who cannot afford care — stopping short of full privatization of government programs.",https://www.ontheissues.org/house/Clay_Higgins.htm,https://www.ontheissues.org/house/Clay_Higgins_Health_Care.htm,,"ObamaCare must be repealed. It is the most egregious seizure of power and treasure from the American people in history.","ObamaCare must be repealed. It is the most egregious seizure of power and treasure from the American people in history."
-22003,Clay Higgins,abortion,4,"Higgins co-sponsored the Life at Conception Act (H.R. 816), which would extend 14th Amendment protection to pre-born humans from the moment of fertilization with no stated rape/incest exception, and co-sponsored the Born-Alive Abortion Survivors Protection Act. His own framing permits abortion only when the mother's life is truly at risk, aligning with stance 4.",https://www.ontheissues.org/house/Clay_Higgins_Abortion.htm,https://en.wikipedia.org/wiki/Clay_Higgins,,"96 million children have been murdered in the womb in our country since the 1970s. That's the entire population of TX, LA, AR, MS, AL, and FL.","96 million children have been murdered in the womb in our country since the 1970s. That's the entire population of those six southern states."
-22003,Clay Higgins,tariffs,4,"Higgins characterizes major trade deals like TPP and NAFTA as ""a massive transfer of American wealth"" and calls for American interests to be ""paramount in every single trade agreement."" He supported USMCA for protectionist reasons. His stance is to increase pressure on countries that don't trade fairly, not blanket maximum tariffs on all imports.",https://www.ontheissues.org/house/Clay_Higgins_Free_Trade.htm,https://www.ontheissues.org/house/Clay_Higgins.htm,,"American interests should be paramount in every single trade agreement.","American interests should be paramount in every single trade agreement."
-22003,Clay Higgins,taxes,5,"Higgins proposes eliminating the IRS and replacing the income tax with a 15% federal sales tax (FairTax approach), voted for the 2017 Tax Cuts and Jobs Act cutting the corporate rate from 35% to 21%, and opposes higher taxes on wealthy individuals. This reflects a position to drastically cut taxes and shrink government.",https://www.ontheissues.org/house/Clay_Higgins.htm,https://www.ontheissues.org/house/Clay_Higgins_Corporations.htm,,,,
-22003,Clay Higgins,same-sex-marriage,5,"Higgins stated ""I define marriage Biblically, as between one man and one woman"" and voted against the Respect for Marriage Act (2022), which codified marriage equality protections — a documented anti-recognition vote. This satisfies the evidentiary bar for value=5.",https://www.ontheissues.org/house/Clay_Higgins_Civil_Rights.htm,https://en.wikipedia.org/wiki/Clay_Higgins,,"I define marriage Biblically, as between one man and one woman.","I define marriage Biblically, as between one man and one woman."
-22003,Clay Higgins,religious-freedom,4,"Higgins advocates ""Freedom OF religion, not the freedom FROM religion,"" supports allowing faith-based objections to federal mandates, and voted against same-sex marriage codification partly on religious liberty grounds. His record aligns with protecting faith-based exemptions from conflicting laws rather than granting religious organizations complete autonomy from all oversight.",https://www.ontheissues.org/house/Clay_Higgins.htm,https://www.ontheissues.org/house/Clay_Higgins_Civil_Rights.htm,,"Freedom OF religion, not the freedom FROM religion.","Freedom OF religion, not the freedom FROM religion."
-22003,Clay Higgins,ukraine-support,5,"Higgins introduced legislation to prohibit transferring Army Tactical Missile Systems to Ukraine, voted against a resolution condemning Russia's abduction of Ukrainian children (one of only 9 House Republicans to do so in March 2024), and has described Russia as a ""respected ally."" His record indicates opposition to military aid well beyond mere reduction.",https://en.wikipedia.org/wiki/Clay_Higgins,https://www.ontheissues.org/house/Clay_Higgins_Foreign_Policy.htm,,,,
-22003,Clay Higgins,fossil-fuels,5,"Higgins has a lifetime LCV score of 1% and annual scores of 0% in most recent years. He sponsored H.R. 10549 in December 2024 to abolish the EPA, opposes greenhouse gas emission regulation, and has stated he wants to do ""more in DC to help the oil & gas industry."" This reflects maximizing fossil fuel extraction by removing environmental restrictions.",https://www.lcv.org/congressional-scorecard/moc/clay-higgins,https://www.ontheissues.org/house/Clay_Higgins.htm,https://en.wikipedia.org/wiki/Clay_Higgins,,,
-22003,Clay Higgins,voting-rights,4,"Higgins voted against the For the People Act in both 2019 and 2021, opposing automatic voter registration, same-day registration, and expanded early voting. He sought to challenge the 2020 election results. His record aligns with requiring photo ID and maintaining tighter voter rolls rather than outright elimination of mail-in voting.",https://www.ontheissues.org/house/Clay_Higgins_Government_Reform.htm,https://en.wikipedia.org/wiki/Clay_Higgins,,,,
-22003,Clay Higgins,deportation,4,"Higgins supports locating, identifying, arresting, and deporting all who ""entered our country illegally,"" using ""all available L.E. assets,"" while offering visa overstayers a limited window to regularize status before deportation. This aligns with deporting all without legal status prioritized by criminal history, not immediate blanket deportation regardless of ties.",https://www.ontheissues.org/house/Clay_Higgins_Immigration.htm,https://www.ontheissues.org/house/Clay_Higgins.htm,,,,
-22003,Clay Higgins,climate-change,5,"Higgins sponsored H.R. 10549 to abolish the EPA in December 2024, opposes greenhouse gas regulation, voted against rural electric renewable energy assistance, and has a lifetime LCV score of 1% (0% in 2023 and 2024). His record consistently rejects climate change policies in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/clay-higgins,https://en.wikipedia.org/wiki/Clay_Higgins,https://www.ontheissues.org/house/Clay_Higgins.htm,,,
-22003,Clay Higgins,civil-rights,5,"Higgins voted against the George Floyd Justice in Policing Act (opposing qualified immunity reform), voted against the Equity and Inclusion Enforcement Act allowing civil rights lawsuits, opposed mandatory hiring protections for women and minorities, and voted against the ERA ratification deadline extension. His record reflects eliminating race- and sex-based government enforcement programs.",https://www.ontheissues.org/house/Clay_Higgins_Education.htm,https://www.ontheissues.org/house/Clay_Higgins_Crime.htm,https://www.ontheissues.org/house/Clay_Higgins_Civil_Rights.htm,,,
-22003,Clay Higgins,campaign-finance,4,"Higgins voted against provisions expanding the ban on foreign nationals contributing to elections AND against increased disclosure requirements in campaign spending. Voting against both disclosure and the foreign-donation prohibition signals a preference for reducing restrictions rather than eliminating all laws entirely.",https://www.ontheissues.org/house/Clay_Higgins_Government_Reform.htm,https://www.ontheissues.org/house/Clay_Higgins.htm,,,,
