state,cd,geo_id,election_date,election_name,existing_race_id,candidate_pid,is_incumbent,anomaly,rc_id,full_name,first_name,last_name,photo_url,candidate_status,last_verified_at,source,external_id,created_at,updated_at,occupational_designation,website_url
IN,9,1809,2026-05-05,2026 Indiana Primary,7d3f0042-eb15-462b-bf14-df15244c5d16,037ad94f-d379-4f9c-baf1-a75742a46eac,true,IN9-INCUMBENT-FLAG-BUG,22151151-db64-4f41-8b06-068df102d9f4,James H. (Jim) Graham,James,Graham,,active,2026-03-29T22:37:54.506Z,sos_excel,sos-in-2026p-james-h-jim-graham,2026-03-29T22:37:24.679Z,2026-04-02T01:18:25.557Z,,
IN,9,1809,2026-05-05,2026 Indiana Primary,9d2de2ae-2fef-48b6-b3d4-2787166b78df,68568faf-1e0f-4ca2-89d9-bda625665712,false,IN9-INCUMBENT-FLAG-BUG,a61ab808-846a-4bb7-9544-f9f33357b078,Erin Houchin,Erin,Houchin,,active,2026-03-29T22:37:54.506Z,sos_excel,sos-in-2026p-erin-houchin,2026-03-29T22:37:24.679Z,2026-03-29T22:37:24.679Z,,
IN,9,1809,2026-05-05,2026 Indiana Primary,7d3f0042-eb15-462b-bf14-df15244c5d16,283b1fdd-3d89-4f82-a065-098324f2f967,true,IN9-INCUMBENT-FLAG-BUG,ec6f181a-aeb8-43bd-8e32-83ed47070781,Keil L. Roark,Keil,Roark,,active,2026-03-29T22:37:54.506Z,sos_excel,sos-in-2026p-keil-l-roark,2026-03-29T22:37:24.679Z,2026-04-02T01:18:25.557Z,,
IN,9,1809,2026-05-05,2026 Indiana Primary,7d3f0042-eb15-462b-bf14-df15244c5d16,a9233775-b8af-423e-aea6-734c2855e5ac,true,IN9-INCUMBENT-FLAG-BUG,9fe223d8-1fcc-43b5-8869-b88a5bb5f7ea,Tim Peck,Tim,Peck,,active,2026-03-29T22:37:54.506Z,sos_excel,sos-in-2026p-tim-peck,2026-03-29T22:37:24.679Z,2026-04-02T01:18:25.557Z,,
IN,9,1809,2026-05-05,2026 Indiana Primary,7d3f0042-eb15-462b-bf14-df15244c5d16,926943ad-ee64-4ddb-b9e7-6475a6a2d087,true,IN9-INCUMBENT-FLAG-BUG,e013947d-ae17-4f26-bb7c-c35f485fd1bc,Brad A. Meyer,Brad,Meyer,,active,2026-03-29T22:37:54.506Z,sos_excel,sos-in-2026p-brad-a-meyer,2026-03-29T22:37:24.679Z,2026-04-02T01:18:25.557Z,,
ME,1,2301,2026-06-09,2026 Maine State Primary,85a71850-55fd-4bbe-9f47-c1f4d5b8abd0,,false,,69dcbd12-2362-4b5c-b472-af8c35da3ccb,Ronald Russell,Ronald,Russell,,filed,,https://www.maine.gov/sos/elections-voting/upcoming-elections,,2026-05-20T18:08:12.109Z,2026-05-20T18:08:12.109Z,,
ME,1,2301,2026-06-09,2026 Maine State Primary,85a71850-55fd-4bbe-9f47-c1f4d5b8abd0,,false,,4fe2e7d4-2362-4b83-9656-9732ec1d8634,Joshua Pietrowicz,Joshua,Pietrowicz,,filed,,https://www.maine.gov/sos/elections-voting/upcoming-elections,,2026-05-20T18:08:12.109Z,2026-05-20T18:08:12.109Z,,
ME,1,2301,2026-06-09,2026 Maine State Primary,85a71850-55fd-4bbe-9f47-c1f4d5b8abd0,1638b2c9-4811-466d-bb24-44c6cece8cda,true,,68475e64-e5d4-4987-b410-9ca09ea7c73d,Chellie Pingree,Chellie,Pingree,,filed,,https://www.maine.gov/sos/elections-voting/upcoming-elections,,2026-05-20T18:08:12.109Z,2026-05-20T18:08:12.109Z,,
ME,1,2301,2026-11-03,2026 Maine General Election,d92aa73a-17db-4ba1-bfaf-46640f66f8f5,1638b2c9-4811-466d-bb24-44c6cece8cda,true,,a93b5364-f9bc-406b-b175-8c452dcaf276,Chellie Pingree,Chellie,Pingree,,filed,,https://www.maine.gov/sos/elections-voting/upcoming-elections,,2026-05-20T18:08:12.109Z,2026-05-20T18:08:12.109Z,,
ME,2,2302,2026-06-09,2026 Maine State Primary,0c0cd66e-e967-42c7-9ee7-e88346c743fb,,false,,ef88a3c8-309e-4875-b435-b391e232a76b,Joe Baldacci,Joe,Baldacci,,filed,,https://www.maine.gov/sos/elections-voting/upcoming-elections,,2026-05-20T18:08:12.109Z,2026-05-20T18:08:12.109Z,,
