state,cd,geo_id,incumbent_name,incumbent_pid,incumbent_external_id,incumbent_is_active,incumbent_stance_count,incumbent_top_up_tier
AL,1,0101,Barry Moore,ea4cb6d8-76aa-47f4-a064-babaac0bc436,-1001,true,12,partial
AL,2,0102,Shomari Figures,e54e3ded-838d-4980-82c8-ef23c19118a7,-1002,true,4,partial
AL,3,0103,Mike Rogers,dafa64fd-de0a-4b33-817c-813d3c799b99,-1003,true,5,partial
AL,4,0104,Robert B. Aderholt,7b36e7d8-f8da-4c97-b268-04d59e9b69cc,-1004,true,13,partial
AL,5,0105,Dale W. Strong,b22cfe0d-7194-4e4e-ae86-698ce73b4c78,-1005,true,13,partial
AL,6,0106,Gary J. Palmer,9c7e62aa-c793-4630-b58b-4eb219b91d30,-1006,true,18,partial
AL,7,0107,Terri A. Sewell,c269ef7a-8a6f-4641-9a75-ecea19905268,-1007,true,19,partial
AK,0,0200,Nicholas J. Begich III,07c7a121-520f-4651-a1a0-5f38d20f8e0b,-2000,true,9,partial
AZ,1,0401,David Schweikert,17e59190-17e2-4a90-8353-b5ea8d083480,-4001,true,17,partial
AZ,2,0402,Elijah Crane,8bb653bd-9cfb-4c1e-a2a0-76b5258c1e61,-4002,true,12,partial
AZ,3,0403,Yassamin Ansari,dde8a67d-a16a-4442-9732-3e620f4f561b,-4003,true,9,partial
AZ,4,0404,Greg Stanton,df1dff40-54c1-47a8-bd36-d3d0bd4e820b,-4004,true,11,partial
AZ,5,0405,Andy Biggs,8118811a-aadd-4eb9-9208-de0f5d3b29ad,-4005,true,20,partial
AZ,6,0406,Juan Ciscomani,c84bc9f3-6398-4d58-92b8-bbe6f6d1cdd3,-4006,true,9,partial
AZ,7,0407,Adelita S. Grijalva,b0215f01-089f-4892-85a1-f9abcb4ff4af,-4007,true,8,partial
AZ,8,0408,Abraham J. Hamadeh,ed20dd3f-a463-43c0-b08c-23cbf2a5e387,-4008,true,7,partial
AZ,9,0409,Paul A. Gosar,efd863c6-df64-4b40-9b49-73ddd003dc5d,-4009,true,20,partial
