state,cd,geo_id,target_election,existing_race_id,incumbent_name,incumbent_pid,incumbent_external_id,incumbent_stance_count,incumbent_top_up_tier,nominee_status,general_candidates,new_records_needed,field_status,source_url,seeding_phase,ballot_system,rcv,filing_open_deadline
KY,1,2101,KY 2026 Statewide General,,James Comer,4fbc85b6-5d8b-4ee6-8328-adb433897b2e,-21001,12,partial,renominated,"James R. Comer (R); John ""Drew"" Williams (D)","John ""Drew"" Williams (D); NOTE-EXTERNAL-ID-COLLISION: KY-CD1 negative-ID band 98/99 occupied — Phase 164 seeding MUST use the alternate 200+ sub-band (safe_start_seq=200 per 160-negative-id-audit.csv)",decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
KY,2,2102,KY 2026 Statewide General,,Brett Guthrie,056b7a21-bdf1-4d7d-a992-be0f5db74fb0,-21002,17,partial,renominated,S. Brett Guthrie (R); Megan Wingfield (D); Thomas A. Loecken (Independent),Megan Wingfield (D); Thomas A. Loecken (Independent),decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
KY,3,2103,KY 2026 Statewide General,,Morgan McGarvey,9c8e165b-9079-4ed2-ad0a-0a9d98fd9931,-21003,6,partial,renominated,Morgan McGarvey (D); Maria Teresa Rodriguez (R),Maria Teresa Rodriguez (R),decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
KY,4,2104,KY 2026 Statewide General,,Thomas Massie,4d92b909-6add-4486-b0cf-f317b4e10e9b,-21004,18,partial,lost-primary,Ed Gallrein (R); Melissa Claire Strange (D); Mohammad Wael Ahmad (Kentucky Party); Jeremy Todd (Libertarian),Ed Gallrein (R); Melissa Claire Strange (D); Mohammad Wael Ahmad (Kentucky Party); Jeremy Todd (Libertarian),decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
KY,5,2105,KY 2026 Statewide General,,Harold Rogers,8f1c9df6-5649-4b49-a18c-09864a2e9763,-21005,18,partial,renominated,Hal Rogers (R); Ned Pillersdorf (D); Gerardo Serrano (Independent); Mikel Wein (Independent),Ned Pillersdorf (D); Gerardo Serrano (Independent); Mikel Wein (Independent),decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
KY,6,2106,KY 2026 Statewide General,,Andy Barr,164fb70e-b8c1-48cd-a6ef-12d80165c67d,-21006,16,partial,retired,Ralph Alvarado (R); Zach Dembo (D); Jay J Bowman (Independent); Pete Lynch (Kentucky Party),Ralph Alvarado (R); Zach Dembo (D); Jay J Bowman (Independent); Pete Lynch (Kentucky Party),decided,https://web.sos.ky.gov/CandidateFilings/Default.aspx?id=4,164,standard,false,
OR,1,4101,OR 2026 General,8dfd6e35-f91d-4d14-bcec-ae983035da51,Suzanne Bonamici,6ffb9093-7489-4197-aebc-67065c239fc3,-4102001,24,done,renominated,Suzanne Bonamici (D); Barbara Kahl (R),Barbara Kahl (R),decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oregon,164,standard,false,2026-08-25
OR,2,4102,OR 2026 General,504a156a-d4e6-4abe-9a85-a418c0135805,Cliff Bentz,fb00c887-11f5-46f2-b822-f9848368bbd2,-4102002,21,partial,renominated,Cliff Bentz (R); Chris Beck (D),Chris Beck (D),decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oregon,164,standard,false,2026-08-25
OR,3,4103,OR 2026 General,61297fac-c98d-4ad4-b93f-b2e36722bd6a,Maxine Dexter,13dcf1a8-c0bf-4e2f-92aa-46637182b42a,-4102003,12,partial,renominated,Maxine Dexter (D); Loran Ayles (R),Loran Ayles (R),decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oregon,164,standard,false,2026-08-25
OR,4,4104,OR 2026 General,c5023da0-985e-4e1c-817c-a843849ef6e9,Val Hoyle,f6202cef-4e46-4db5-a9c0-c69ac9a8eccd,-4102004,20,partial,renominated,Val Hoyle (D); Monique DeSpain (R); Justin Filip (Pacific Green),Monique DeSpain (R); Justin Filip (Pacific Green),decided,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oregon,164,standard,false,2026-08-25
