external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-20001,Tracey Mann,abortion,5,"Stated 'Enforce life beginning at conception' in a 2020 AFA survey, indicating opposition to abortion at any stage with no exceptions. He self-describes as 'pro life' and has been strongly anti-Planned Parenthood.",https://www.ontheissues.org/House/Tracey_Mann.htm,,,"""Enforce life beginning at conception.""","""Enforce life beginning at conception."""
-20001,Tracey Mann,healthcare,4,"Opposes expanding the ACA and favors market-based healthcare solutions. His voting record reflects opposition to government-run coverage expansion, aligning with leaving most Americans to employers and private insurance while limiting public programs to the poorest.",https://www.ontheissues.org/House/Tracey_Mann.htm,,,
-20001,Tracey Mann,immigration,4,"Strongly supports border wall construction, E-Verify mandates, anti-sanctuary city policies, and backed the Laken Riley Act targeting immigrant crime. His record reflects making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/House/Tracey_Mann.htm,https://en.wikipedia.org/wiki/Tracey_Mann,,
-20001,Tracey Mann,climate-change,5,"LCV lifetime score of 1% with a 0% score in 2025 (33 anti-environment votes, zero pro-environment). Led efforts to delist the lesser prairie chicken from the Endangered Species Act, reflecting a consistent rejection of climate and environmental protection policies.",https://www.lcv.org/congressional-scorecard/moc/tracey-mann,https://en.wikipedia.org/wiki/Tracey_Mann,,
-20001,Tracey Mann,fossil-fuels,5,"LCV lifetime score of 1% with zero pro-environment votes in 2025 indicates consistent support for removing environmental restrictions. Led efforts to strip ESA protections in his agricultural district, reflecting a posture of maximizing fossil fuel and natural resource extraction with minimal regulatory barriers.",https://www.lcv.org/congressional-scorecard/moc/tracey-mann,https://en.wikipedia.org/wiki/Tracey_Mann,,
-20001,Tracey Mann,same-sex-marriage,5,"Voted against the Respect for Marriage Act (2022), a documented vote against federal recognition of same-sex marriages. Also stated 'business liberty over gay marriage' in a 2020 AFA survey.",https://en.wikipedia.org/wiki/Tracey_Mann,https://www.ontheissues.org/House/Tracey_Mann.htm,,"Business liberty over gay marriage.","Business liberty over gay marriage."
-20001,Tracey Mann,religious-freedom,4,"Stated 'Separation doesn't mean taking God out of our schools' and scored strongly on religious liberty in AFA surveys. His record reflects support for faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Tracey_Mann.htm,,,"Separation doesn't mean taking God out of our schools.","Separation doesn't mean taking God out of our schools."
-20001,Tracey Mann,voting-rights,4,"Voted to overturn the 2020 presidential election results and opposed expanding voter registration. His record aligns with requiring photo ID for voting and regularly purging voter rolls.",https://en.wikipedia.org/wiki/Tracey_Mann,https://www.ontheissues.org/House/Tracey_Mann.htm,,
-20001,Tracey Mann,ukraine-support,4,"Voted against additional aid to Ukraine in 2024, reflecting a preference to reduce aid and focus American resources on domestic priorities rather than continued military support for Ukraine.",https://en.wikipedia.org/wiki/Tracey_Mann,,,
-20001,Tracey Mann,medicare/aid,4,"Stated he 'strongly believes we must strengthen Medicaid to protect benefits for vulnerable Kansans' but voted for the One Big Beautiful Bill Act (May 2025) which included significant Medicaid cuts — consistent with partial privatization and reducing Medicaid coverage scope.",https://en.wikipedia.org/wiki/Tracey_Mann,,,"I strongly believe we must strengthen Medicaid to protect benefits for the thousands of vulnerable Kansans who rely on it.","I strongly believe we must strengthen Medicaid to protect benefits for the thousands of vulnerable Kansans who rely on it."
-20001,Tracey Mann,taxes,4,"Opposed the $1.9 trillion American Rescue Plan (COVID relief bill, Mar 2021) and opposes livable wage requirements. His record reflects support for cutting taxes and scaling back public spending rather than maintaining current rates.",https://www.ontheissues.org/House/Tracey_Mann.htm,,,
-20001,Tracey Mann,deportation,4,"Supported the Laken Riley Act targeting crimes by immigrants, backs ICE enforcement, opposes sanctuary cities, and supports E-Verify. His record aligns with deporting all people without legal status starting with those who have criminal records.",https://en.wikipedia.org/wiki/Tracey_Mann,https://www.ontheissues.org/House/Tracey_Mann.htm,,
-20001,Tracey Mann,civil-rights,5,"Voted against the Equality Act (2021) and against the Respect for Marriage Act (2022), reflecting opposition to expanding federal civil rights protections for LGBTQ+ individuals and resistance to race-based and identity-based government programs.",https://en.wikipedia.org/wiki/Tracey_Mann,https://www.ontheissues.org/House/Tracey_Mann.htm,,
