politician_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
00abc782-e86b-40f2-be0d-f07fad802688,Ron Johnson,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
023c6644-356e-4afb-925b-e20f9c32209b,Jim Banks,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
0942f325-1180-4e1a-b1df-06438f1792a3,Tom Cotton,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
0ba1cecc-8493-495b-8d58-34d50bbacfba,Katie Britt,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
0dd5daa6-87cf-43a7-a1ee-25349ae35e27,Bill Hagerty,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
102b239c-0a3d-44b9-ae32-88d8179197e2,Todd Young,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
108e7bcc-554a-49d7-81f0-c3058f933a07,Josh Hawley,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-118s214pcs/html/BILLS-118s214pcs.htm,,
129c2764-370c-4385-ad64-4cb5744c3541,Rick Scott,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
130591ca-bfd1-4691-916b-3570341b04fb,Joni Ernst,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
20aa1064-bbe7-484c-b779-28d99e92e608,Lindsey Graham,gun-policy,4,"A bill to allow reciprocity for the carrying of certain concealed firearms: an individual who is not prohibited by Federal law from possessing a firearm, and who is carrying a valid license or permit issued pursuant to the law of a State, may carry a concealed handgun in any State other than the State of residence of the individual that allows residents to obtain licenses or permits to carry concealed firearms.",https://www.govinfo.gov/content/pkg/BILLS-119s65is/html/BILLS-119s65is.htm,,
