politician_id,full_name,topic_key,verdict,on_axis,off_axis,non_operative,best_role,best_bill,best_introduced,best_title
00abc782-e86b-40f2-be0d-f07fad802688,Ron Johnson,border-security,settleable,2,3,1,cosponsor,S. 286,2025-01-28,Stop Human Trafficking of Unaccompanied Migrant Children Act of 2025
00abc782-e86b-40f2-be0d-f07fad802688,Ron Johnson,gun-policy,settleable,4,0,0,cosponsor,S. 65,2025-01-09,Constitutional Concealed Carry Reciprocity Act of 2025
00abc782-e86b-40f2-be0d-f07fad802688,Ron Johnson,israel-military-aid,settleable,4,0,4,cosponsor,S. 5303,2024-11-13,Stand with Israel Act
023c6644-356e-4afb-925b-e20f9c32209b,Jim Banks,border-security,settleable,1,3,1,cosponsor,S. 5371,2026-08-07,Stopping Border Surges Act
023c6644-356e-4afb-925b-e20f9c32209b,Jim Banks,gun-policy,settleable,4,2,0,cosponsor,S. 65,2025-01-09,Constitutional Concealed Carry Reciprocity Act of 2025
023c6644-356e-4afb-925b-e20f9c32209b,Jim Banks,israel-military-aid,settleable,3,5,4,sponsor,S. 2216,2025-07-09,"Weapons Resupply, Stockpile, and Alliance–Israel Act"
059dab9f-a79a-4664-b4cf-26b0655c596f,Tammy Duckworth,border-security,settleable,4,0,2,cosponsor,S. 3702,2026-01-27,Dignity for Detained Immigrants Act
059dab9f-a79a-4664-b4cf-26b0655c596f,Tammy Duckworth,gun-policy,settleable,6,21,5,cosponsor,S. 3458,2025-12-11,Background Check Completion Act of 2025
059dab9f-a79a-4664-b4cf-26b0655c596f,Tammy Duckworth,israel-military-aid,non-operative-only,0,0,5,,,,
0942f325-1180-4e1a-b1df-06438f1792a3,Tom Cotton,border-security,settleable,5,4,1,sponsor,S. 3488,2025-12-16,Asylum Reform and Loophole Closure Act
0942f325-1180-4e1a-b1df-06438f1792a3,Tom Cotton,gun-policy,settleable,4,6,0,cosponsor,S. 65,2025-01-09,Constitutional Concealed Carry Reciprocity Act of 2025
0942f325-1180-4e1a-b1df-06438f1792a3,Tom Cotton,israel-military-aid,settleable,6,1,6,sponsor,S. 4337,2024-05-15,Israel Security Assistance Support Act
0ba1cecc-8493-495b-8d58-34d50bbacfba,Katie Britt,border-security,settleable,4,4,1,sponsor,S. 348,2023-02-09,Asylum Abuse Reduction Act
0ba1cecc-8493-495b-8d58-34d50bbacfba,Katie Britt,gun-policy,settleable,4,3,0,cosponsor,S. 65,2025-01-09,Constitutional Concealed Carry Reciprocity Act of 2025
0ba1cecc-8493-495b-8d58-34d50bbacfba,Katie Britt,israel-military-aid,settleable,4,1,12,cosponsor,S. 1521,2025-04-30,Stand with Israel Act
0dd5daa6-87cf-43a7-a1ee-25349ae35e27,Bill Hagerty,border-security,settleable,2,5,0,cosponsor,S. 2905,2023-09-21,No Asylum for CCP Spies Act
0dd5daa6-87cf-43a7-a1ee-25349ae35e27,Bill Hagerty,gun-policy,settleable,4,6,1,cosponsor,S. 65,2025-01-09,Constitutional Concealed Carry Reciprocity Act of 2025
0dd5daa6-87cf-43a7-a1ee-25349ae35e27,Bill Hagerty,israel-military-aid,settleable,2,0,7,cosponsor,S. 1521,2025-04-30,Stand with Israel Act
0eabc969-c1a1-47b7-8d34-6113b723a170,Jeff Merkley,border-security,settleable,3,1,0,cosponsor,S. 3702,2026-02-03,Dignity for Detained Immigrants Act
0eabc969-c1a1-47b7-8d34-6113b723a170,Jeff Merkley,gun-policy,settleable,5,11,3,cosponsor,S. 3214,2025-11-19,Background Check Expansion Act
0eabc969-c1a1-47b7-8d34-6113b723a170,Jeff Merkley,israel-military-aid,settleable,10,0,5,cosponsor,SJRES. 32,2026-04-15,A joint resolution providing for congressional disapproval of the proposed foreign military sale to the Government of Israel of certain defense articles and services.
0f06ced9-84c7-4020-98fd-82ac25d49027,Patty Murray,border-security,settleable,4,3,1,cosponsor,S. 3702,2026-01-27,Dignity for Detained Immigrants Act
0f06ced9-84c7-4020-98fd-82ac25d49027,Patty Murray,gun-policy,settleable,4,2,1,cosponsor,S. 3214,2025-11-19,Background Check Expansion Act
0f06ced9-84c7-4020-98fd-82ac25d49027,Patty Murray,israel-military-aid,non-operative-only,0,0,1,,,,
0fd03798-714d-4976-a9b6-448aa22d8a68,Ruben Gallego,border-security,settleable,2,3,2,cosponsor,S. 1965,2025-12-09,Protect Vulnerable Immigrant Youth Act
0fd03798-714d-4976-a9b6-448aa22d8a68,Ruben Gallego,gun-policy,settleable,4,2,4,cosponsor,S. 3214,2025-11-19,Background Check Expansion Act
0fd03798-714d-4976-a9b6-448aa22d8a68,Ruben Gallego,israel-military-aid,off-axis-only,0,3,3,,,,
