# AL split state. Severe (withheld) geo_ids per 163-al-correspondence-audit.md: 0102 (AL-2 only). Late-primary (PROVISIONAL) districts: AL-1/2/6/7 (Aug-11 special primary, cull >= 2026-08-12). Withheld election date 2026-06-02 (SCOTUS stay), validated invisible (>30d past) at execution 2026-07-05. SCOTUS stay confirmed operative by 163-01 audit re-verification (2026-07-05).
cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,primary_timing,severity,election,source
1,0101,"Barry Moore",R,REUSE-NO-ROW,-1001,true,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
1,0101,"Lucas Burger",R,NEW,-10101,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
1,0101,"Jerry Carl",R,NEW,-10102,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
1,0101,"John Mills",R,NEW,-10103,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
1,0101,"Austin Sidwell",R,NEW,-10104,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
1,0101,"Clyde Jones",D,NEW,-10105,false,LATE-PRIMARY,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"Shomari Figures",D,REUSE,-1002,true,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"Hampton Harris",R,NEW,-10201,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"Christian Horn",R,NEW,-10202,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"Rhett Marques",R,NEW,-10203,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"David Matthews",R,NEW,-10204,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"Joshua McKee",R,NEW,-10205,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
2,0102,"James Richardson",R,NEW,-10206,false,LATE-PRIMARY,SEVERE,"AL 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
3,0103,"Mike Rogers",R,REUSE,-1003,true,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
3,0103,"Lee McInnis",D,NEW,-10301,false,DECIDED,NOT-SEVERE,"AL 2026 Statewide General","160-field-table-p163.csv (AL rows), sourced from Wikipedia 2026 US House elections in Alabama; AL-1/2/6/7 provisional pre-primary field (Aug-11 SCOTUS-ordered special primary), cull >= 2026-08-12; AL-3/4/5 decided general field"
