cd,geo_id,ballot_name,party_from_field,role,decision,assign_external_id,existing_pid,is_incumbent,source
1,1801,"Frank Mrvan",D,D,REUSE-INC,-18001,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
1,1801,"Barb Regnitz",R,R,NEW,-180101,,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
2,1802,"Rudy Yakym III",R,R,REUSE-INC,-18002,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
2,1802,"Jamee Decio",D,D,NEW,-180201,,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
2,1802,"William Henry",L,L,REUSE-PID,-180202,cfca3142-3f46-4ff3-a77f-cbb2438929d8,false,"IN SoS 2026 filings, declared minor-party/independent (decided field, May-5 primary)"
3,1803,"Marlin Stutzman",R,R,REUSE-INC,-18003,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
3,1803,"Kelly Thompson",D,D,REUSE-PID,-180301,e976e2c2-52c1-48c9-a5a6-4337d6740f71,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
4,1804,"Jim Baird",R,R,REUSE-INC,499386,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
4,1804,"Drew Cox",D,D,NEW,-180401,,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
5,1805,"Victoria Spartz",R,R,REUSE-INC,-18005,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
5,1805,"J.D. Ford",D,D,REUSE-PID,-180501,ad47de71-253c-4710-976e-1d57b7787cae,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
6,1806,"Jefferson Shreve",R,R,REUSE-INC,-18006,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
6,1806,"Cinde Wirth",D,D,REUSE-PID,-180601,90342c06-b82a-4e86-8d89-152ab07a4c66,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
7,1807,"André Carson",D,D,REUSE-INC,499408,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
7,1807,"Patrick McAuley",R,R,REUSE-PID,-180701,cda9e16f-b175-42ee-bc16-a8f110512392,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
7,1807,"James Sceniak",L,L,NEW,-180702,,false,"IN SoS 2026 filings, declared minor-party/independent (decided field, May-5 primary)"
8,1808,"Mark Messmer",R,R,REUSE-INC,499413,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
8,1808,"Mary Allen",D,D,NEW,-180801,,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
9,1809,"Erin Houchin",R,R,REUSE-INC,499417,,true,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
9,1809,"Brad Meyer",D,D,REUSE-PID,-180901,926943ad-ee64-4ddb-b9e7-6475a6a2d087,false,"IN SoS 2026 filings + Wikipedia/GreenPapers 2026 IN US House (decided field, May-5 primary)"
9,1809,"Tonya Hudson",L,L,REUSE-PID,-180902,8f08a551-71c8-43c4-9bcc-b18fd3ac0abc,false,"IN SoS 2026 filings, declared minor-party/independent (decided field, May-5 primary)"
