politician_id,full_name,city,office,match_count,filer_ids,committee_names,status
f1f9d53e-2972-406d-9979-90119d893508,Deborah Klein Lopez,Agoura Hills,Council Member,3,1406127 | 1446788 | 1477694,LOPEZ FOR CITY COUNCIL 2018; COMMITTEE TO ELECT DEBORAH KLEIN | LOPEZ FOR CITY COUNCIL 2022; COMMITEE TO REELECT DEBORAH KLEIN | LOPEZ FOR ASSEMBLY 2026; DEBORAH KLEIN,matched
22466ac0-0239-4dcb-80f2-26c5ff0e5f18,Katherine Lee,Alhambra,Mayor,2,1406827 | 1450594,LEE FOR CITY COUNCIL 2018; KATHERINE | LEE FOR CITY COUNCIL 2022; KATHERINE,matched
f9877088-2efa-4db3-9055-1f3750318d40,Noya Wang,Alhambra,Council Member,0,,,no_match
173f125c-0ec3-488e-8b74-ffd991e1a87b,Eileen Wang,Arcadia,Council Member,2,1444577 | 1483690,WANG FOR ARCADIA CITY COUNCIL 2022; EILEEN | WANG FOR ARCADIA CITY COUNCIL 2026; EILEEN,matched
a12c2ac8-8b80-42cb-9299-daf06c039d16,Mary Schickling,Avalon,Council Member,0,,,no_match
b487822a-9f5a-4d20-8bf1-16c83ecf9076,Michael Ponce,Avalon,Council Member,0,,,no_match
eeb8aa35-04e4-4b7a-862b-b3f3f7f9895f,Yesenia De La,Avalon,Council Member,0,,,ambiguous_name
55cc57ed-a9c0-4303-80ff-35309b9b968a,Andrew N. Mendez,Azusa,Council Member,0,,,no_match
5cf487ec-b383-466f-a5db-b01b607acd9c,Alejandra Avila,Baldwin Park,Mayor,3,1322299 | 1408861 | 1455242,"AVILA FOR CITY CLERK 2009, BALDWIN PARK FOR ALEJANDRA | AVILA FOR CITY COUNCIL 2018; ALEJANDRA | AVILA FOR CITY COUNCIL 2022; ALEJANDRA",matched
0226381e-8146-44c6-a1e0-d7ac1a15b79f,Alicia Romero,Bell,Council Member,0,,,no_match
b58259bf-8703-4ddd-b487-668074a9b8ee,Jorgel Chavez,Bell Gardens,Council Member,0,,,no_match
f56a4c3b-82a1-4879-8a99-6ff6b5fdf5bf,Leon Sanchez,Bell Gardens,Council Member,0,,,no_match
4384a5d8-68b2-4e24-81e2-5208f5c61a34,Victor A. Sanchez,Bellflower,Council Member,1,1420399,SANCHEZ FOR BELLFLOWER COUNCIL 2024; VICTOR A,matched
1221c215-2b80-46f7-b980-c04f25c5866f,Craig A. Corman,Beverly Hills,Council Member,1,1462515,CORMAN FOR BEVERLY HILLS CITY COUNCIL 2024; CRAIG,matched
4f69ba91-d6f4-400e-aa46-10f1706d2f3c,Lester Friedman,Beverly Hills,Mayor,3,1388782 | 1442212 | 1487185,FRIEDMAN FOR CITY COUNCIL (2017); LESTER | FRIEDMAN FOR BH CITY COUNCIL (2022); LESTER | FRIEDMAN FOR BEVERLY HILLS CITY COUNCIL 2026; RE-ELECT LESTER,matched
56f1b5c2-8330-413f-b220-2816048b72bc,Melodie Szymkowski,Bradbury,Council Member,0,,,no_match
d8973879-336a-48c7-b87c-4a3749af803b,Richard G. Barakat,Bradbury,Council Member,0,,,no_match
e27fa9bb-cd4a-4e1b-a8ee-330dcfd3d4ae,Lula Davis Holmes,Carson,Mayor,4,1239133 | 1288860 | 1353776 | 1423791,"DAVIS-HOLMES, COMMITTEE TO ELECT LULA | DAVIS-HOLMES FOR CITY COUNCIL 2018, LULA | DAVIS-HOLMES FOR CARSON MAYOR 2013, FRIENDS OF LULA | HOLMES FOR MAYOR 2024; LULA DAVIS -",matched
36b686ca-f225-4b8b-8430-a5dd8996d38a,Mayor Lula Davis Holmes,Carson,Council Member,2,1353776 | 1423791,"DAVIS-HOLMES FOR CARSON MAYOR 2013, FRIENDS OF LULA | HOLMES FOR MAYOR 2024; LULA DAVIS -",matched
3aedc075-d219-40f9-932b-c92d000c5d9a,Sal Medina,Claremont,Council Member,1,1433397,MEDINA FOR CITY COUNCIL 2024; COMMITTEE TO ELECT SAL,matched
09da90d6-7ab7-494a-a4b6-9665a30aed16,Mireya Garcia,Commerce,Council Member,1,1446919,GARCIA FOR COMMERCE CITY COUNCIL 2026; FRIENDS OF MIREYA,matched
c47e19eb-53cc-4de3-a0f2-d2c6882addea,Lillie Darden -,Compton,Council Member,0,,,ambiguous_name
46b11d60-167a-4c2d-bf40-4b1df8df1dd4,Amanda Gomez,Cudahy,Council Member,0,,,no_match
f5f6cfde-f4ee-4bdf-8b01-7f797c53ed39,Yasmine-Imani McMorrin,Culver City,Council Member,0,,,no_match
f34cded6-da16-4ce7-aed9-e5ef2b905108,Andrew Chou,Diamond Bar,Council Member,2,1407610 | 1440052,CHOU FOR DIAMOND BAR CITY COUNCIL 2018; ANDREW | CHOU FOR DIAMOND BAR CITY COUNCIL 2022; ANDREW,matched
71acf86b-dbef-4ff9-85a9-310f05c5c896,Stan Liu,Diamond Bar,Council Member,2,1428582 | 1471608,LIU FOR DIAMOND BAR CITY COUNCIL 2020; STAN | LIU FOR DIAMOND BAR CITY COUNCIL 2024; STAN,matched
06b1dae6-5fcf-4a1f-ba89-d06cbae5c19d,Mario Trujillo -,Downey,Council Member,0,,,ambiguous_name
32a054c8-990a-4cad-a7d4-86964b42b402,Cesar A. Garcia,Duarte,Mayor,1,1452511,GARCIA CAMPAIGN FOR DUARTE CITY COUNCIL 2022; CESAR A.,matched
f034f7ef-2aef-43fa-8d06-1f6902705dc4,Cindy Galvan,El Monte,Council Member,1,1467786,GALVAN FOR EL MONTE CITY COUNCIL DISTRICT 5 2024; CINDY,matched
e47a9ca8-6e94-4467-b16e-722ebe36d0d2,Dr. Julia Ruedas,El Monte,Council Member,3,1379206 | 1450674 | 1476923,RUEDAS FOR EL MONTE CITY SCHOOL BOARD 2015; JULIA | RUEDAS FOR EL MONTE CITY COUNCIL 2022; JULIA | RUEDAS FOR EL MONTE CITY COUNCIL 2026; JULIA,matched
0738714b-e2e0-42d6-b594-2edfa28736b5,Julia Ruedas,El Monte,Councilmember,3,1379206 | 1450674 | 1476923,RUEDAS FOR EL MONTE CITY SCHOOL BOARD 2015; JULIA | RUEDAS FOR EL MONTE CITY COUNCIL 2022; JULIA | RUEDAS FOR EL MONTE CITY COUNCIL 2026; JULIA,matched
e39b0a67-2447-4d25-b207-6a6c20307d94,Martin Herrera,El Monte,Council Member,0,,,no_match
bb21e688-3264-4237-beda-e748db65384a,Sheila Crippen-Thomas,El Monte,Council Member,1,1469478,CRIPPEN-THOMAS FOR CITY COUNCIL 2024; SHEILA,matched
2fdc11f7-438d-418a-9ec9-2cbbb0ad49b7,Chris Pimentel,El Segundo,Mayor,1,1402500,PIMENTEL TO CITY COUNCIL 2018; COMMITTEE TO ELECT CHRIS,matched
b9149eb5-4dc6-400e-b685-92ad0fa05b18,Karen Davis,Glendora,Council Member,4,1272543 | 1313569 | 1389661 | 1445793,"DAVIS FOR CITY COUNCIL COMMITTEE, KAREN | DAVIS, COMMITTEE TO RE-ELECT KAREN | DAVIS TO CITY COUNCIL 2017, COMMITTEE TO RE-ELECT KAREN | DAVIS TO CITY COUNCIL 2022; COMMITTEE TO RE-ELECT KAREN",matched
7ec1b8a2-d0e6-45cc-9af1-17c578f22540,Mendell Thompson,Glendora,Council Member,1,1373883,THOMPSON FOR GLENDORA CITY COUNCIL 2015; MENDELL L.,matched
f0ac4372-89cd-48ab-9e71-fa8364323a0c,Raymond Jackson,Hermosa Beach,Council Member,0,,,no_match
a2c6ca8b-b596-447b-bbef-8b1698a6be9e,Larry G. Weber,Hidden Hills,Mayor,0,,,no_match
e7a155f4-eb21-4e0f-b901-695f64ccb5cb,Casey McKeon,Huntington Beach,Council Member,0,,,no_match
86ceb1d5-b225-4a1b-9eb0-bb708532eea8,Chad Williams,Huntington Beach,Council Member,1,1462406,WILLIAMS FOR CITY COUNCIL 2024; CHAD,matched
01f9f586-aac2-4c17-8f1c-faf031f7de29,Don Kennedy,Huntington Beach,Council Member,0,,,no_match
1a228795-a2b3-4995-8fc1-bd3d141dc8c8,Mark Radecki,Industry,Council Member,0,,,no_match
21df8452-8fcb-4d3e-aac4-09aeec996e16,Newell Ruggles,Industry,Council Member,0,,,no_match
ff97a6bb-0c1c-465a-9300-817385a8fceb,Eloy Morales Jr.,Inglewood,Council Member,3,1251899 | 1292770 | 1357192,"MORALES JR., FRIENDS OF ELOY | MORALES JR., COMMITTEE TO RE-ELECT COUNCILMAN ELOY | MORALES FOR STATE ASSEMBLY 2014, ELOY",matched
f5775ca1-99f4-4cc2-acf2-5afaacdd94b3,James T. Butts Jr.,Inglewood,Mayor,1,1325645,BUTTS FOR MAYOR 2026; JAMES,matched
a2c92310-496f-4c38-894c-0fef00663a2b,Manuel R. Garcia,Irwindale,Council Member,1,1034573,"GARCIA, COMMITTEE TO ELECT MANUEL D.",matched
b095ef0c-5662-4176-b7db-9af888cdd927,Mark A. Breceda,Irwindale,Council Member,0,,,no_match
