politician_name,office_title,committee_name,external_id,decision,reason
"Aaron Freeman","Indiana Elected Official","Freeman for Indiana","6775","confirm","lastName ""Freeman"" in committee name with signal word"
"Aaron Higgins","State Senator","HigginsFor Senate Committee","7647","confirm","lastName ""Higgins"" in committee name with signal word"
"Aaron Mishler","Indiana Elected Official","Mishler for Indiana","7387","confirm","lastName ""Mishler"" in committee name with signal word"
"Abby Norden","Indiana Elected Official","Abby for Indiana","7746","reject","lastName ""Norden"" not found in committee name"
"Adam Krupp","Indiana Elected Official","Hoosiers for Adam Krupp","7333","confirm","lastName ""Krupp"" in committee name with signal word"
"Aimee Cole","State Representative","Cole for State Rep","7073","confirm","lastName ""Cole"" in committee name with signal word"
"Alaina Shonkwiler","Indiana Elected Official","Alaina for Noblesville","7787","reject","lastName ""Shonkwiler"" not found in committee name"
"Alan Morrison","Director of Natural Resources","Committee to Elect Alan Morrison","6088","confirm","lastName ""Morrison"" in committee name with signal word"
"Alex Bowman","Indiana Elected Official","Alex Bowman for Indiana","7350","confirm","lastName ""Bowman"" in committee name with signal word"
"Alex Sabol","Indiana Elected Official","Committee to Elect Alex Sabol","7348","confirm","lastName ""Sabol"" in committee name with signal word"
"Alexander Burton","Indiana Elected Official","Alex Burton for Indiana","7925","confirm","lastName ""Burton"" in committee name with signal word"
"Alexander Choi","Indiana Elected Official","Friends of Alex Choi","7510","ambiguous","lastName ""Choi"" in committee name but no signal word found"
"Alyssa Bailey","Indiana Elected Official","Committee to Elect Alyssa Bailey","7378","confirm","lastName ""Bailey"" in committee name with signal word"
"Amanda Qualls","Indiana Elected Official","Amanda for Indiana","7376","reject","lastName ""Qualls"" not found in committee name"
"Amie Neiling","Indiana Elected Official","Committee to Elect Amie Neiling","7054","confirm","lastName ""Neiling"" in committee name with signal word"
"Amy Adams","Indiana Elected Official","Committee to Elect Amy Burke Adams, Indiana District 42","7373","confirm","lastName ""Adams"" in committee name with signal word"
"Amy Kippenbrock","Indiana Elected Official","Amy for Indiana","7974","reject","lastName ""Kippenbrock"" not found in committee name"
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","ambiguous","lastName ""Rainey"" in committee name but no signal word found"
"Andrea Hunley","Indiana State Senate - District 46","Andrea Hunley for Indy","7583","confirm","lastName ""Hunley"" in committee name with signal word"
"Andrew Boersma","Indiana Elected Official","Committee to elect Andrew R. Boersma","7611","confirm","lastName ""Boersma"" in committee name with signal word"
"Andrew Duncan","Indiana Elected Official","Drew for State House District 6","7307","reject","lastName ""Duncan"" not found in committee name"
"Andrew Ireland","Indiana Elected Official","Ireland for Indiana Inc.","7905","confirm","lastName ""Ireland"" in committee name with signal word"
"Andrew Locke","Indiana Elected Official","Southside Committee for Andrew Locke","7987","confirm","lastName ""Locke"" in committee name with signal word"
"Andrew Mcneil","Indiana Elected Official","Committee to Elect Andrew McNeil","7522","confirm","lastName ""Mcneil"" in committee name with signal word"
"Andy Miller","State Representative","Andy Miller for State Representative","7245","confirm","lastName ""Miller"" in committee name with signal word"
"Andy Zay","Chairman","Friends of Andy Zay","6683","ambiguous","lastName ""Zay"" in committee name but no signal word found"
"Angela Elliott","Indiana Elected Official","Hoosiers for Angela Elliott","7275","confirm","lastName ""Elliott"" in committee name with signal word"
"Ann Vermilion","Indiana Elected Official","Friends of Ann Vermilion","7278","ambiguous","lastName ""Vermilion"" in committee name but no signal word found"
"Anne Engelhardt","Indiana Elected Official","Committee to Elect Anne Engelhardt","7814","confirm","lastName ""Engelhardt"" in committee name with signal word"
"Anthony Cook","Indiana Elected Official","Committee to Elect Anthony J. Cook","6675","confirm","lastName ""Cook"" in committee name with signal word"
"Anthony Higgs","State Representative","Higgs for State Representative Committee","7405","confirm","lastName ""Higgs"" in committee name with signal word"
"Anthony Isa","Indiana Elected Official","Friends of Tony Isa","7834","ambiguous","lastName ""Isa"" in committee name but no signal word found"
"Ashley Eason","Indiana Elected Official","Eason for Indiana","7293","confirm","lastName ""Eason"" in committee name with signal word"
"Ashley Klein","Indiana Elected Official","Hoosiers for Ashley Klein","7254","confirm","lastName ""Klein"" in committee name with signal word"
"Autumn Carter","Indiana Elected Official","Committee to Elect Autumn Carter","7833","confirm","lastName ""Carter"" in committee name with signal word"
"B. Bauer","Indiana Elected Official","Pat Bauer for Indiana","686","confirm","lastName ""Bauer"" in committee name with signal word"
"Barbara Neihouser","Indiana Elected Official","Neihouser For Indiana","7665","confirm","lastName ""Neihouser"" in committee name with signal word"
"Beau Bayh","Indiana Elected Official","Beau Bayh for Indiana","8088","confirm","lastName ""Bayh"" in committee name with signal word"
"Belinda Drake","Indiana Elected Official","Believe IN Belinda","7281","reject","lastName ""Drake"" not found in committee name"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","ambiguous","lastName ""Ruiz"" in committee name but no signal word found"
"Benjamin Blohm","Indiana Elected Official","Committee to Elect Ben Blohm","7314","confirm","lastName ""Blohm"" in committee name with signal word"
"Benjamin Davis","Indiana Elected Official","Ben Davis for Indiana","8090","confirm","lastName ""Davis"" in committee name with signal word"
"Benjamin Smaltz","Indiana Elected Official","Committee to Elect Ben Smaltz","6461","confirm","lastName ""Smaltz"" in committee name with signal word"
"Betsy Mills","Indiana Elected Official","Betsy for Indiana","7573","reject","lastName ""Mills"" not found in committee name"
"Bianka Tinklenberg","State Representative","Tinklenberg for House of Representatives District 17","7354","confirm","lastName ""Tinklenberg"" in committee name with signal word"
"Bill Treadway","Indiana Elected Official","The Committee to Elect Bill Treadway","7386","confirm","lastName ""Treadway"" in committee name with signal word"
"Blake Johnson","Indiana Elected Official","Johnson for House","7379","confirm","lastName ""Johnson"" in committee name with signal word"
"Blythe Potter","Indiana Elected Official","Friends of Blythe Potter","8048","ambiguous","lastName ""Potter"" in committee name but no signal word found"
"Bob Kern","Indiana Elected Official","Citizens To Elect Bobby Kern","7621","confirm","lastName ""Kern"" in committee name with signal word"
"Bobbailla Plummer","State Representative","Committee to Elect Bobbi Plummer for State Representative","7582","confirm","lastName ""Plummer"" in committee name with signal word"
"Bradford Barrett","Indiana Elected Official","Barrett Election Committee","7106","confirm","lastName ""Barrett"" in committee name with signal word"
"Bradley Chambers","Indiana Elected Official","Chambers for Indiana","7809","confirm","lastName ""Chambers"" in committee name with signal word"
"Bradley Swain","Indiana Elected Official","brad swain for district 62","7628","confirm","lastName ""Swain"" in committee name with signal word"
"Brandi Vandivier","Indiana Elected Official","Committee to Elect Brandi4District42","7336","reject","lastName ""Vandivier"" not found in committee name"
"Brandon Cavanaugh","State Senator","Brandon Cavanaugh for State Senate","7395","confirm","lastName ""Cavanaugh"" in committee name with signal word"
"Brandon Dothager","Indiana Elected Official","An Organized Region for Brandon Dothager","7372","confirm","lastName ""Dothager"" in committee name with signal word"
"Brett Clark","State Senator","Brett Clark for State Senate","7810","confirm","lastName ""Clark"" in committee name with signal word"
"Brian Bosma","Indiana Elected Official","Committee To Elect Brian Bosma","1888","confirm","lastName ""Bosma"" in committee name with signal word"
"Brian Buchanan","State Senator","Brian Buchanan for State Senate","7194","confirm","lastName ""Buchanan"" in committee name with signal word"
"Brian Evans","Indiana Elected Official","Brian Evans for Indiana","7861","confirm","lastName ""Evans"" in committee name with signal word"
"Brian Madison","State Representative","Brian Madison for State Representative","5584","confirm","lastName ""Madison"" in committee name with signal word"
"Brian Paasch","Indiana Elected Official","Brian for Hoosiers","7842","reject","lastName ""Paasch"" not found in committee name"
"Brian Savilla","Indiana Elected Official","Friends of Brian Savilla","7800","ambiguous","lastName ""Savilla"" in committee name but no signal word found"
"Brian Tibbs","Indiana Elected Official","Tibbs for District 66","7292","confirm","lastName ""Tibbs"" in committee name with signal word"
"Brittany Carroll","Indiana Elected Official","Friends of Brittany Carroll","7564","ambiguous","lastName ""Carroll"" in committee name but no signal word found"
"Brittany Kloer","Indiana Elected Official","Brittany Kloer for Education and Agriculture","7283","confirm","lastName ""Kloer"" in committee name with signal word"
"Bruce Armstrong","Indiana Elected Official","Armstrong for District 58","7345","confirm","lastName ""Armstrong"" in committee name with signal word"
"Bruce Borders","Indiana House of Representatives - District 45","Friends for Bruce Borders","4796","confirm","lastName ""Borders"" in committee name with signal word"
"Bryan Mu�oz","Indiana Elected Official","Friends of Bryan Mu�oz","7662","ambiguous","lastName ""Mu�oz"" in committee name but no signal word found"
"Bryan Washburn","Indiana Elected Official","Friends of Bryan Washburn","7572","ambiguous","lastName ""Washburn"" in committee name but no signal word found"
"Byron Holland","Indiana Elected Official","Holland for Hoosiers","8052","confirm","lastName ""Holland"" in committee name with signal word"
"C. Doriot","State Senator","Doriot for Senate","6765","confirm","lastName ""Doriot"" in committee name with signal word"
"C. Glick","State Senator","Sue Glick for Senate","6169","confirm","lastName ""Glick"" in committee name with signal word"
"Camden Chaffee","Indiana Elected Official","The Committee to Elect Camden Chaffee","7744","confirm","lastName ""Chaffee"" in committee name with signal word"
"Carey Hamilton","Indiana Elected Official","Committee to Elect Carey Hamilton","6894","confirm","lastName ""Hamilton"" in committee name with signal word"
"Carl Seese","State Representative","Committee to Elect Carl Seese to the Statehouse","7917","confirm","lastName ""Seese"" in committee name with signal word"
"Carolyn Jackson","Indiana Elected Official","Committee to Elect Carolyn B. Jackson","7041","confirm","lastName ""Jackson"" in committee name with signal word"
"Catherine Torzewski","Indiana Elected Official","Committee to Elect Catherine Torzewski","8128","confirm","lastName ""Torzewski"" in committee name with signal word"
