city,full_name,politician_id,filer_id,committee_name,source_row_id,outcome
Agoura Hills,"Deborah Klein Lopez",f1f9d53e-2972-406d-9979-90119d893508,1406127,"LOPEZ FOR CITY COUNCIL 2018; COMMITTEE TO ELECT DEBORAH KLEIN",,skipped_dry_run
Agoura Hills,"Deborah Klein Lopez",f1f9d53e-2972-406d-9979-90119d893508,1446788,"LOPEZ FOR CITY COUNCIL 2022; COMMITEE TO REELECT DEBORAH KLEIN",,skipped_dry_run
Agoura Hills,"Deborah Klein Lopez",f1f9d53e-2972-406d-9979-90119d893508,1477694,"LOPEZ FOR ASSEMBLY 2026; DEBORAH KLEIN",,skipped_dry_run
Alhambra,"Katherine Lee",22466ac0-0239-4dcb-80f2-26c5ff0e5f18,1406827,"LEE FOR CITY COUNCIL 2018; KATHERINE",,skipped_dry_run
Alhambra,"Katherine Lee",22466ac0-0239-4dcb-80f2-26c5ff0e5f18,1450594,"LEE FOR CITY COUNCIL 2022; KATHERINE",,skipped_dry_run
Arcadia,"Eileen Wang",173f125c-0ec3-488e-8b74-ffd991e1a87b,1444577,"WANG FOR ARCADIA CITY COUNCIL 2022; EILEEN",,skipped_dry_run
Arcadia,"Eileen Wang",173f125c-0ec3-488e-8b74-ffd991e1a87b,1483690,"WANG FOR ARCADIA CITY COUNCIL 2026; EILEEN",,skipped_dry_run
Baldwin Park,"Alejandra Avila",5cf487ec-b383-466f-a5db-b01b607acd9c,1322299,"AVILA FOR CITY CLERK 2009, BALDWIN PARK FOR ALEJANDRA",,skipped_dry_run
Baldwin Park,"Alejandra Avila",5cf487ec-b383-466f-a5db-b01b607acd9c,1408861,"AVILA FOR CITY COUNCIL 2018; ALEJANDRA",,skipped_dry_run
Baldwin Park,"Alejandra Avila",5cf487ec-b383-466f-a5db-b01b607acd9c,1455242,"AVILA FOR CITY COUNCIL 2022; ALEJANDRA",,skipped_dry_run
Bellflower,"Victor A. Sanchez",4384a5d8-68b2-4e24-81e2-5208f5c61a34,1420399,"SANCHEZ FOR BELLFLOWER COUNCIL 2024; VICTOR A",,skipped_dry_run
Beverly Hills,"Craig A. Corman",1221c215-2b80-46f7-b980-c04f25c5866f,1462515,"CORMAN FOR BEVERLY HILLS CITY COUNCIL 2024; CRAIG",,skipped_dry_run
Beverly Hills,"Lester Friedman",4f69ba91-d6f4-400e-aa46-10f1706d2f3c,1388782,"FRIEDMAN FOR CITY COUNCIL (2017); LESTER",,skipped_dry_run
Beverly Hills,"Lester Friedman",4f69ba91-d6f4-400e-aa46-10f1706d2f3c,1442212,"FRIEDMAN FOR BH CITY COUNCIL (2022); LESTER",,skipped_dry_run
Beverly Hills,"Lester Friedman",4f69ba91-d6f4-400e-aa46-10f1706d2f3c,1487185,"FRIEDMAN FOR BEVERLY HILLS CITY COUNCIL 2026; RE-ELECT LESTER",,skipped_dry_run
Carson,"Lula Davis Holmes",e27fa9bb-cd4a-4e1b-a8ee-330dcfd3d4ae,1239133,"DAVIS-HOLMES, COMMITTEE TO ELECT LULA",,skipped_dry_run
Carson,"Lula Davis Holmes",e27fa9bb-cd4a-4e1b-a8ee-330dcfd3d4ae,1288860,"DAVIS-HOLMES FOR CITY COUNCIL 2018, LULA",,skipped_dry_run
Carson,"Lula Davis Holmes",e27fa9bb-cd4a-4e1b-a8ee-330dcfd3d4ae,1353776,"DAVIS-HOLMES FOR CARSON MAYOR 2013, FRIENDS OF LULA",,skipped_dry_run
Carson,"Lula Davis Holmes",e27fa9bb-cd4a-4e1b-a8ee-330dcfd3d4ae,1423791,"HOLMES FOR MAYOR 2024; LULA DAVIS -",,skipped_dry_run
Carson,"Mayor Lula Davis Holmes",36b686ca-f225-4b8b-8430-a5dd8996d38a,1353776,"DAVIS-HOLMES FOR CARSON MAYOR 2013, FRIENDS OF LULA",,skipped_dry_run
Carson,"Mayor Lula Davis Holmes",36b686ca-f225-4b8b-8430-a5dd8996d38a,1423791,"HOLMES FOR MAYOR 2024; LULA DAVIS -",,skipped_dry_run
Claremont,"Sal Medina",3aedc075-d219-40f9-932b-c92d000c5d9a,1433397,"MEDINA FOR CITY COUNCIL 2024; COMMITTEE TO ELECT SAL",,skipped_dry_run
Commerce,"Mireya Garcia",09da90d6-7ab7-494a-a4b6-9665a30aed16,1446919,"GARCIA FOR COMMERCE CITY COUNCIL 2026; FRIENDS OF MIREYA",,skipped_dry_run
Diamond Bar,"Andrew Chou",f34cded6-da16-4ce7-aed9-e5ef2b905108,1407610,"CHOU FOR DIAMOND BAR CITY COUNCIL 2018; ANDREW",,skipped_dry_run
Diamond Bar,"Andrew Chou",f34cded6-da16-4ce7-aed9-e5ef2b905108,1440052,"CHOU FOR DIAMOND BAR CITY COUNCIL 2022; ANDREW",,skipped_dry_run
Diamond Bar,"Stan Liu",71acf86b-dbef-4ff9-85a9-310f05c5c896,1428582,"LIU FOR DIAMOND BAR CITY COUNCIL 2020; STAN",,skipped_dry_run
Diamond Bar,"Stan Liu",71acf86b-dbef-4ff9-85a9-310f05c5c896,1471608,"LIU FOR DIAMOND BAR CITY COUNCIL 2024; STAN",,skipped_dry_run
Duarte,"Cesar A. Garcia",32a054c8-990a-4cad-a7d4-86964b42b402,1452511,"GARCIA CAMPAIGN FOR DUARTE CITY COUNCIL 2022; CESAR A.",,skipped_dry_run
El Monte,"Cindy Galvan",f034f7ef-2aef-43fa-8d06-1f6902705dc4,1467786,"GALVAN FOR EL MONTE CITY COUNCIL DISTRICT 5 2024; CINDY",,skipped_dry_run
El Monte,"Dr. Julia Ruedas",e47a9ca8-6e94-4467-b16e-722ebe36d0d2,1379206,"RUEDAS FOR EL MONTE CITY SCHOOL BOARD 2015; JULIA",,skipped_dry_run
El Monte,"Dr. Julia Ruedas",e47a9ca8-6e94-4467-b16e-722ebe36d0d2,1450674,"RUEDAS FOR EL MONTE CITY COUNCIL 2022; JULIA",,skipped_dry_run
El Monte,"Dr. Julia Ruedas",e47a9ca8-6e94-4467-b16e-722ebe36d0d2,1476923,"RUEDAS FOR EL MONTE CITY COUNCIL 2026; JULIA",,skipped_dry_run
El Monte,"Julia Ruedas",0738714b-e2e0-42d6-b594-2edfa28736b5,1379206,"RUEDAS FOR EL MONTE CITY SCHOOL BOARD 2015; JULIA",,skipped_dry_run
El Monte,"Julia Ruedas",0738714b-e2e0-42d6-b594-2edfa28736b5,1450674,"RUEDAS FOR EL MONTE CITY COUNCIL 2022; JULIA",,skipped_dry_run
El Monte,"Julia Ruedas",0738714b-e2e0-42d6-b594-2edfa28736b5,1476923,"RUEDAS FOR EL MONTE CITY COUNCIL 2026; JULIA",,skipped_dry_run
El Monte,"Sheila Crippen-Thomas",bb21e688-3264-4237-beda-e748db65384a,1469478,"CRIPPEN-THOMAS FOR CITY COUNCIL 2024; SHEILA",,skipped_dry_run
El Segundo,"Chris Pimentel",2fdc11f7-438d-418a-9ec9-2cbbb0ad49b7,1402500,"PIMENTEL TO CITY COUNCIL 2018; COMMITTEE TO ELECT CHRIS",,skipped_dry_run
Glendora,"Karen Davis",b9149eb5-4dc6-400e-b685-92ad0fa05b18,1272543,"DAVIS FOR CITY COUNCIL COMMITTEE, KAREN",,skipped_dry_run
Glendora,"Karen Davis",b9149eb5-4dc6-400e-b685-92ad0fa05b18,1313569,"DAVIS, COMMITTEE TO RE-ELECT KAREN",,skipped_dry_run
Glendora,"Karen Davis",b9149eb5-4dc6-400e-b685-92ad0fa05b18,1389661,"DAVIS TO CITY COUNCIL 2017, COMMITTEE TO RE-ELECT KAREN",,skipped_dry_run
Glendora,"Karen Davis",b9149eb5-4dc6-400e-b685-92ad0fa05b18,1445793,"DAVIS TO CITY COUNCIL 2022; COMMITTEE TO RE-ELECT KAREN",,skipped_dry_run
Glendora,"Mendell Thompson",7ec1b8a2-d0e6-45cc-9af1-17c578f22540,1373883,"THOMPSON FOR GLENDORA CITY COUNCIL 2015; MENDELL L.",,skipped_dry_run
Huntington Beach,"Chad Williams",86ceb1d5-b225-4a1b-9eb0-bb708532eea8,1462406,"WILLIAMS FOR CITY COUNCIL 2024; CHAD",,skipped_dry_run
Inglewood,"Eloy Morales Jr.",ff97a6bb-0c1c-465a-9300-817385a8fceb,1251899,"MORALES JR., FRIENDS OF ELOY",,skipped_dry_run
Inglewood,"Eloy Morales Jr.",ff97a6bb-0c1c-465a-9300-817385a8fceb,1292770,"MORALES JR., COMMITTEE TO RE-ELECT COUNCILMAN ELOY",,skipped_dry_run
Inglewood,"Eloy Morales Jr.",ff97a6bb-0c1c-465a-9300-817385a8fceb,1357192,"MORALES FOR STATE ASSEMBLY 2014, ELOY",,skipped_dry_run
Inglewood,"James T. Butts Jr.",f5775ca1-99f4-4cc2-acf2-5afaacdd94b3,1325645,"BUTTS FOR MAYOR 2026; JAMES",,skipped_dry_run
Irwindale,"Manuel R. Garcia",a2c92310-496f-4c38-894c-0fef00663a2b,1034573,"GARCIA, COMMITTEE TO ELECT MANUEL D.",,skipped_dry_run
La Mirada,"Steve De Ruse",5bc8e8fb-8784-4d4b-b4d6-e2416a593100,1334376,"DE RUSE TO CITY COUNCIL 2011, ELECT STEVE",,skipped_dry_run
La Palma,"Debbie S. Baker",83d57d34-d294-4d5e-9793-d26dd8fa6d17,1466502,"BAKER FOR LA PALMA CITY COUNCIL DISTRICT 1 2024; DEBBIE S.",,skipped_dry_run
La Puente,"Valerie Munoz",dc7f4747-abc2-4a1a-8d65-c1d4d5b609d2,1362861,"MUNOZ FOR LA PUENTE CITY COUNCIL 2014, VALERIE",,skipped_dry_run
La Puente,"Valerie Munoz",dc7f4747-abc2-4a1a-8d65-c1d4d5b609d2,1369542,"MUNOZ FOR LA PUENTE CITY COUNCIL 2018, VALERIE",,skipped_dry_run
Lakewood,"Jeff Wood",939b40cf-dce4-4c7d-a6bf-8ca6fac6f194,1328444,"WOOD FOR CITY COUNCIL 2015, JEFF",,skipped_dry_run
Lakewood,"Jeff Wood",939b40cf-dce4-4c7d-a6bf-8ca6fac6f194,1404710,"WOOD FOR LAKEWOOD CITY COUNCIL 2019; JEFF",,skipped_dry_run
Lakewood,"Jeff Wood",939b40cf-dce4-4c7d-a6bf-8ca6fac6f194,1446298,"WOOD FOR LAKEWOOD CITY COUNCIL 2024 - DISTRICT 3; JEFF",,skipped_dry_run
Lancaster,"Lauren Hughes-Leslie",007074c6-6fbe-429f-9e06-8d7251198d8a,1463078,"HUGHES-LESLIE FOR LANCASTER CITY COUNCIL 2024; LAUREN",,skipped_dry_run
Lawndale,"Robert Pullen-Miles",92ad78e2-845b-4fbf-9a58-01347b8c81db,1257638,"PULLEN-MILES FOR CITY COUNCIL 2016, FRIENDS OF ROBERT",,skipped_dry_run
Lawndale,"Robert Pullen-Miles",92ad78e2-845b-4fbf-9a58-01347b8c81db,1395721,"PULLEN-MILES FOR BOARD OF EQUALIZATION 2018; ROBERT",,skipped_dry_run
Lomita,"Mark A. Waronek",9dd2a633-c532-4154-b2b0-9b725fcb292f,1253251,"WARONEK FOR CITY COUNCIL, RE-ELECT COUNCILMAN MARK",,skipped_dry_run
Lomita,"Mark A. Waronek",9dd2a633-c532-4154-b2b0-9b725fcb292f,1360330,"WARONEK FOR LOMITA CITY COUNCIL 2013, MARK",,skipped_dry_run
Lomita,"Mark A. Waronek",9dd2a633-c532-4154-b2b0-9b725fcb292f,1408333,"WARONEK FOR LOMITA CITY COUNCIL 2018; RE-ELECT MARK",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1359540,"RICHARDSON FOR CITY COUNCIL 2014, REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1393626,"RICHARDSON FOR CITY COUNCIL 2018; REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1435795,"RICHARDSON FOR CITY COUNCIL 2022; REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1443096,"RICHARDSON FOR MAYOR 2022; REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1444231,"PRICE FOR MAYOR 2022 AND OPPOSING REX RICHARDSON FOR MAYOR 2022; COMMITTEE FOR A SAFE AND STRONG LONG BEACH: SUPPORTING SUZIE",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1446966,"RICHARDSON FOR MAYOR, KERR, RICKS-ODDIE AND CARUSO FOR CITY COUNCIL 2022, SPONSORED BY THE LOS ANGELES COUNTY FEDERATION OF LABOR, AFL-CIO; WORKING FAMILIES AND COMMUNITIES IN SUPPORT OF REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1447859,"RICHARDSON FOR LONG BEACH MAYOR 2022; LONG BEACH BUSINESS ALLIANCE IN SUPPORT OF REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1458350,"RICHARDSON FOR MAYOR 2022 OFFICEHOLDER ACCOUNT; REX",,skipped_dry_run
Long Beach,"Rex Richardson",4c9d7584-4e07-46f7-8f8c-770afc8dce94,1478758,"RICHARDSON FOR MAYOR 2026; REX",,skipped_dry_run
Lynwood,"Juan Muñoz-Guevara",de2ca46a-652a-4620-bfc7-8ff1006b26d3,1451822,"MUNOZ-GUEVARA FOR LYNWOOD CITY COUNCIL 2022; JUAN",,skipped_dry_run
Lynwood,"Rita Soto",08bf0f81-2f3f-4fd1-98d1-d3c4ae77c5c7,1430502,"SOTO FOR LYNWOOD CITY COUNCIL 2024; RITA",,skipped_dry_run
Manhattan Beach,"Joe Franklin",d2e60dbe-31b5-44e0-9c95-b95b65bdb697,1414106,"FRANKLIN FOR MANHATTAN BEACH CITY COUNCIL 2019; JOE",,skipped_dry_run
Manhattan Beach,"Joe Franklin",d2e60dbe-31b5-44e0-9c95-b95b65bdb697,1429329,"FRANKLIN FOR MANHATTAN BEACH CITY COUNCIL 2020; JOE",,skipped_dry_run
Manhattan Beach,"Joe Franklin",d2e60dbe-31b5-44e0-9c95-b95b65bdb697,1469170,"FRANKLIN FOR CITY COUNCIL 2024; RE-ELECT JOE",,skipped_dry_run
Maywood,"Frank Garcia",03575512-bf5d-4611-84dd-a8624c903164,1258914,"GARCIA FOR SCHOOL BOARD, FRANK",,skipped_dry_run
Maywood,"Frank Garcia",03575512-bf5d-4611-84dd-a8624c903164,1429107,"GARCIA FOR MAYWOOD CITY COUNCIL 2024; FRANK",,skipped_dry_run
Monrovia,"Sergio Jimenez",f299af69-895e-4729-8bf3-439b4036acbd,1381456,"JIMENEZ FOR CITY COUNCIL 2016; SERGIO",,skipped_dry_run
Monrovia,"Sergio Jimenez",f299af69-895e-4729-8bf3-439b4036acbd,1419734,"JIMENEZ FOR SAN JOSE CITY COUNCIL 2020; SERGIO",,skipped_dry_run
Monrovia,"Sergio Jimenez",f299af69-895e-4729-8bf3-439b4036acbd,1443183,"JIMENEZ TO MONROVIA CITY COUNCIL 2022; COMMITTEE TO ELECT SERGIO",,skipped_dry_run
Monrovia,"Sergio Jimenez",f299af69-895e-4729-8bf3-439b4036acbd,1465433,"JIMENEZ TO MONROVIA CITY COUNCIL 2024; COMMITTEE TO ELECT SERGIO",,skipped_dry_run
Montebello,"Angie Jimenez",35f41c8d-0460-45c7-9e8c-28be5c42fb56,1409768,"JIMENEZ FOR MONTEBELLO CITY COUNCIL 2018, ANGIE",,skipped_dry_run
Montebello,"Angie Jimenez",35f41c8d-0460-45c7-9e8c-28be5c42fb56,1441516,"JIMENEZ FOR MONTEBELLO CITY COUNCIL 2022; ANGIE",,skipped_dry_run
Montebello,"David Torres",664b5518-3e28-4f8f-a42f-12fb6d627567,1406081,"TORRES FOR CITY COUNCIL 2018; DAVID",,skipped_dry_run
Montebello,"David Torres",664b5518-3e28-4f8f-a42f-12fb6d627567,1451487,"TORRES FOR CITY COUNCIL 2022; DAVID",,skipped_dry_run
Montebello,"David Torres",664b5518-3e28-4f8f-a42f-12fb6d627567,1474129,"TORRES FOR CITY COUNCIL 2024; DAVID",,skipped_dry_run
Norwalk,"Jennifer Perez",3ed36508-9ae9-41af-aaba-e5e39bb87aa7,1388419,"PEREZ FOR NORWALK CITY COUNCIL 2017; COMMITTEE TO ELECT JENNIFER",,skipped_dry_run
Norwalk,"Jennifer Perez",3ed36508-9ae9-41af-aaba-e5e39bb87aa7,1451318,"PEREZ FOR CITY COUNCIL 2022; COMMITTEE TO RE-ELECT JENNIFER",,skipped_dry_run
Norwalk,"Jennifer Perez",3ed36508-9ae9-41af-aaba-e5e39bb87aa7,1454775,"PEREZ FOR NORWALK CITY COUNCIL 2022; COMMITTEE FOR A STRONG NORWALK: SUPPORTING JENNIFER",,skipped_dry_run
Norwalk,"Margarita L. Rios",bd64253b-0bd1-4b9f-85b1-76180c760d07,1318969,"RIOS FOR SCHOOL BOARD 2009, COMMITTEE TO ELECT MARGARITA",,skipped_dry_run
Norwalk,"Margarita L. Rios",bd64253b-0bd1-4b9f-85b1-76180c760d07,1356898,"RIOS FOR SCHOOL BOARD 2013, MARGARITA L.",,skipped_dry_run
Norwalk,"Margarita L. Rios",bd64253b-0bd1-4b9f-85b1-76180c760d07,1392737,"RIOS FOR NORWALK CITY COUNCIL 2017; MARGARITA",,skipped_dry_run
Norwalk,"Rick Ramirez",e3b9af1b-3704-4bc5-a6ef-ab1f814bd29d,1249139,"RAMIREZ - OFFICEHOLDER, FRIENDS OF RICK",,skipped_dry_run
Norwalk,"Rick Ramirez",e3b9af1b-3704-4bc5-a6ef-ab1f814bd29d,1290217,"RAMIREZ FOR CITY COUNCIL 2011, RICK",,skipped_dry_run
Norwalk,"Rick Ramirez",e3b9af1b-3704-4bc5-a6ef-ab1f814bd29d,1421164,"RAMIREZ FOR NORWALK CITY COUNCIL 2024; RICK",,skipped_dry_run
Palmdale,"Andrea Alarcon",f545d5bd-fde8-4409-9e7e-3bce79f10c9e,1452797,"ALARCON FOR PALMDALE CITY COUNCIL 2022; ANDREA",,skipped_dry_run
Palmdale,"Andrea Alarcón",579fb5f2-2313-4423-a412-b4ae101c6e8e,1452797,"ALARCON FOR PALMDALE CITY COUNCIL 2022; ANDREA",,skipped_dry_run
Paramount,"Vilma Cuellar Stallings",4c9d644a-d849-41c0-bd44-171d0d1c7b41,1422475,"STALLINGS FOR PARAMOUNT CITY COUNCIL 2020; COMMITTEE TO ELECT VILMA CUELLAR",,skipped_dry_run
Paramount,"Vilma Cuellar Stallings",4c9d644a-d849-41c0-bd44-171d0d1c7b41,1462991,"STALLINGS FOR PARAMOUNT CITY COUNCIL 2024; COMMITTEE TO ELECT VILMA CUELLAR",,skipped_dry_run
Pico Rivera,"Andrew C. Lara",d2498737-1f26-493c-b724-3e9063ce18f1,1429490,"LARA FOR PICO RIVERA CITY COUNCIL 2020; ANDREW C.",,skipped_dry_run
Pico Rivera,"Andrew C. Lara",d2498737-1f26-493c-b724-3e9063ce18f1,1468474,"LARA FOR PICO RIVERA CITY COUNCIL 2024; ANDREW C.",,skipped_dry_run
Pico Rivera,"Dr. Monica Sanchez",b81d5aad-1765-47b5-88c8-fbe15cd8af9a,1410460,"SANCHEZ FOR COUNCIL 2019; CONCERNED CITIZENS TO SUPPORT MONICA",,skipped_dry_run
Pico Rivera,"Dr. Monica Sanchez",b81d5aad-1765-47b5-88c8-fbe15cd8af9a,1419255,"SANCHEZ FOR CITY COUNCIL 2020; DR. MONICA",,skipped_dry_run
Pico Rivera,"Dr. Monica Sanchez",b81d5aad-1765-47b5-88c8-fbe15cd8af9a,1433924,"SANCHEZ, LUIS ALVARADO, ERIK LUTZ FOR CITY COUNCIL 2020; STRONG CITIES PAC TO SUPPORT MONICA",,skipped_dry_run
Pico Rivera,"John R. Garcia",6940b872-1458-4612-85aa-0c6704b0bb62,1069751,"GARCIA, FRIENDS TO ELECT JOHN",,skipped_dry_run
Pico Rivera,"John R. Garcia",6940b872-1458-4612-85aa-0c6704b0bb62,1248417,"GARCIA, SUPPORTERS TO ELECT JOHN",,skipped_dry_run
Pico Rivera,"John R. Garcia",6940b872-1458-4612-85aa-0c6704b0bb62,1257384,"GARCIA, FRIENDS TO RE-ELECT JOHN",,skipped_dry_run
Pico Rivera,"John R. Garcia",6940b872-1458-4612-85aa-0c6704b0bb62,1300040,"GARCIA 2007, FRIENDS TO ELECT JOHN",,skipped_dry_run
Pico Rivera,"John R. Garcia",6940b872-1458-4612-85aa-0c6704b0bb62,1324107,"GARCIA FOR MAYOR OF EL CAJON 2010, COMMITTEE TO ELECT JOHN MICHAEL",,skipped_dry_run
Pomona,"Debra Martin",db853cfa-ab6d-4a30-bfbc-fb05b3956970,1346953,"MARTIN FOR POMONA CITY COUNCIL 2012, DEBRA",,skipped_dry_run
Pomona,"Debra Martin",db853cfa-ab6d-4a30-bfbc-fb05b3956970,1391445,"MARTIN FOR POMONA CITY COUNCIL, DISTRICT 6 AND ELLIOT ROTHMAN FOR POMONA MAYOR 2016; FRIENDS IN SUPPORT OF DEBRA",,skipped_dry_run
Pomona,"Debra Martin",db853cfa-ab6d-4a30-bfbc-fb05b3956970,1421994,"MARTIN FOR CITY COUNCIL 2020; DEBRA",,skipped_dry_run
Pomona,"Debra Martin",db853cfa-ab6d-4a30-bfbc-fb05b3956970,1466085,"MARTIN FOR POMONA CITY COUNCIL 2024; DEBRA",,skipped_dry_run
Pomona,"Nora Garcia",6fa28860-c3d6-45bf-8aad-eac353dc4559,1407655,"GARCIA FOR CITY COUNCIL 2026; NORA",,skipped_dry_run
Redondo Beach,"Scott Behrendt",2806719d-6e25-4d2d-bb6e-95d97c35ed0e,1450888,"BEHRENDT FOR REDONDO BEACH CITY COUNCIL 2023; SCOTT",,skipped_dry_run
Redondo Beach,"Zein Obagi",226f5ab3-9611-4eb4-9f0a-3730877004a3,1434200,"OBAGI JR FOR REDONDO BEACH COUNCIL DISTRICT 4 2021; ZEIN",,skipped_dry_run
Rosemead,"Margaret Clark",cd3d1dde-aa80-4a9f-aa2b-8a5f94876208,1239976,"CLARK, COMMITTEE TO RE-ELECT MARGARET",,skipped_dry_run
Rosemead,"Margaret Clark",cd3d1dde-aa80-4a9f-aa2b-8a5f94876208,1392530,"CLARK TO ROSEMEAD CITY COUNCIL 2017; COMMITTEE TO RE-ELECT MARGARET",,skipped_dry_run
Rosemead,"Margaret Clark",cd3d1dde-aa80-4a9f-aa2b-8a5f94876208,1443532,"CLARK TO ROSEMEAD CITY COUNCIL JUNE 2022; COMMITTEE TO RE-ELECT MARGARET",,skipped_dry_run
San Dimas,"Eric Weber",99326b14-0b7b-4187-8852-6f592bc61dd3,1423674,"WEBER FOR CITY COUNCIL 2020; ERIC",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1358262,"LOPEZ FOR ASSEMBLY 2014, PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1375150,"LOPEZ FOR ASSEMBLY 2016; PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1378536,"LOPEZ LEGAL DEFENSE FUND; ASSEMBLYWOMAN PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1400606,"LOPEZ FOR ASSEMBLY 2018; PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1400756,"LOPEZ FOR ASSEMBLY SPECIAL ELECTION 2018; PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1403923,"LOPEZ FOR ASSEMBLY 2018; PEOPLE FOR ETHICAL STANDARDS OPPOSING PATTY",,skipped_dry_run
San Fernando,"Patty Lopez",96b82f1f-649e-4e95-b009-3c34c45ceebd,1476478,"LOPEZ FOR SAN FERNANDO CITY COUNCIL 2024; PATTY",,skipped_dry_run
San Fernando,"Victoria Garcia",6454b303-add3-4ab6-8ca8-42e60109bdb3,1453888,"GARCIA FOR CITY COUNCIL 2022; VICTORIA",,skipped_dry_run
San Fernando,"Victoria Garcia",6454b303-add3-4ab6-8ca8-42e60109bdb3,1465667,"GARCIA FOR CITY COUNCIL 2024; VICTORIA",,skipped_dry_run
San Fernando,"Victoria Garcia",6454b303-add3-4ab6-8ca8-42e60109bdb3,1469338,"GARCIA FOR ASSEMBLY 2024; VICTORIA",,skipped_dry_run
San Gabriel,"Jorge Herrera Avila",b7787103-e3f0-4f55-9c22-8ec049c0880b,1443716,"HERRERA AVILA FOR CITY COUNCIL 2022; JORGE",,skipped_dry_run
San Gabriel,"Jorge Herrera Avila",b7787103-e3f0-4f55-9c22-8ec049c0880b,1463438,"HERRERA AVILA FOR CITY COUNCIL 2024; JORGE",,skipped_dry_run
San Gabriel,"Jorge Herrera Avila",b7787103-e3f0-4f55-9c22-8ec049c0880b,1479411,"HERRERA AVILA FOR CITY COUNCIL 2028; JORGE",,skipped_dry_run
San Marino,"John Chou",0aef6a35-2e2a-4ca9-90ea-f01225b6a033,1472046,"CHOU FOR SAN MARINO CITY COUNCIL 2024; JOHN",,skipped_dry_run
Santa Clarita,"Bill Miranda",069fc0f2-d1eb-4fac-828a-3d9030d4f2a9,1397785,"MIRANDA FOR CITY COUNCIL 2018; BILL",,skipped_dry_run
Santa Clarita,"Bill Miranda",069fc0f2-d1eb-4fac-828a-3d9030d4f2a9,1442767,"MIRANDA FOR CITY COUNCIL 2022; BILL",,skipped_dry_run
Santa Fe Springs,"Annette Rodriguez",751a4678-0c36-443b-8ccb-30a52c94c494,1297484,"RODRIGUEZ, ANNETTE",,skipped_dry_run
Santa Fe Springs,"Annette Rodriguez",751a4678-0c36-443b-8ccb-30a52c94c494,1358906,"RODRIGUEZ TO CITY COUNCIL 2013, COMMITTEE TO ELECT ANNETTE",,skipped_dry_run
Santa Fe Springs,"Annette Rodriguez",751a4678-0c36-443b-8ccb-30a52c94c494,1376115,"RODRIGUEZ TO CITY COUNCIL 2015; COMMITTEE TO ELECT ANNETTE",,skipped_dry_run
