filer_id,candidate_name,committee_name,jurisdiction,last_filing_year,race_code,district_code,suggested_action,notes
1472605,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1472612,SHAWN DANINO,SHAWN DANINO,OAKLAND,2024,0,0,create new politician,
1468039,KENDRA BURNS-EDEL,KENDRA BURNS-EDEL,OAKLAND,2024,0,0,create new politician,
1468168,GUSTAVO MEDINA,GUSTAVO MEDINA,OAKLAND,2024,0,0,create new politician,
1472718,"HEDLUND, GABRIELLE","HEDLUND, GABRIELLE",OAKLAND,2024,0,0,create new politician (name needs research),
1469514,LATTA FOR OAKLAND SCHOOL BOARD 2024; RACHEL,LATTA FOR OAKLAND SCHOOL BOARD 2024; RACHEL,OAKLAND,2024,0,0,create new politician (name needs research),
1471511,LIN; KENNETH,LIN; KENNETH,OAKLAND,2024,0,0,create new politician (name needs research),
1469853,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1468472,LAI FOR SUPERVISOR 2024; MICHAEL,LAI FOR SUPERVISOR 2024; MICHAEL,OAKLAND,2024,0,0,create new politician (name needs research),
1146826,"KAISER FOUNDATION HEALTH PLAN, INC.","KAISER FOUNDATION HEALTH PLAN, INC.",OAKLAND,2025,,,create new politician (name needs research),
1469894,AIKENS FOR OAKLAND SCHOOL BOARD 2024,AIKENS FOR OAKLAND SCHOOL BOARD 2024,OAKLAND,2024,0,0,create new politician (name needs research),
1469978,RITZIE-HERNANDEZ FOR OAKLAND SCHOOL BOARD 2024; SASHA,RITZIE-HERNANDEZ FOR OAKLAND SCHOOL BOARD 2024; SASHA,OAKLAND,2024,0,0,create new politician (name needs research),
1465870,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1472030,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1472090,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1447010,"CULVER CITY FOR BETTER HEALTHCARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST","CULVER CITY FOR BETTER HEALTHCARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST",OAKLAND,2024,0,0,create new politician (name needs research),
1469956,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1468622,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1468758,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1475530,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1474350,STACY OWENS,STACY OWENS,OAKLAND,2024,0,0,create new politician,
1476527,ESSIE JUSTICE GROUP (NONPROFIT 501(C)(3)),ESSIE JUSTICE GROUP (NONPROFIT 501(C)(3)),OAKLAND,2024,0,0,create new politician (name needs research),
1477181,COREY BROWN,COREY BROWN,OAKLAND,2024,0,0,create new politician,
1382042,BURGIS SUPERVISOR 2016 OFFICEHOLDER COMMITTEE; SUPERVISOR DIANE,BURGIS SUPERVISOR 2016 OFFICEHOLDER COMMITTEE; SUPERVISOR DIANE,OAKLAND,2024,0,0,create new politician (name needs research),
1478217,STACY OWENS,STACY OWENS,OAKLAND,2025,0,0,create new politician,
1476037,ADAM GOLD,ADAM GOLD,OAKLAND,2024,0,0,create new politician,
1479480,RACHEL E.M. VELCOFF HULTS,RACHEL E.M. VELCOFF HULTS,OAKLAND,2025,0,0,create new politician,
1475128,CANDIDATES THAT LISTEN,CANDIDATES THAT LISTEN,OAKLAND,2024,0,0,create new politician (name needs research),
1482018,JOE SANGIRARDI,JOE SANGIRARDI,OAKLAND,2025,0,0,create new politician,
1482094,GEORGE CASEY,GEORGE CASEY,OAKLAND,2025,0,0,create new politician,
1471051,CLIMATE ACTION CALIFORNIA PAC,CLIMATE ACTION CALIFORNIA PAC,OAKLAND,2024,0,0,create new politician (name needs research),
1468733,MELISSA COSIO,MELISSA COSIO,OAKLAND,2024,0,0,create new politician,
1482936,JOHN RIZZO,JOHN RIZZO,OAKLAND,2025,0,0,create new politician,
1483907,CONNECT BAY AREA TRANSIT,CONNECT BAY AREA TRANSIT,OAKLAND,2025,0,0,create new politician (name needs research),
