politician_name,office_title,committee_name,external_id,decision,reason
"Alexander Choi","Indiana Elected Official","Friends of Alex Choi","7510","","lastName ""Choi"" in committee name but no signal word found"
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","","lastName ""Rainey"" in committee name but no signal word found"
"Andy Zay","Chairman","Friends of Andy Zay","6683","","lastName ""Zay"" in committee name but no signal word found"
"Ann Vermilion","Indiana Elected Official","Friends of Ann Vermilion","7278","","lastName ""Vermilion"" in committee name but no signal word found"
"Anthony Isa","Indiana Elected Official","Friends of Tony Isa","7834","","lastName ""Isa"" in committee name but no signal word found"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","","lastName ""Ruiz"" in committee name but no signal word found"
"Blythe Potter","Indiana Elected Official","Friends of Blythe Potter","8048","","lastName ""Potter"" in committee name but no signal word found"
"Brian Savilla","Indiana Elected Official","Friends of Brian Savilla","7800","","lastName ""Savilla"" in committee name but no signal word found"
"Brittany Carroll","Indiana Elected Official","Friends of Brittany Carroll","7564","","lastName ""Carroll"" in committee name but no signal word found"
"Bryan Mu�oz","Indiana Elected Official","Friends of Bryan Mu�oz","7662","","lastName ""Mu�oz"" in committee name but no signal word found"
"Bryan Washburn","Indiana Elected Official","Friends of Bryan Washburn","7572","","lastName ""Washburn"" in committee name but no signal word found"
"Charles Goodrich","Indiana Elected Official","Friends of Chuck Goodrich","7050","","lastName ""Goodrich"" in committee name but no signal word found"
"Cheryl Batteiger-smith","Indiana Elected Official","FRIENDS OF CHERYL BATTEIGER-SMITH","7743","","lastName ""Batteiger-smith"" in committee name but no signal word found"
"Cheryl Musgrave","Indiana Elected Official","Friends of Musgrave","5904","","lastName ""Musgrave"" in committee name but no signal word found"
"Christopher Garten","Indiana Elected Official","Friends of Chris Garten","6972","","lastName ""Garten"" in committee name but no signal word found"
"Cindi Clayton","Indiana Elected Official","Friends of Cindi Clayton","8056","","lastName ""Clayton"" in committee name but no signal word found"
"Cindy Hajicek","Indiana Elected Official","Friends of Cindi Hajicek","7821","","lastName ""Hajicek"" in committee name but no signal word found"
"Clyde Allen Perfect","Indiana Elected Official","Vote Chip Perfect","6548","","lastName ""Perfect"" in committee name but no signal word found"
"Connie Lawson","Indiana Elected Official","Friends of Connie Lawson","4026","","lastName ""Lawson"" in committee name but no signal word found"
"Craig Snow","State Representative","Snow Indiana State Representative","7342","","lastName ""Snow"" in committee name but no signal word found"
"Curtis Hammitt","Indiana Elected Official","Friends of Curt Hammitt","7952","","lastName ""Hammitt"" in committee name but no signal word found"
"Dale Basham","Indiana Elected Official","Basham34","7334","","lastName ""Basham"" in committee name but no signal word found"
"Daniel Elliott","Treasurer","Friends of Daniel Elliott","7511","","lastName ""Elliott"" in committee name but no signal word found"
"David Hall","Indiana Elected Official","FRIENDS OF DAVE HALL","7559","","lastName ""Hall"" in committee name but no signal word found"
"Davyd Jones","Indiana Elected Official","Friends of Davyd Jones","7656","","lastName ""Jones"" in committee name but no signal word found"
"Donald Lehe","Indiana Elected Official","Friends of Don Lehe","4501","","lastName ""Lehe"" in committee name but no signal word found"
"Douglas Gutwein","Indiana Elected Official","Friends of Douglas Gutwein","5692","","lastName ""Gutwein"" in committee name but no signal word found"
"Eddie Melton","Indiana Elected Official","Friends of Eddie Melton","6764","","lastName ""Melton"" in committee name but no signal word found"
"Edward Brickley","Indiana Elected Official","Friends of Ed Brickley","8080","","lastName ""Brickley"" in committee name but no signal word found"
"Edward Comstock","Indiana Elected Official","Friends of Edward Comstock","7322","","lastName ""Comstock"" in committee name but no signal word found"
"Elizabeth Brown","Indiana Elected Official","Friends of Liz Brown","6529","","lastName ""Brown"" in committee name but no signal word found"
"Elizabeth Williams","Indiana Elected Official","Friends of Elizabeth Williams","7875","","lastName ""Williams"" in committee name but no signal word found"
"Erin Houchin","U.S. House of Representatives - Indiana 9th Congressional District","Friends of Erin Houchin","6586","","lastName ""Houchin"" in committee name but no signal word found"
"Ethan Sweetland-may","Indiana Elected Official","Friends of Ethan Sweetland-May","8062","","lastName ""Sweetland-may"" in committee name but no signal word found"
"Fred Glynn","Indiana Elected Official","Friends of Glynn","7650","","lastName ""Glynn"" in committee name but no signal word found"
"Gabrianna Gratzol","Indiana Elected Official","Friends of Gabrianna Gratzol","8069","","lastName ""Gratzol"" in committee name but no signal word found"
"Gayla Taylor","Indiana Elected Official","Friends of Gayla Taylor","7620","","lastName ""Taylor"" in committee name but no signal word found"
"Greg Peete","Indiana Elected Official","Friends of Greg Peete","7442","","lastName ""Peete"" in committee name but no signal word found"
"Hunter Collins","Indiana Elected Official","Friends of Hunter Collins","8040","","lastName ""Collins"" in committee name but no signal word found"
"Ian Gamroth","Indiana Elected Official","Friends of Ian Gamroth","7329","","lastName ""Gamroth"" in committee name but no signal word found"
"Jack Jordan","Indiana Elected Official","Friends of Jack Jordan","6715","","lastName ""Jordan"" in committee name but no signal word found"
"Jada Burton","Indiana Elected Official","Friends of Jada Burton","7695","","lastName ""Burton"" in committee name but no signal word found"
"James Baker","Indiana Elected Official","Friends of Jim Baker","7873","","lastName ""Baker"" in committee name but no signal word found"
"James Lucas","Indiana Elected Official","Friends of Jim Lucas","5914","","lastName ""Lucas"" in committee name but no signal word found"
"James Pressel","Indiana Elected Official","Friends of Jim Pressel","6752","","lastName ""Pressel"" in committee name but no signal word found"
"Jaxon Chance","Indiana Elected Official","Friends of Jack Chance","8050","","lastName ""Chance"" in committee name but no signal word found"
"Jeffrey Ellington","Indiana Elected Official","Friends of Jeff Ellington","6767","","lastName ""Ellington"" in committee name but no signal word found"
"Jessica Mcclellan","Indiana Elected Official","Friends of Jessica McClellan","7719","","lastName ""Mcclellan"" in committee name but no signal word found"
"Jessica Renslow","Indiana Elected Official","Friends of Jessica Renslow","7024","","lastName ""Renslow"" in committee name but no signal word found"
"Jocelyn Vare","Indiana Elected Official","FRIENDS OF JOCELYN VARE","7569","","lastName ""Vare"" in committee name but no signal word found"
"Joel Florek","Indiana Elected Official","Friends of Joel Florek","7972","","lastName ""Florek"" in committee name but no signal word found"
"John Fernandez","Mayor","Friends of Mayor Fernandez","4669","","lastName ""Fernandez"" in committee name but no signal word found"
"John Gaylor","Indiana Elected Official","Friends 4 JR Gaylor","7357","","lastName ""Gaylor"" in committee name but no signal word found"
"John Hurley","Indiana Elected Official","Hoosiers 4 Hurley","7000","","lastName ""Hurley"" in committee name but no signal word found"
"John Moton","Indiana Elected Official","Friends of John Moton","7613","","lastName ""Moton"" in committee name but no signal word found"
"John Schmitz","Indiana Elected Official","SchmitzHouse97","7399","","lastName ""Schmitz"" in committee name but no signal word found"
"John Stoffel","Indiana Elected Official","Friends of John Stoffel","7325","","lastName ""Stoffel"" in committee name but no signal word found"
"John Westercamp","Indiana Elected Official","Friends of John Westercamp, LLC","7220","","lastName ""Westercamp"" in committee name but no signal word found"
"Johnny Nugent","Indiana Elected Official","JOHNNY NUGENT VICTORY TEAM","668","","lastName ""Nugent"" in committee name but no signal word found"
"Justin Busch","Indiana Elected Official","Friends of Justin Busch","7253","","lastName ""Busch"" in committee name but no signal word found"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","","lastName ""Oakley"" in committee name but no signal word found"
"Kenneth Lave","Indiana Elected Official","Sending Jasen Lave To The Indiana State House 2020","7227","","lastName ""Lave"" in committee name but no signal word found"
"Kent Abernathy","Indiana Elected Official","Friends of Kent Abernathy","7588","","lastName ""Abernathy"" in committee name but no signal word found"
"Kerry Thomson","City Mayor","","","","no committee name in notes"
"Kristi Risk","Indiana Elected Official","Friends of Kristi Risk","8117","","lastName ""Risk"" in committee name but no signal word found"
"Kyle Miller","Indiana Elected Official","Friends of Kyle Miller","7030","","lastName ""Miller"" in committee name but no signal word found"
"Lana Keesling","Indiana Elected Official","Friends of Lana  Keesling","7548","","lastName ""Keesling"" in committee name but no signal word found"
"Laura Davis","Indiana Elected Official","Friends of Michelle Davis","7341","","lastName ""Davis"" in committee name but no signal word found"
"Leah Mcgrath","Indiana Elected Official","Friends of Leah McGrath","7301","","lastName ""Mcgrath"" in committee name but no signal word found"
"Lori Goss-reaves","Indiana Elected Official","Friends of Lori Goss-Reaves","7797","","lastName ""Goss-reaves"" in committee name but no signal word found"
"Lorissa Sweet","Indiana Elected Official","Friends of Lorissa Sweet","7578","","lastName ""Sweet"" in committee name but no signal word found"
"Mark Genda","Indiana Elected Official","Friends of Mark Genda","7648","","lastName ""Genda"" in committee name but no signal word found"
"Mark Hinton","Indiana Elected Official","Friends of Mark Hinton","7022","","lastName ""Hinton"" in committee name but no signal word found"
"Mark Messmer","U.S. House of Representatives - Indiana 8th Congressional District","Markmessmer.com","5545","","lastName ""Messmer"" in committee name but no signal word found"
"Martin Carbaugh","Indiana Elected Official","VoteCarbaugh.com","6271","","lastName ""Carbaugh"" in committee name but no signal word found"
