politician_name,office_title,committee_name,external_id,decision,reason
"Alexander Choi","Indiana Elected Official","Friends of Alex Choi","7510","ambiguous","lastName ""Choi"" in committee name but no signal word found"
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","ambiguous","lastName ""Rainey"" in committee name but no signal word found"
"Andy Zay","Chairman","Friends of Andy Zay","6683","ambiguous","lastName ""Zay"" in committee name but no signal word found"
"Ann Vermilion","Indiana Elected Official","Friends of Ann Vermilion","7278","ambiguous","lastName ""Vermilion"" in committee name but no signal word found"
"Anthony Isa","Indiana Elected Official","Friends of Tony Isa","7834","ambiguous","lastName ""Isa"" in committee name but no signal word found"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","ambiguous","lastName ""Ruiz"" in committee name but no signal word found"
"Blythe Potter","Indiana Elected Official","Friends of Blythe Potter","8048","ambiguous","lastName ""Potter"" in committee name but no signal word found"
"Brian Savilla","Indiana Elected Official","Friends of Brian Savilla","7800","ambiguous","lastName ""Savilla"" in committee name but no signal word found"
"Brittany Carroll","Indiana Elected Official","Friends of Brittany Carroll","7564","ambiguous","lastName ""Carroll"" in committee name but no signal word found"
"Bryan Mu�oz","Indiana Elected Official","Friends of Bryan Mu�oz","7662","ambiguous","lastName ""Mu�oz"" in committee name but no signal word found"
"Bryan Washburn","Indiana Elected Official","Friends of Bryan Washburn","7572","ambiguous","lastName ""Washburn"" in committee name but no signal word found"
"Charles Goodrich","Indiana Elected Official","Friends of Chuck Goodrich","7050","ambiguous","lastName ""Goodrich"" in committee name but no signal word found"
"Cheryl Batteiger-smith","Indiana Elected Official","FRIENDS OF CHERYL BATTEIGER-SMITH","7743","ambiguous","lastName ""Batteiger-smith"" in committee name but no signal word found"
"Cheryl Musgrave","Indiana Elected Official","Friends of Musgrave","5904","ambiguous","lastName ""Musgrave"" in committee name but no signal word found"
"Christopher Garten","Indiana Elected Official","Friends of Chris Garten","6972","ambiguous","lastName ""Garten"" in committee name but no signal word found"
"Cindi Clayton","Indiana Elected Official","Friends of Cindi Clayton","8056","ambiguous","lastName ""Clayton"" in committee name but no signal word found"
"Cindy Hajicek","Indiana Elected Official","Friends of Cindi Hajicek","7821","ambiguous","lastName ""Hajicek"" in committee name but no signal word found"
"Clyde Allen Perfect","Indiana Elected Official","Vote Chip Perfect","6548","ambiguous","lastName ""Perfect"" in committee name but no signal word found"
