filer_id,committee_name,jurisdiction,election_year,candidate_name,match_status,politician_id,source_row_id,outcome,notes
1004202,ANTONIO R. VILLARAIGOSA,LOS ANGELES,2026,ANTONIO R. VILLARAIGOSA,matched,b5b95809-4511-4da4-b462-70af8a68f302,886bcf21-9844-4a7c-96ef-e68f12102a57,inserted,matches: Antonio Villaraigosa
1059890,"PROTECT PROP. 13, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",LOS ANGELES,2026,"PROTECT PROP. 13, A PROJECT OF THE HOWARD JARVIS TAXPAYERS ASSOCIATION",no_match,,,not_seeded,
1378568,STEVEN SCHULTZ,LOS ANGELES,2026,STEVEN SCHULTZ,no_match,,,not_seeded,
1340487,GEORGE MATTHEWS,LOS ANGELES,2026,GEORGE MATTHEWS,no_match,,,not_seeded,
1374044,LOS ANGELES NEIGHBORHOOD LAND TRUST,LOS ANGELES,2026,LOS ANGELES NEIGHBORHOOD LAND TRUST,no_match,,,not_seeded,
1400524,ANKUR PATEL,LOS ANGELES,2026,ANKUR PATEL,matched,62fee96f-2c08-4623-9977-ec9f5ec50a84,2a5fd4b4-9e1a-4a52-8557-5fb0116d54ab,inserted,matches: Ankur Patel
1449780,EDWARD ROZELL,LOS ANGELES,2026,EDWARD ROZELL,no_match,,,not_seeded,
1415321,CLEAN POWER ALLIANCE,LOS ANGELES,2026,CLEAN POWER ALLIANCE,no_match,,,not_seeded,
1457094,GASCON FOR LA DISTRICT ATTORNEY 2024; GEORGE,LOS ANGELES,2026,GASCON FOR LA DISTRICT ATTORNEY 2024; GEORGE,no_match,,,not_seeded,
1444207,"CALIFORNIANS FOR COMMUNITY SAFETY, EQUALITY AND REINVESTMENT, SPONSORED BY TRIBAL ORGANIZATIONS",LOS ANGELES,2026,"CALIFORNIANS FOR COMMUNITY SAFETY, EQUALITY AND REINVESTMENT, SPONSORED BY TRIBAL ORGANIZATIONS",no_match,,,not_seeded,
1458683,HOLDEN OFFICEHOLDER ACCOUNT 2022; ASSEMBLY MEMBER CHRIS,LOS ANGELES,2026,HOLDEN OFFICEHOLDER ACCOUNT 2022; ASSEMBLY MEMBER CHRIS,no_match,,,not_seeded,
1456494,"CITIZENS FOR A RESPONSIBLE ANAHEIM, SPONSORED BY UNITE HERE LOCAL 11",LOS ANGELES,2026,"CITIZENS FOR A RESPONSIBLE ANAHEIM, SPONSORED BY UNITE HERE LOCAL 11",no_match,,,not_seeded,
1466922,CHU FOR CITY COUNCIL 2024; LIFT UP SAN JOSE! GOLDEN STATE LEADERSHIP FUND PAC SUPPORTS KANSEN,LOS ANGELES,2026,CHU FOR CITY COUNCIL 2024; LIFT UP SAN JOSE! GOLDEN STATE LEADERSHIP FUND PAC SUPPORTS KANSEN,no_match,,,not_seeded,
1471561,UNIVERSAL COMMUNITY HEALTH CENTER,LOS ANGELES,2026,UNIVERSAL COMMUNITY HEALTH CENTER,no_match,,,not_seeded,
1467281,JAMES GIL,LOS ANGELES,2026,JAMES GIL,no_match,,,not_seeded,
1467297,RINA TAMBOR,LOS ANGELES,2026,RINA TAMBOR,no_match,,,not_seeded,
1473086,PATRICIA SOLORIO,LOS ANGELES,2026,PATRICIA SOLORIO,no_match,,,not_seeded,
1469289,LICENSED ADULT RESIDENTIAL CARE ASSOCIATION (LARCA),LOS ANGELES,2026,LICENSED ADULT RESIDENTIAL CARE ASSOCIATION (LARCA),no_match,,,not_seeded,
1463510,YES ON A: COMMUNITY EXPERTS UNITED FOR HOMELESSNESS AND HOUSING SOLUTIONS A COALITION OF NONPROFIT ORGANIZATIONS AND HOUSING ADVOCATES,LOS ANGELES,2026,YES ON A: COMMUNITY EXPERTS UNITED FOR HOMELESSNESS AND HOUSING SOLUTIONS A COALITION OF NONPROFIT ORGANIZATIONS AND HOUSING ADVOCATES,no_match,,,not_seeded,
1467056,FRANCIS ENGLER,LOS ANGELES,2026,FRANCIS ENGLER,no_match,,,not_seeded,
1467159,CARMENLINA MINASOVA,LOS ANGELES,2026,CARMENLINA MINASOVA,no_match,,,not_seeded,
1465843,CRAIG LALLY,LOS ANGELES,2026,CRAIG LALLY,no_match,,,not_seeded,
1464358,CASCIO FOR ASSEMBLY 2024,LOS ANGELES,2026,CASCIO FOR ASSEMBLY 2024,no_match,,,not_seeded,
1468789,JEFF SHAFFER,LOS ANGELES,2026,JEFF SHAFFER,no_match,,,not_seeded,
1474538,DEBORAH PEPO,LOS ANGELES,2026,DEBORAH PEPO,no_match,,,not_seeded,
1475181,"WEXMAN, TODD",LOS ANGELES,2026,"WEXMAN, TODD",no_match,,,not_seeded,
1475415,KATY YAROSLAVKSY,LOS ANGELES,2026,KATY YAROSLAVKSY,no_match,,,not_seeded,
1476547,MC KINNOR FOR ASSEMBLY 2026; TINA,LOS ANGELES,2026,MC KINNOR FOR ASSEMBLY 2026; TINA,no_match,,,not_seeded,
1476063,"VERA, DENICE RENTERIA AND JEANNINE WISNOSKY STEHLIN FOR CITY COUNCIL 2024, SPONSORED BY BIZFED PAC, A PROJECT OF LOS ANGELES COUNTY BUSINESS FEDERATION; CULVER CITY FIRENDS AND NEIGHBORS SUPPORTING AL",LOS ANGELES,2026,"VERA, DENICE RENTERIA AND JEANNINE WISNOSKY STEHLIN FOR CITY COUNCIL 2024, SPONSORED BY BIZFED PAC, A PROJECT OF LOS ANGELES COUNTY BUSINESS FEDERATION; CULVER CITY FIRENDS AND NEIGHBORS SUPPORTING AL",no_match,,,not_seeded,
1477870,ADA BRICENO,LOS ANGELES,2026,ADA BRICENO,no_match,,,not_seeded,
1477340,KATY YAROSLAVSKY,LOS ANGELES,2026,KATY YAROSLAVSKY,matched,10678016-146d-4543-941c-00414b4c4ad2,04f4f2c0-240b-4b78-9c2f-25144b9ebebf,inserted,matches: Katy Yaroslavsky
1476509,STEPHANIE GRANATO,LOS ANGELES,2026,STEPHANIE GRANATO,no_match,,,not_seeded,
1477868,ADA BRICENO,LOS ANGELES,2026,ADA BRICENO,no_match,,,not_seeded,
1477918,JEFF GIORDANO,LOS ANGELES,2026,JEFF GIORDANO,no_match,,,not_seeded,
1476158,ROXAN RIVAS,LOS ANGELES,2026,ROXAN RIVAS,no_match,,,not_seeded,
1147764,MARATHON COMMUNICATIONS,LOS ANGELES,2026,MARATHON COMMUNICATIONS,no_match,,,not_seeded,
1479465,MICHAEL DREIBELBIS,LOS ANGELES,2026,MICHAEL DREIBELBIS,no_match,,,not_seeded,
1478601,MICHELLE A. JOHNSTON,LOS ANGELES,2026,MICHELLE A. JOHNSTON,no_match,,,not_seeded,
1474072,DIGITAL IDENTITY RIGHTS PAC CALIFORNIA; THE,LOS ANGELES,2026,DIGITAL IDENTITY RIGHTS PAC CALIFORNIA; THE,no_match,,,not_seeded,
1481990,EDDIE HA,LOS ANGELES,2026,EDDIE HA,no_match,,,not_seeded,
1482662,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION),LOS ANGELES,2026,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION),no_match,,,not_seeded,
1482979,DAVID WERLIN,LOS ANGELES,2026,DAVID WERLIN,no_match,,,not_seeded,
1484554,JARED RAMIREZ,LOS ANGELES,2026,JARED RAMIREZ,no_match,,,not_seeded,
1483234,MARQUEECE HARRIS-DAWSON,LOS ANGELES,2026,MARQUEECE HARRIS-DAWSON,matched,ece32bfa-26de-4177-9bb3-cea506870747,2e02df27-cd65-4716-9660-34eb56704a80,inserted,matches: Marqueece Harris-Dawson
1480051,GRUENENFELDER SMITH FOR LACCD BOARD OF TRUSTEES 2026; ALEX,LOS ANGELES,2026,GRUENENFELDER SMITH FOR LACCD BOARD OF TRUSTEES 2026; ALEX,no_match,,,not_seeded,
1473866,"ERICKSON AND HANG AND AGAINST NICKLE, BLOCK, AND COCKERAM FOR CITY COUNCIL 2024, SPONSORED BY UNITE HERE LOCAL 11; RENTERS AND WORKERS FOR WEST HOLLYWOOD IN SUPPORT OF",LOS ANGELES,2026,"ERICKSON AND HANG AND AGAINST NICKLE, BLOCK, AND COCKERAM FOR CITY COUNCIL 2024, SPONSORED BY UNITE HERE LOCAL 11; RENTERS AND WORKERS FOR WEST HOLLYWOOD IN SUPPORT OF",no_match,,,not_seeded,
1481502,"CITIZENS IN SUPPORT OF THE LA OLYMPIC WAGE, SPONSORED BY LABOR AND CHARITABLE ORGANIZATIONS SUPPORTING WORKING FAMILIES",LOS ANGELES,2026,"CITIZENS IN SUPPORT OF THE LA OLYMPIC WAGE, SPONSORED BY LABOR AND CHARITABLE ORGANIZATIONS SUPPORTING WORKING FAMILIES",no_match,,,not_seeded,
1471835,"LAWSON-REMER FOR SUPERVISOR 2024, SPONSORED BY EQUALITY CALIFORNIA AND LGBTQ+ VICTORY FUND; COMMUNITIES UNITED FOR TERRA",LOS ANGELES,2026,"LAWSON-REMER FOR SUPERVISOR 2024, SPONSORED BY EQUALITY CALIFORNIA AND LGBTQ+ VICTORY FUND; COMMUNITIES UNITED FOR TERRA",no_match,,,not_seeded,
1485601,"CALIFORNIANS FOR HOMES, JOBS AND AFFORDABILITY 2026, SPONSORED BY AFFORDABLE HOUSING ORGANIZATIONS",LOS ANGELES,2026,"CALIFORNIANS FOR HOMES, JOBS AND AFFORDABILITY 2026, SPONSORED BY AFFORDABLE HOUSING ORGANIZATIONS",no_match,,,not_seeded,
1485270,JOSEPH LUCEY,LOS ANGELES,2026,JOSEPH LUCEY,no_match,,,not_seeded,
1485313,BRYANT ACOSTA,LOS ANGELES,2026,BRYANT ACOSTA,matched,ac0d1a12-af8e-4464-9cb7-4ed2b549cbbe,03879ada-ce34-43a4-86bf-7dfc0c1f4358,inserted,matches: Bryant Acosta
1485445,GABRIEL FOR ATTORNEY GENERAL 2026; JESSE,LOS ANGELES,2026,GABRIEL FOR ATTORNEY GENERAL 2026; JESSE,matched,f173ce9a-6941-4570-bd3f-97bc1157beaf,f5c4d42d-cd30-48c4-b980-b71cd324bbf3,already_confirmed,matches: Jesse Gabriel
1485749,CARY DAVIDSON,LOS ANGELES,2026,CARY DAVIDSON,no_match,,,not_seeded,
1485731,CONSUMER WATCHDOG CAMPAIGN (NONPROFIT 501(C)(4)),LOS ANGELES,2026,CONSUMER WATCHDOG CAMPAIGN (NONPROFIT 501(C)(4)),no_match,,,not_seeded,
1485814,CASTELLI FOR MAYOR 2026; ERNESTO,LOS ANGELES,2026,CASTELLI FOR MAYOR 2026; ERNESTO,no_match,,,not_seeded,
1484260,"FRYDAY FOR LT. GOVERNOR 2026; TGIF, JOSH",LOS ANGELES,2026,"FRYDAY FOR LT. GOVERNOR 2026; TGIF, JOSH",matched,ac1445bf-8c81-4c81-a784-a5943d209bbc,7f5ec4a3-0b5f-4fc2-b813-0397efbcc0e0,inserted,matches: Josh Fryday
1485273,"CULVER LEGAL, LLP",LOS ANGELES,2026,"CULVER LEGAL, LLP",no_match,,,not_seeded,
1484300,CORD THOMAS,LOS ANGELES,2026,CORD THOMAS,no_match,,,not_seeded,
1482866,HERNANDEZ FOR CALIFORNIA ASSEMBLY 2026; COLIN,LOS ANGELES,2026,HERNANDEZ FOR CALIFORNIA ASSEMBLY 2026; COLIN,no_match,,,not_seeded,
1486753,VITALITY INSTITUTE,LOS ANGELES,2026,VITALITY INSTITUTE,no_match,,,not_seeded,
1485846,GARY MICHELSON,LOS ANGELES,2026,GARY MICHELSON,no_match,,,not_seeded,
1481991,HA FOR CITY COUNCIL 2026; EDDIE,LOS ANGELES,2026,HA FOR CITY COUNCIL 2026; EDDIE,no_match,,,not_seeded,
1482865,COLIN HERNANDEZ,LOS ANGELES,2026,COLIN HERNANDEZ,no_match,,,not_seeded,
1486119,JONATHAN BURKET,LOS ANGELES,2026,JONATHAN BURKET,no_match,,,not_seeded,
1477083,"OKUN, ANDREW",LOS ANGELES,2026,"OKUN, ANDREW",no_match,,,not_seeded,
1480076,JADE TOLAR,LOS ANGELES,2026,JADE TOLAR,no_match,,,not_seeded,
1481800,RACHAEL SARABI,LOS ANGELES,2026,RACHAEL SARABI,no_match,,,not_seeded,
1487397,KATHIA VELASCO,LOS ANGELES,2026,KATHIA VELASCO,no_match,,,not_seeded,
1486671,ALMARIO FOR SUPERVISOR 2026; COMMITTEE TO ELECT NOEL,LOS ANGELES,2026,ALMARIO FOR SUPERVISOR 2026; COMMITTEE TO ELECT NOEL,matched,d32179cb-2d56-4ca0-b9eb-dc15569640c3,bf7c5f9a-6268-45e1-9b55-733076c31679,inserted,matches: Noel Almario
1489138,CARY DAVIDSON,LOS ANGELES,2026,CARY DAVIDSON,no_match,,,not_seeded,
1489694,CONSTANCE JEWEL MENZIES,LOS ANGELES,2026,CONSTANCE JEWEL MENZIES,no_match,,,not_seeded,
1488200,KRISTEN L. SUSZEK,LOS ANGELES,2026,KRISTEN L. SUSZEK,no_match,,,not_seeded,
1488201,SUSZEK FOR LA CITY COUNCIL 2026; KRISTEN L.,LOS ANGELES,2026,SUSZEK FOR LA CITY COUNCIL 2026; KRISTEN L.,no_match,,,not_seeded,
1488429,BEN FORER,LOS ANGELES,2026,BEN FORER,no_match,,,not_seeded,
1488927,YVONNE WHEELER,LOS ANGELES,2026,YVONNE WHEELER,no_match,,,not_seeded,
1486725,"MILLER, ADAM; AND AFFILIATED ENTITIES",LOS ANGELES,2026,"MILLER, ADAM; AND AFFILIATED ENTITIES",no_match,,,not_seeded,
1488705,"CARUSO, ALEX",LOS ANGELES,2026,"CARUSO, ALEX",no_match,,,not_seeded,
1489067,KR LAW APC,LOS ANGELES,2026,KR LAW APC,no_match,,,not_seeded,
1489706,"SAMUEL, STEPHEN",LOS ANGELES,2026,"SAMUEL, STEPHEN",no_match,,,not_seeded,
1487027,"RESNICK, JOSHUA A",LOS ANGELES,2026,"RESNICK, JOSHUA A",no_match,,,not_seeded,
1487096,"GLASSMAN, ROBERT",LOS ANGELES,2026,"GLASSMAN, ROBERT",no_match,,,not_seeded,
1487144,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",LOS ANGELES,2026,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",no_match,,,not_seeded,
1487468,MARTIN MARRUFO,LOS ANGELES,2026,MARTIN MARRUFO,no_match,,,not_seeded,
1489455,CLAYTON FOR JUDGE 2026,LOS ANGELES,2026,CLAYTON FOR JUDGE 2026,no_match,,,not_seeded,
1489454,JACYN CLAYTON,LOS ANGELES,2026,JACYN CLAYTON,no_match,,,not_seeded,
1145207,CRF SOLUTIONS,LOS ANGELES,2026,CRF SOLUTIONS,no_match,,,not_seeded,
1315443,CITIZENS FOR BETTER GOVERNMENT,LOS ANGELES,2026,CITIZENS FOR BETTER GOVERNMENT,no_match,,,not_seeded,
