# Phase 89 Plan 03 headshot log
# format: external_id|full_name|district|UPLOADED or NO_PHOTO|source_url|notes
# generated by _tmp-in-me-school-headshots.py
-890001|Hope Duke Star|IPS|NO_PHOTO|https://myips.org/district-school-board/school-board/|official site (myips.org) shows transparent GIF placeholders for all members; site also returns 403 on server-side fetch
506586|Hasaan Rashid|IPS|NO_PHOTO|https://myips.org/district-school-board/school-board/|official site (myips.org) shows transparent GIF placeholders for all members; site also returns 403 on server-side fetch
437675|Aja Jester|MCCSC|NO_PHOTO|https://www.mccsc.edu/board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890011|Phoenix McLaughlin|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890012|Janet Beaudoin|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890013|Elizabeth Eames|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890014|Julia Harper|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890015|VACANT - Ward 5|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|vacant seat — no person to photograph
-890016|Meghan Hird|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890017|Donna Gallant|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890018|Luke Jensen|Lewiston|NO_PHOTO|https://www.lewistonpublicschools.org/en-US/school-committee-bc9f3846/school-committee-members-ab24c81b|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890021|Tim Surrette|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890022|Katie Brydon|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890023|Mallory Cook|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890024|Ben Speed|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890025|Ben Sprague|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890026|Shelly Okere|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890027|Sara Luciano|Bangor|NO_PHOTO|https://www.bangorschools.net/page/school-committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890031|Susan Rauscher|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890032|Tyler Smith|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890033|Rosemarie De Angelis|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890034|George Risch|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890035|VACANT - District 5|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|vacant seat — no person to photograph
-890036|Jennifer Ryan|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890037|Eleni Richardson|South Portland|NO_PHOTO|https://www.spsd.org/board/members-of-the-board|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890041|Korin McGuigan|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890042|Misty Edgecomb|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890043|Patricia Gautier|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890044|Lydia Chapman|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890045|Daniel F. Poisson Sr.|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890046|Pamela Albert|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890047|Olivia Jaye Rich|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890048|Nancy Pulk|Auburn|NO_PHOTO|https://auburnschl.edu/district_info/school_committee|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890051|Amy Clearwater|Biddeford|NO_PHOTO|https://biddefordschools.me/domain/128|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890052|Meagan Desjardins|Biddeford|NO_PHOTO|https://biddefordschools.me/domain/128|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890053|Michele Landry|Biddeford|NO_PHOTO|https://biddefordschools.me/domain/128|site returned HTML (client challenge or redirect) — server-side fetch blocked
-890054|Marie Potvin|Biddeford|NO_PHOTO|https://biddefordschools.me/domain/128|site returned HTML (client challenge or redirect) — server-side fetch blocked
