office_id,politician_id,full_name,current_title,proposed_title,source,confidence,evidence
991ade3e-9f63-4390-a185-6891052d59da,56319cac-3615-4b01-8c2e-ee3e5409badb,Kent Abernathy,Indiana Elected Official,(none),unresolved,none,(committee: Friends of Kent Abernathy | notes head: Auto-discovered from Indiana 2024 contribution data. Committ)
4063f37a-05d2-4360-ac1f-3853fbffc793,e49194fe-c8ee-438e-a035-f0d1a5b65643,Stanley Albaugh,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Stan Albaugh | notes head: Auto-discovered from Indiana 2021 contribution data. Committ)
92839e3c-f77e-4c2c-ae27-4ea124b0c0bb,2bef7ff6-76fd-45d1-b3ab-427f63da3d1f,Juanita Albright,Indiana Elected Official,(none),unresolved,none,(committee: Albright for Indiana | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
32161d37-914b-4157-82ea-5e8f4a591a3c,96f697c8-8614-4bc3-b796-bcf02a0380a1,Scott Alexander,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Scott Alexander | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
5d9a69f8-c501-4f4f-a83b-3be9757d9045,021908fb-3b25-4668-99dd-926b3878b736,Miguel Andrade,Indiana Elected Official,(none),unresolved,none,(committee: Citizens For Mike Andrade | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
d38f0120-9f0b-42f4-bc52-de8426d4e608,4cd2e408-6fbb-4f3b-9987-df31bcda1fd5,Bruce Armstrong,Indiana Elected Official,(none),unresolved,none,(committee: Armstrong for District 58 | notes head: Auto-discovered from Indiana 2020 contribution data. Committ)
d2efda19-d97f-44d6-a27c-72d5b3f7ed81,d8c7bc2e-8826-4862-b2f7-d1bab58ff66e,James Atterholt,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Jim Atterholt | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
cd28b520-6ede-49f0-82bc-f8b04af34bc9,d0f12008-8c27-488d-80ae-91324a3b3f11,Terri Austin,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Terri Austin | notes head: Auto-discovered from Indiana 2022 contribution data. Committ)
c4f49ce6-6b7a-4aeb-85bc-c245198cae94,844bbee0-d817-4318-b869-459cc44c022b,Michael Aylesworth,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Michael Aylesworth | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
36507f8f-14a3-4533-a93d-ac4df9b981eb,050d5ebe-4fad-4f9b-989b-363604cebaa9,Mark Back,Indiana Elected Official,(none),unresolved,none,(committee: Back for Indiana | notes head: Auto-discovered from Indiana 2020 contribution data. Committ)
6b9112bd-64dd-4a89-8cc2-5abef7949910,e8924377-59f6-47fa-a6a3-abf5a80c678b,Stuart Barnes-israel,Indiana Elected Official,(none),unresolved,none,(committee: Friends of Stu Barnes-Israel | notes head: Auto-discovered from Indiana 2022 contribution data. Committ)
b11b5aa9-53b7-4062-a739-396eeb9564b8,01753ecb-95e2-4ffe-867b-23643afcc9c6,Stephen Bartels,Indiana Elected Official,(none),unresolved,none,(committee: Friends of Stephen Bartels | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
854b1faf-07ad-48a7-8763-322a3ac127ee,8e08ee07-2f48-4b73-af2b-d164c5b0046d,Tabitha Bartley,Indiana Elected Official,(none),unresolved,none,(committee: Bartley for Indiana | notes head: Auto-discovered from Indiana 2020 contribution data. Committ)
101a9240-c451-4174-b199-464ddadfdb79,ea05323c-8b6d-4b16-873c-083d9873889d,Garrett Bascom,Indiana Elected Official,(none),unresolved,none,(committee: Bascom for Indiana | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
1f0b807f-5625-41f2-9da7-075907a67337,d1b3b3fa-09ad-4b4b-b39a-bbb68ad346b0,Jenifer Bass-patino,Indiana Elected Official,(none),unresolved,none,(committee: Committee to Elect Jen Bass-Patino | notes head: Auto-discovered from Indiana 2024 contribution data. Committ)
9e98b3ee-763e-4686-bd13-4154ec4ad634,4d18ab44-ae01-48f0-89ac-fde73bb5cd42,Eric Bassler,Indiana Elected Official,(none),unresolved,none,(committee: Bassler Campaign Committee | notes head: Auto-discovered from Indiana 2025 contribution data. Committ)
7fe9abec-4324-4670-ad2c-44a725b26537,3fb0f088-8660-4545-ad0d-891c8babb350,Don Bates,Indiana Elected Official,(none),unresolved,none,(committee: Bates For Indiana | notes head: Auto-discovered from Indiana 2022 contribution data. Committ)
