politician_name,office_title,committee_name,external_id,decision,reason
"Amy Rainey","Indiana Elected Official","Rainey4Rep49","7599","","lastName ""Rainey"" in committee name but no signal word found"
"Ben Ruiz","Indiana Elected Official","Ruiz4Indiana","7992","","lastName ""Ruiz"" in committee name but no signal word found"
"Dale Basham","Indiana Elected Official","Basham34","7334","","lastName ""Basham"" in committee name but no signal word found"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","","lastName ""Oakley"" in committee name but no signal word found"
"Kerry Thomson","City Mayor","","","","no committee name in notes"
"Mark Messmer","U.S. House of Representatives - Indiana 8th Congressional District","Markmessmer.com","5545","","lastName ""Messmer"" in committee name but no signal word found"
"R Young","Indiana Elected Official","Richard Young","1907","","lastName ""Young"" in committee name but no signal word found"
"Robert Greene","Indiana Elected Official","RobbGreene.com","7638","","lastName ""Greene"" in committee name but no signal word found"
"Sara Blohm","Indiana Elected Official","Sara Blohm 2020","7369","","lastName ""Blohm"" in committee name but no signal word found"
"Scott Strother","Indiana Elected Official","Strother 47","7629","","lastName ""Strother"" in committee name but no signal word found"
"Shane Lindauer","Indiana Elected Official","shanelindauer.com","7006","","lastName ""Lindauer"" in committee name but no signal word found"
"Steven Davisson","Indiana Elected Official","www.stevedavisson.com","5617","","lastName ""Davisson"" in committee name but no signal word found"
"Tom Wallace","Indiana Elected Official","Tom Wallace","7353","","lastName ""Wallace"" in committee name but no signal word found"
"William Colteryahn","Indiana Elected Official","Colteryahn4Indiana","8109","","lastName ""Colteryahn"" in committee name but no signal word found"
"William Levin","Indiana Elected Official","Levin 2020","7251","","lastName ""Levin"" in committee name but no signal word found"
