full_name,office,politician_id,filer_id,committee_name,source_row_id,outcome
Hilda L. Solis,Supervisor District 1,f1f3e6ca-5532-4f33-8ec2-64791b08f59b,1060659,"SOLIS FOR STATE SENATE, HILDA",,skipped_dry_run
Hilda L. Solis,Supervisor District 1,f1f3e6ca-5532-4f33-8ec2-64791b08f59b,1071225,"SOLIS OFFICEHOLDER ACCOUNT, SENATOR HILDA",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1304553,"MITCHELL, COMMITTEE TO ELECT HOLLY",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1314638,"MITCHELL FOR ASSEMBLY 2010, HOLLY J.",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1333909,"MITCHELL FOR ASSEMBLY 2012, HOLLY J.",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1355252,"MITCHELL FOR ASSEMBLY 2014, HOLLY",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1358812,"MITCHELL FOR SENATE 2013, HOLLY J.",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1361039,"MITCHELL FOR SENATE 2014, HOLLY J.",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1373775,MITCHELL FOR SENATE 2018; HOLLY J.,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1414025,MITCHELL OFFICEHOLDER ACCOUNT 2018; SENATOR HOLLY J,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1415447,MITCHELL FOR SECRETARY OF STATE 2022; HOLLY J.,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1415889,MITCHELL FOR COUNTY SUPERVISOR 2020; HOLLY J.,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1421304,"MITCHELL FOR COUNTY SUPERVISOR 2020, SPONSORED BY LA VOICE ACTION; WORKING FAMILIES FOR HOLLY",,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1424932,MITCHELL FOR LA SUPERVISOR 2020; COMMUNITIES UNITED FOR HOLLY,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1435302,MITCHELL OFFICEHOLDER 2020; SUPERVISOR HOLLY J.,,skipped_dry_run
Holly J. Mitchell,Supervisor District 2,fc5fda5f-f5bb-49bd-b7b3-b56eeaa6bb50,1466771,"MITCHELL FOR COUNTY SUPERVISOR 2024, SPONSORED BY LA VOICE ACTION; WORKING FAMILIES FOR HOLLY",,skipped_dry_run
Lindsey P. Horvath,Supervisor District 3,81dfcf88-c739-4461-9d16-931f8d51a8c5,1328376,"HORVATH FOR WEST HOLLYWOOD CITY COUNCIL 2011, LINDSEY",,skipped_dry_run
Lindsey P. Horvath,Supervisor District 3,81dfcf88-c739-4461-9d16-931f8d51a8c5,1372737,HORVATH FOR WEST HOLLYWOOD CITY COUNCIL 2015; LINDSEY,,skipped_dry_run
