# UT court-ordered re-key (164.1-ut-wiring-contract): races on EXISTING offices 4901-4904; incumbents re-linked onto NEW district races (Moore->4902, Maloy->4903, Kennedy->4904); 4901 OPEN (McAdams field); Owens retired -> NO-ROW; offices/geo_districts/user_districts NEVER written (Jan-2027 promotion re-keys offices).
geo_id,full_name,party_from_field,decision,pid_or_external_id,is_incumbent,source
4901,"Ben McAdams",Democratic,REUSE-PRIMARY-PID,b78f058c-94de-4081-91fb-86ab7badb2fb,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4902,"Blake Moore",Republican,RE-LINK-INCUMBENT,e365a1d4-2de3-4fb6-b416-d78227836553,true,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4902,"Peter Crosby",Democratic,REUSE-PRIMARY-PID,e3cbc264-534e-4e47-a288-8ac389bf78f4,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Celeste Maloy",Republican,RE-LINK-INCUMBENT,a7983eb6-bae0-4269-856b-f4554fb5ce29,true,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Kent Udell",Democratic,REUSE-PRIMARY-PID,a7e29796-a928-49cc-b795-973a4f69fafe,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4904,"Mike Kennedy",Republican,RE-LINK-INCUMBENT,9e3164d5-ce71-4c50-9220-b969265ce551,true,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4904,"Jonny Larsen",Democratic,REUSE-PRIMARY-PID,6708ceaa-ae51-4eee-93a3-d4a3be16254d,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
-,"Burgess Owens",Republican,RETIRED-NO-ROW,cb87ddbb-5a83-45b7-b67a-789e63f0e58b,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4901,"Riley Owen",Republican,NEW,-490101,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4901,"Jesse West",Libertarian,NEW,-490102,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4901,"Elias Henry Montgomery",Unaffiliated,NEW,-490103,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4902,"Daniel Cottam",Libertarian,NEW,-490201,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4902,"Carlton E. Bowen",Independent American,NEW,-490202,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4902,"Robert M. Moesinger",Unaffiliated,NEW,-490203,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Cassie Easley",Constitution,NEW,-490301,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Adonis Hooslyn",Unaffiliated,NEW,-490302,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Ayden Scott",Unaffiliated,NEW,-490303,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4903,"Michael R. Stoddard",Libertarian,NEW,-490304,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4904,"Taylor Wright",Libertarian,NEW,-490401,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
4904,"Steven Burt",Unaffiliated,NEW,-490402,false,"UT vote.utah.gov 2026 candidate filings (decided; court-ordered 2026 map, LWV v. Utah Legislature)"
