cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,existing_pid,is_incumbent,source
1,2401,"Dan Schwartz",Democratic,D,NEW,-240101,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
2,2402,"Dave Wallace",Republican,R,NEW,-240201,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
3,2403,"Berney Flowers",Republican,R,NEW,-240301,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
4,2404,"George McDermott",Republican,R,NEW,-240401,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
5,2405,"Adrian Boafo",Democratic,D,REUSE-PID,-2420067,1da26040-98b4-4eb0-aa1f-3ec05b297a29,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
5,2405,"Chris Chaffee",Republican,R,NEW,-240501,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
5,2405,"Jonathan Burruss",Unaffiliated,IND,NEW,-240502,,false,"MD SBE 2026 declared unaffiliated/minor-party general field (window open to 2026-08-03)"
5,2405,"Brian Jordan",Unaffiliated,IND,NEW,-240503,,false,"MD SBE 2026 declared unaffiliated/minor-party general field (window open to 2026-08-03)"
6,2406,"Robin Ficker",Republican,R,NEW,-240601,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
6,2406,"Moshe Landman",Green,G,NEW,-240602,,false,"MD SBE 2026 declared unaffiliated/minor-party general field (window open to 2026-08-03)"
7,2407,"Scott Collier",Republican,R,NEW,-240701,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
8,2408,"Cheryl Riley",Republican,R,NEW,-240801,,false,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
8,2408,"Nancy Wallace",Green,G,NEW,-240802,,false,"MD SBE 2026 declared unaffiliated/minor-party general field (window open to 2026-08-03)"
1,2401,"Andy Harris",,INC,REUSE-ADD-ROW,,ff596d3f-3056-43e2-a80a-8c4b8fd9abde,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
2,2402,"Johnny Olszewski",,INC,REUSE-ADD-ROW,,504ff19d-5db9-4093-9cba-d36fcb70f1b6,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
3,2403,"Sarah Elfreth",,INC,REUSE-ADD-ROW,,87560825-eced-4690-be06-88549f0f83cf,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
4,2404,"Glenn Ivey",,INC,REUSE-ADD-ROW,,e59ec991-3948-4369-913c-63c62dc3ece5,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
6,2406,"April McClain Delaney",,INC,REUSE-ADD-ROW,,da087947-83af-4ca2-91c8-1f9e0bf887a9,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
7,2407,"Kweisi Mfume",,INC,REUSE-ADD-ROW,,6e2f5cf7-4e00-4a83-b1d7-b3f2ea4c1ffd,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
8,2408,"Jamie Raskin",,INC,REUSE-ADD-ROW,,731c674f-8f44-4df3-8b04-3b70be39a1bd,true,"MD SBE 2026 primary results + declared general field (decided; unaffiliated/minor window open to 2026-08-03)"
5,2405,"Steny Hoyer",,INC,RETIRED-NO-ROW,,,false,"open seat -- retired, no incumbent row"
