cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,2501,"Jeromie Whalen",D,D,NEW,-250101,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
1,2501,"Nadia Milleron",IND,IND,NEW,-250102,false,"Declared independent (news-evidenced, e.g. Milleron MA-1); provisional -- MA independent filing deadline 2026-08-25"
3,2503,"Gary J. Grossi",R,R,NEW,-250301,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
4,2504,"Jason Poulos",D,D,NEW,-250401,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
4,2504,"Thomas Stalcup",R,R,NEW,-250402,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
5,2505,"Tarik Samman",D,D,NEW,-250501,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
5,2505,"Jonathan Paz",D,D,NEW,-250502,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Bethany Andres-Beck",D,D,NEW,-250601,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"John A. Beccia III",D,D,NEW,-250602,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Jamie Belsito",D,D,NEW,-250603,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Dan Koh",D,D,NEW,-250604,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Mariah Lancaster",D,D,NEW,-250605,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Tram Nguyen",D,D,NEW,-250606,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
6,2506,"Micah Quinney Jones",R,R,NEW,-250607,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
8,2508,"Patrick Roath",D,D,NEW,-250801,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
8,2508,"Robert Gerald Burke",R,R,NEW,-250802,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
9,2509,"Craig Swallow",D,D,NEW,-250901,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
9,2509,"R. Tyler MacAllister",R,R,NEW,-250902,false,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
1,2501,"Richard Neal",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
2,2502,"Jim McGovern",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
3,2503,"Lori Trahan",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
4,2504,"Jake Auchincloss",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
8,2508,"Stephen Lynch",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
9,2509,"Bill Keating",,INC,REUSE-ADD-ROW,,true,"MA SoS dem-state-primary-candidates2026.htm, cross-checked Wikipedia 2026 MA US House elections"
5,2505,"Katherine Clark",,INC,ALREADY-WIRED-SKIP,,true,"160-race-preexistence-audit.csv row 29"
7,2507,"Ayanna Pressley",,INC,ALREADY-WIRED-SKIP,,true,"160-race-preexistence-audit.csv row 31"
6,2506,"Seth Moulton",,INC,RETIRED-NO-ROW,,false,"open seat -- retired, no incumbent row"
