full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Wes Moore,abortion,2,"Moore stated Maryland will protect reproductive health and rights and called for enshrining the right to abortion into Maryland's Constitution. His campaign platform committed to keeping abortion legal and accessible through the second trimester with strong protections — consistent with value 2 ('keep abortion legal and accessible through the second trimester with rare exceptions afterward'). He also pledged to protect reproductive health care access and stockpiled mifepristone for years of supply.",https://www.ontheissues.org/governor/Wes_Moore_Abortion.htm,https://wesmoore.com/issues/reproductive-rights/,
Wes Moore,climate-change,3,"Moore pledged to take 'swift and bold action on climate change' after the Supreme Court's 2022 EPA ruling, promising Maryland would push back. He signed legislation to accelerate clean energy investment as governor. His approach centers on investing in clean energy while gradually reducing fossil fuel reliance — consistent with value 3 ('invest in clean energy while gradually reducing reliance on fossil fuels'). He has not declared a climate emergency or pledged to ban all fossil fuel activities.",https://www.ontheissues.org/governor/Wes_Moore_Environment.htm,,
Wes Moore,immigration,2,"Moore said Maryland would 'follow the Constitution' on ICE cooperation, expressing personal commitment to immigration as a child of an immigrant mother. He opposed mass deportations and supported open legal immigration pathways. His position aligns with value 2 ('Keep legal immigration open and let most residents use public services regardless of legal status'), not a full sanctuary position (value 1) but clearly opposing restrictive enforcement.",https://www.ontheissues.org/governor/Wes_Moore_Immigration.htm,,
Wes Moore,civil-rights,2,"Moore acknowledged the '10 to 1 racial wealth gap' and called for policy measures to address historic discrimination. He committed to LGBTQ+-affirming school policies and supporting the Trans Health Equity Act. His position aligns with value 2 ('strengthen civil rights enforcement and address systemic discrimination') — he advocates for addressing systemic causes, not just equal opportunity.",https://www.ontheissues.org/governor/Wes_Moore_Civil_Rights.htm,,
Wes Moore,tariffs,3,"Moore said 'tariffs are a tool, they're not an ideology' in criticizing Trump's broad tariff approach. He opposed disruptive tariff policies but expressed support for selective use of tariffs to protect American industries. This matches value 3 ('use tariffs selectively to protect key American industries and jobs') — he does not support eliminating tariffs (values 1-2) nor broad across-the-board tariffs (values 4-5).",https://www.ontheissues.org/governor/Wes_Moore_Free_Trade.htm,,
Wes Moore,childcare,2,"Moore announced the 'largest increase in funding for child care in Maryland history' supporting 45,000 children, and called for expanding the Child and Dependent Care Tax Credit and capping out-of-pocket expenses for families in need. This matches value 2 ('Significantly expanding subsidies and provider grants to make childcare affordable for low- and middle-income families') — well beyond targeted tax credits (value 3) but not universal publicly-funded childcare (value 1).",https://www.ontheissues.org/governor/Wes_Moore_Families_+_Children.htm,,
Wes Moore,fossil-fuels,3,"Moore promised to take bold climate action but his official record shows investment in clean energy transition rather than banning new permits. Maryland has not stopped issuing fossil fuel permits under his governorship. His approach is maintaining current environmental regulation while investing in clean energy — consistent with value 3 ('maintain current levels of fossil fuel production with existing environmental regulations').",https://www.ontheissues.org/governor/Wes_Moore_Environment.htm,,
Wes Moore,taxes,2,"Moore's proposed budget included significant new childcare investments and housing programs. In 2024 State of the State address he noted these could be made 'without raising taxes on Marylanders,' but his overall fiscal policy has supported moderately raising revenues from corporations and higher earners to fund expanded services. This aligns with value 2 ('Moderately raise taxes on wealthy people and large companies to fund existing services').",https://www.ontheissues.org/governor/Wes_Moore_Families_+_Children.htm,,
Aruna Miller,same-sex-marriage,2,"In 2012, Miller voted for the Civil Marriage Protection Act to legalize same-sex marriage in Maryland. She supports nationwide recognition while protecting religious freedom for organizations. This matches value 2 ('allow same-sex marriage nationwide while protecting some organizations' right to decline participation').",https://en.wikipedia.org/wiki/Aruna_Miller,,
Aruna Miller,climate-change,2,"Miller co-sponsored Maryland's fracking ban and supported aggressive environmental legislation including the Marcellus Shale Act of 2011. She introduced legislation to protect the Potomac River Basin. Her record reflects value 2 ('rapidly transition to renewable energy and phase out fossil fuels by 2030') — banning fracking is a strong anti-fossil-fuel position.",https://en.wikipedia.org/wiki/Aruna_Miller,,
Aruna Miller,fossil-fuels,2,"Miller co-sponsored Maryland's fracking ban from the outset, beginning with the Marcellus Shale Act of 2011 that laid the groundwork for the eventual fracking ban she co-sponsored. Banning fracking is equivalent to stopping new permits for fossil fuel drilling — value 2 ('stop issuing new permits for fossil fuel drilling').",https://en.wikipedia.org/wiki/Aruna_Miller,,
Aruna Miller,healthcare,2,"During her 2018 House campaign, Miller explicitly stated she supported moving toward a single-payer healthcare system, and signed an amicus brief supporting the Affordable Care Act. Her position of moving toward single-payer while supporting comprehensive coverage access aligns with value 2 ('Make sure everyone has affordable coverage through a mix of public programs and regulated private insurance') — actively supporting expanded public coverage.",https://en.wikipedia.org/wiki/Aruna_Miller,,
Aruna Miller,civil-rights,2,"Miller voted for the Civil Marriage Protection Act, supported LGBTQ+ rights, and pushed for equal treatment across multiple minority groups. Her legislative record shows consistent commitment to strengthening civil rights enforcement — value 2 ('strengthen civil rights enforcement and address systemic discrimination').",https://en.wikipedia.org/wiki/Aruna_Miller,,
Anthony G. Brown,civil-rights,2,"As Maryland AG, Brown secured legislation allowing his office to prosecute civil rights violations in housing and employment, and police-involved deaths. He pursued cases against police misconduct and filed numerous lawsuits against the Trump administration protecting civil rights. His work matches value 2 ('strengthen civil rights enforcement and address systemic discrimination').",https://en.wikipedia.org/wiki/Anthony_Brown_(Maryland_politician),,
Anthony G. Brown,immigration,2,"Brown filed multiple lawsuits against the Trump administration's immigration enforcement actions as AG. He joined multi-state coalitions opposing travel bans and immigration restrictions. This reflects value 2 ('Keep legal immigration open and let most residents use public services regardless of legal status') — opposing restrictive enforcement while not calling for stopping all deportations.",https://en.wikipedia.org/wiki/Anthony_Brown_(Maryland_politician),,
Anthony G. Brown,abortion,2,"Brown, as a Democratic Maryland AG, has consistently defended abortion access and joined coalition lawsuits protecting reproductive rights. As a candidate, he ran as a strong defender of abortion access. This aligns with value 2 ('keep abortion legal and accessible through the second trimester with rare exceptions afterward') — consistent with Maryland's protective stance on abortion access.",https://en.wikipedia.org/wiki/Anthony_Brown_(Maryland_politician),,
Brooke Lierman,abortion,2,"In 2019, Lierman added her name to a manifesto reaffirming commitment to protecting abortion rights. In 2022, she spoke in support of legislation to enshrine the right to abortion in Maryland's constitution, sharing her personal experience. Value 2 ('keep abortion legal and accessible through the second trimester with rare exceptions afterward') fits her documented position of constitutional protection for abortion access.",https://en.wikipedia.org/wiki/Brooke_Lierman,,
Brooke Lierman,climate-change,3,"Lierman introduced legislation banning polystyrene products (became law 2019), sponsored plastic bag ban legislation, and required Maryland pension funds to consider climate change as a financial factor. Her approach is investing in clean energy and environmental protection while maintaining economic balance — value 3 ('invest in clean energy while gradually reducing reliance on fossil fuels').",https://en.wikipedia.org/wiki/Brooke_Lierman,,
Brooke Lierman,immigration,2,"Lierman testified in support of a 2026 bill to ban Maryland counties from entering 287(g) program agreements with ICE, citing immigrants' economic contributions to Maryland. Opposition to 287(g) agreements (which expand local police participation in immigration enforcement) is consistent with value 2 ('Keep legal immigration open and let most residents use public services regardless of legal status').",https://en.wikipedia.org/wiki/Brooke_Lierman,,
Brooke Lierman,civil-rights,2,"Lierman co-sponsored a 2020 bill to research reparations for descendants of enslaved Africans in Maryland. She introduced protections against police officer sexual misconduct. Her civil rights record reflects value 2 ('strengthen civil rights enforcement and address systemic discrimination').",https://en.wikipedia.org/wiki/Brooke_Lierman,,
Brooke Lierman,school-vouchers,2,"Lierman has consistently supported increased funding for Baltimore City schools and universal pre-K, and opposed diversion of public funds from public education. This aligns with value 2 ('Prioritizing public school funding while restricting vouchers to low-income families who lack adequate local options').",https://en.wikipedia.org/wiki/Brooke_Lierman,,
Dereck E. Davis,civil-rights,2,"Davis was chair of Maryland's Economic Matters Committee for nearly two decades and has consistently supported legislation protecting working people including minimum wage increases and has served in the Legislative Black Caucus of Maryland. As Treasurer he has placed scrutiny on contracts with inadequate participation from historically disadvantaged business owners — consistent with value 2 ('strengthen civil rights enforcement and address systemic discrimination').",https://en.wikipedia.org/wiki/Dereck_E._Davis,,
Dereck E. Davis,taxes,3,"Wikipedia describes Davis as a centrist, and his legislative record shows support for some moderate tax-funded investments while opposing unnecessary spending. His role as state treasurer focuses on fiscal soundness. The most defensible match for his documented record is value 3 ('Keep the current tax system mostly as-is with small adjustments to close unfair loopholes') — centrist fiscal approach.",https://en.wikipedia.org/wiki/Dereck_E._Davis,,
