full_name,politician_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","abortion",2,"Campaign agenda pledges to 'Restore Reproductive Healthcare' under 'Protect Our Rights and the Most Vulnerable'; her legislative record fighting Georgia's abortion ban is a campaign centerpiece — the agenda recounts that 'when Republicans attempted to pass an abortion ban using information from a fake medical organization, Dr. Clark discovered their lie and exposed the truth.' Restoring pre-Dobbs access matches keeping abortion legal and accessible through the second trimester; no public-funding/all-stages position documented (rules out 1).","https://www.jasmine4ga.com/agenda","https://www.jasmine4ga.com/",,,
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","childcare",2,"Agenda plank 'Lower the Price of Childcare and Pre-K for All' under 'Protect Education at Every Stage of Life', in a platform of expanded public investment (increased K-12 funding, protecting public schools). Matches significantly expanding subsidies/support to make childcare affordable; stops short of a documented universal publicly-run childcare system (chair 1).","https://www.jasmine4ga.com/agenda",,,,
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","civil-rights",2,"Record and agenda center on strengthening civil-rights protection and addressing systemic discrimination: she 'successfully blocked the State School Superintendent from banning AP African-American Studies in schools', pledges to 'Stop Environmental Racism', 'Safeguard our HBCUs', and pursue 'Criminal Justice Reform'. Matches strengthening civil-rights enforcement and addressing systemic discrimination; no reparations/mandated-equity-requirements position documented (rules out 1).","https://www.jasmine4ga.com/agenda",,,,
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","deportation",2,"Agenda pledges to 'Stop Unconstitutional ICE Raids' and to 'build a more humane America where we look after one another, not throw our neighbors in jail'; her Jan 2026 press release calls ICE 'a lawless organization' and condemns detention of non-criminal long-settled residents (Rodney Taylor, 'a disabled barber from Loganville... locked up in horrific conditions'). Her documented objection is to removing non-criminal community members — matching limiting deportation to those convicted of serious crimes; she does not call for stopping deportations entirely (rules out 1).","https://www.jasmine4ga.com/agenda","https://www.jasmine4ga.com/news/1-14-26pressrelease",,"Under Kristi Noem's watch, ICE has turned into a lawless organization where masked individuals are killing unarmed mothers like Renee Good in the streets and innocent Black men like Keith Porter Jr. in their apartment complexes.","ICE has turned into a lawless organization where masked individuals are killing unarmed mothers in the streets and innocent men in their apartment complexes."
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","healthcare",2,"Agenda planks 'Expanding Healthcare' and 'Making Life Affordable for Georgia families'; campaign bio attacks 'cutting health care for millions' and pledges to 'protect healthcare'; in a May 2026 interview she said she wants to tackle 'healthcare access and maternal mortality'. Expansion-of-coverage/access framing matches ensuring everyone has affordable coverage through a mix of public programs and regulated private insurance; no single-payer position documented (rules out 1).","https://www.jasmine4ga.com/agenda","https://19thnews.org/2026/05/georgia-primary-election-jasmine-clark-congress/",,,
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","housing",3,"Agenda plank 'Make Homeownership Accessible for All' under 'Lowering the Cost of Living', plus 'Provide Resources for Veterans Housing' — assistance-oriented programs within a government-action platform. Matches targeted help (buyer assistance, subsidies for affordable projects); no public-housing-construction or rent-cap position documented (rules out 1-2), and she proposes government action rather than deregulation-only (rules out 4-5).","https://www.jasmine4ga.com/agenda",,,,
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","school-vouchers",1,"Agenda states 'education is under attack by Republicans trying to politicize our schools and divert funding to unaccountable private and charter schools' and pledges leadership that 'fully funds our schools'; planks include 'Increase K-12 Funding' and 'Protect Higher Education from Political Attacks'. Near-verbatim match to fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.","https://www.jasmine4ga.com/agenda",,,"As a college educator and a mother of two public school students, I know firsthand that education is under attack by Republicans trying to politicize our schools and divert funding to unaccountable private and charter schools.","Education is under attack by politicians trying to politicize our schools and divert funding to unaccountable private and charter schools."
"Jasmine Clark","66cae409-332e-4b3c-a352-675dcbb58863","taxes",2,"Agenda plank 'Billionaires and Corporations Should Pay Their Fair Share' under 'Build an Economy That Works for Us All': 'Too often, the economy feels rigged–the rich are getting richer and working people are finding it harder and harder just to get by.' Fair-share framing to fund her affordability agenda matches moderately raising taxes on wealthy people and large companies; 'significantly raise' (chair 1) is not documented.","https://www.jasmine4ga.com/agenda",,,"Too often, the economy feels rigged–the rich are getting richer and working people are finding it harder and harder just to get by. I want to build an economy where everyone has a chance to actually get ahead and build wealth–not just those who were born into it.","Too often, the economy feels rigged–the rich are getting richer and working people are finding it harder and harder just to get by. I want to build an economy where everyone has a chance to actually get ahead and build wealth–not just those who were born into it."
"Houston Gaines","57a9bf3e-4889-4b35-8a44-57430e7717ae","abortion",4,"Campaign issues page: 'he's pro-life. He voted for the Heartbeat Bill, and he'll join President Trump and Congress to defund planned parenthood.' Georgia's Heartbeat Bill (HB 481) bans abortion after ~6 weeks with exceptions for rape, incest (with police report) and medical emergency — matching restricting abortion to only cases involving rape, incest, or serious threats to the mother's life; not a no-exceptions ban with criminal penalties (rules out 5).","https://houstongaines.com/issues/",,,"He's pro-life. He voted for the Heartbeat Bill, and he'll join President Trump and Congress to defund planned parenthood.","Voted for the Heartbeat Bill, and will join Congress efforts to defund Planned Parenthood."
"Houston Gaines","57a9bf3e-4889-4b35-8a44-57430e7717ae","deportation",4,"Issues page headline 'DEPORT CRIMINAL ILLEGALS': 'Houston has led the charge at the state level to revamp immigration laws to crack down on those who are here illegally. His legislation ensured total cooperation with ICE... Deportations must continue, and the border must stay secure.' Matches deporting everyone without legal status starting with those who have criminal records — his lead framing prioritizes criminal records while endorsing continued broad deportations; no stated urgency to remove all undocumented regardless of ties (rules out 5).","https://houstongaines.com/issues/",,,"Houston has led the charge at the state level to revamp immigration laws to crack down on those who are here illegally. His legislation ensured total cooperation with ICE so immigration authorities know when law enforcement comes into contact with an illegal alien... Deportations must continue, and the border must stay secure.","Led the charge at the state level to revamp immigration laws to crack down on those who are here illegally; legislation ensured total cooperation with ICE. Deportations must continue, and the border must stay secure."
