full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
"Scott A. Wyatt","taxes","4","Campaign website states: ""reduce regulations and lower our tax burden to attract industry"" and ""work with Governor Youngkin... to send money back to hardworking families of Virginia."" Focuses on tax cuts and economic growth consistent with cutting taxes for everyone and scaling back public services.","https://www.votescottwyatt.com/issues","",""
"Scott A. Wyatt","school-vouchers","4","Campaign website states he ""supports school choice and voucher programs, especially for those who live in failing school districts."" Expanding voucher eligibility to families whose local options are inadequate, while maintaining baseline public school funding.","https://www.votescottwyatt.com/issues","",""
"Scott A. Wyatt","religious-freedom","4","Campaign website states: ""Religious freedoms are a bedrock of our society and Scott will stand against the attacks on people of faith."" Self-identifies as a Christian and social conservative; consistent with protecting religious freedom and allowing faith-based exemptions from laws conflicting with sincere religious beliefs.","https://www.votescottwyatt.com/issues","",""
"Scott A. Wyatt","healthcare","4","Wikipedia: Wyatt was nominated in 2019 to replace incumbent Del. Chris Peace specifically because Peace voted to expand Medicaid. Republican party chose Wyatt as a hardline conservative challenger opposed to Medicaid expansion. Consistent with only helping the poorest people afford healthcare and leaving others to employers and private insurance.","https://en.wikipedia.org/wiki/Scott_Wyatt_(politician)","https://ballotpedia.org/Scott_Wyatt_(Virginia)",""
"Michael J. Webert","taxes","4","Campaign website states: reducing taxes to keep more money in pockets of Virginia families and small businesses. Also 2011 Ballotpedia campaign themes: reducing tax burdens and eliminating unnecessary bureaucratic regulations. Consistent with cutting taxes for everyone and scaling back public services.","https://www.michael-webert.com/issues","https://ballotpedia.org/Michael_Webert",""
"Michael J. Webert","abortion","5","Campaign website states: Mike believes life begins at conception and is 100% pro-life. This is a statement of no exceptions (not value 4 which allows for rape/incest/maternal health exceptions). Scoring value 5 for the no-exceptions position; note the source does not explicitly mention criminal penalties for providers, but the absolute no-exceptions framing matches this chair most closely.","https://www.michael-webert.com/issues","",""
"Michael J. Webert","data-centers","3","Campaign website notes he introduced legislation to create new regulations for data centers and their infrastructure in 2024, as part of his goal to stop overdevelopment in the 61st district. Introduces impact assessments and regulatory requirements before data center approval. Consistent with allowing data center development with impact assessments, energy cost-sharing agreements, and community benefit requirements before approval.","https://www.michael-webert.com/issues","",""
"Karen Fleming Hamilton","abortion","5","Campaign website Priorities page states: ""Human life begins at conception, when an entirely unique and separate human DNA is formed by God. The right to life is the first right."" Also: ""I will take every opportunity to protect innocent human life."" Opposed to enshrining abortion rights in Virginia Constitution. Life-at-conception stance with no mention of exceptions for rape, incest, or maternal health. Matches chair 5 (no exceptions; note: criminal penalties not explicitly stated but no-exceptions position is unambiguous).","https://www.hamiltonforvirginia.com/priorities","https://ballotpedia.org/Karen_Hamilton",""
"Karen Fleming Hamilton","school-vouchers","4","Campaign website Priorities page states: ""I am committed to fighting for school choice, which would force government schools to compete for the privilege of educating the next generation."" Framing suggests broad voucher expansion so families can choose, not just low-income families in failing districts. Consistent with expanding voucher eligibility to most families.","https://www.hamiltonforvirginia.com/priorities","",""
"Karen Fleming Hamilton","taxes","4","Campaign website Priorities page states under Economic Freedom: ""Lowering taxes, lifting regulation, and restricting government intrusion allows both our economy and households to thrive"" and ""I will work to keep more of your hard earned dollars where they belong - in your pockets."" Consistent with cutting taxes for everyone and scaling back public services.","https://www.hamiltonforvirginia.com/priorities","",""
"Karen Fleming Hamilton","immigration","4","Campaign website Priorities page states under Law and Order: ""local authorities must cooperate with the efforts of Federal LEO to remove violent criminals and illegal immigrants from our Commonwealth."" Supports removing all undocumented immigrants starting with those with criminal records. Consistent with deporting everyone without legal status, starting with those who have criminal records.","https://www.hamiltonforvirginia.com/priorities","",""
"Karen Fleming Hamilton","religious-freedom","5","Campaign website states: ""Our rights and liberties are given by God and simply protected by the Constitution. I will always vote to protect the individual and property rights described in our founding documents."" Background includes missionary parents, homeschool mom with strong Christian values. Strongly protects religious freedom with emphasis on God-given rights and broad individual liberty. Consistent with strongly protecting religious freedom and allowing religious organizations complete autonomy.","https://www.hamiltonforvirginia.com/priorities","",""
"Karen Fleming Hamilton","climate-change","4","Campaign website states under Agricultural Freedom: ""Over-regulation and a focus on ludicrous climate initiatives have ignored the true needs of our farmers. Government should have a limited role in agriculture, allowing farmers to make their own decisions and innovate without excessive interference."" Opposes climate regulations as overreach. Consistent with letting market forces drive any transition to cleaner energy sources.","https://www.hamiltonforvirginia.com/priorities","",""
