date,phase,politician_id,full_name,district,party,topic_key,value,source_urls
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,abortion,5,https://en.wikipedia.org/wiki/Rob_Wittman|https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,civil-rights,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,climate-change,4,https://www.ontheissues.org/VA/Rob_Wittman.htm|https://en.wikipedia.org/wiki/Rob_Wittman
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,deportation,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,fossil-fuels,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,healthcare,4,https://en.wikipedia.org/wiki/Rob_Wittman|https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,immigration,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,medicare/aid,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,same-sex-marriage,5,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,social-security,5,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,tariffs,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,taxes,4,https://www.ontheissues.org/VA/Rob_Wittman.htm
2026-06-10,113,8f4379fc-ae32-4f6a-8773-ac1d723106a5,Rob Wittman,VA-01,R,voting-rights,4,https://www.ontheissues.org/VA/Rob_Wittman.htm|https://en.wikipedia.org/wiki/Rob_Wittman
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,abortion,4,https://en.wikipedia.org/wiki/Jen_Kiggans|https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,civil-rights,4,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,climate-change,3,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,deportation,4,https://www.ontheissues.org/VA/Jen_Kiggans.htm|https://en.wikipedia.org/wiki/Jen_Kiggans
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,fossil-fuels,3,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,healthcare,3,https://en.wikipedia.org/wiki/Jen_Kiggans
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,immigration,3,https://en.wikipedia.org/wiki/Jen_Kiggans
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,school-vouchers,4,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,social-security,3,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,taxes,4,https://www.ontheissues.org/VA/Jen_Kiggans.htm
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,trans-athletes,4,https://en.wikipedia.org/wiki/Jen_Kiggans
2026-06-10,113,512f27a4-e24f-4f62-a288-18b1e37db463,Jen Kiggans,VA-02,R,voting-rights,4,https://www.ontheissues.org/VA/Jen_Kiggans.htm|https://en.wikipedia.org/wiki/Jen_Kiggans
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,abortion,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,civil-rights,1,https://www.ontheissues.org/VA/Bobby_Scott.htm|https://en.wikipedia.org/wiki/Bobby_Scott_(politician)
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,climate-change,2,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,deportation,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,fossil-fuels,2,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,healthcare,1,https://www.ontheissues.org/VA/Bobby_Scott.htm|https://en.wikipedia.org/wiki/Bobby_Scott_(politician)
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,immigration,1,https://www.ontheissues.org/VA/Bobby_Scott.htm
2026-06-10,113,cc499c9a-d165-4cd7-831d-51611339ac29,Bobby Scott,VA-03,D,medicare/aid,1,https://www.ontheissues.org/VA/Bobby_Scott.htm|https://en.wikipedia.org/wiki/Bobby_Scott_(politician)
