politician_id,topic_id,topic_key,value,notes,source_url
0fd28d87-09f7-4a01-85c7-c67c828ed34f,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
921b193b-13c4-490d-844d-4a4d559b1d7d,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
a5832455-f2b6-4dae-9523-5bb0f84b1e41,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
96e0a7f2-ed52-4248-9bd6-f9dea38ddf3d,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
81d94dc9-2a7a-48cb-a2d9-fa63f37f6a13,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
55711225-e548-4af3-9b60-3bf69f3bf783,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
11b10a42-377c-485b-bebb-8cd0e9d140c7,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
e7597233-b406-4b12-b809-c2f5c35cdc0e,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
b9d36981-c6c4-4607-aa2e-4909e330cca8,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
b2a53204-aea2-4c84-ab33-f406bc3bc9ef,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
bc4f7e5c-3ba6-43b4-8fdc-ef4995ab3dc8,fc056106-6078-4aad-be8a-461df1cb7fbd,surveillance-technology,2,YES on BL2021-961 3rd reading 2022-02-01 (22-14); gated acquisition; published use policy; 10-day retention,https://webapi.legistar.com/v1/nashville/matters/13719/texts/3179
