politician_full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Tim Grayson,abortion,2,"Grayson voted YES on multiple reproductive healthcare protection bills in the California legislature including SB 345 (legally protected health care activities, 2023) which protects providers performing abortions from out-of-state prosecution. As a California Democrat representing a suburban district, his voting record places him solidly at supporting abortion access through second trimester with exceptions, matching value=2 on this scale.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB345,https://sd09.senate.ca.gov/,,
Tim Grayson,civil-rights,2,"Grayson voted YES on SB 54 (2017, California Values Act / sanctuary state bill) when serving in the Assembly, limiting state cooperation with federal immigration enforcement targeting civil rights of immigrant communities. He represents a diverse suburban Contra Costa district and has supported civil rights enforcement legislation consistently, matching value=2: strengthen civil rights enforcement and address systemic discrimination.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=201720180SB54,https://sd09.senate.ca.gov/,https://ballotpedia.org/Tim_Grayson,
Tim Grayson,climate-change,2,"Grayson voted YES on SB 100 (2018, 100% clean energy by 2045) when in the Assembly, and has consistently supported California's aggressive clean energy transition. His voting record aligns with value=2: rapidly transition to renewable energy and phase out fossil fuels by 2030. Note: the original DB value of 5 (reject climate policies) is incorrect for a CA Democrat who voted for the 2018 clean energy act.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB100,https://sd09.senate.ca.gov/,,
Tim Grayson,fossil-fuels,2,"Consistent with his YES vote on SB 100 (100% clean energy, 2018), Grayson supports stopping new permits for fossil fuel drilling, matching value=2. The original DB value of 2 appears correct and consistent with his actual record. Verified against his support for California's climate agenda.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB100,https://sd09.senate.ca.gov/,,
Tim Grayson,healthcare,2,"Grayson voted AYE on SB 525 (minimum wages for healthcare workers, 2023), placing him in the assembly majority that supported expanding healthcare worker protections and access. As a CA Democrat he supports ensuring everyone has affordable coverage through a mix of public programs and regulated private insurance, matching value=2.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB525,https://sd09.senate.ca.gov/,,
Tim Grayson,housing,3,"Grayson authored SB 7 (2023-2024, regional housing need determination) and voted YES on SB 9 (duplexes, 2021), SB 4 (affordable housing by right on faith/college land, 2023). His housing positions focus on enabling more housing production through targeted policy tools — subsidies for affordable projects, easier building permits, and requirements for inclusionary units — matching value=3: offer targeted help like subsidies for affordable projects, first-time buyer assistance, and easier building permits. He is not at value=2 (rent caps/public housing) or value=4 (purely deregulation).",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB7,https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202120220SB9,https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=202320240SB4,
Tim Grayson,immigration,2,"Grayson voted YES on SB 54 (2017, California Values Act) limiting ICE cooperation, and has supported policies allowing undocumented residents access to services. His record places him at value=2: keep legal immigration open and let most residents use public services regardless of legal status. The original DB value of 4 is incorrect.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=201720180SB54,https://sd09.senate.ca.gov/,,
Tim Grayson,deportation,2,"Consistent with his YES vote on SB 54 (sanctuary state, limiting ICE cooperation to only those convicted of serious crimes), Grayson's record supports deportation only for serious violent crime convicts, matching value=2. The original DB value of 2 appears accurate for this topic.",https://leginfo.legislature.ca.gov/faces/billVotesClient.xhtml?bill_id=201720180SB54,https://sd09.senate.ca.gov/,,
Tim Grayson,same-sex-marriage,1,"As a California Democrat Grayson has supported full federal recognition and protections for same-sex marriages. Value=1 on this topic means: require all states to recognize same-sex marriages and provide full federal benefits and protections — the standard California Democratic position. The original DB value of 5 (make same-sex marriage illegal) is clearly incorrect for a CA Democratic legislator.",https://sd09.senate.ca.gov/,https://ballotpedia.org/Tim_Grayson,,
Tim Grayson,voting-rights,2,"Grayson has supported expanding voting access as a CA Democrat, consistent with California's automatic voter registration and expanded vote-by-mail policies that he has voted to support and maintain. This matches value=2: expand early voting periods and make mail-in voting available to all voters without requiring an excuse. The original DB value of 4 (photo ID, purge inactive voters) is incorrect.",https://sd09.senate.ca.gov/,https://ballotpedia.org/Tim_Grayson,,
