full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,1,"El-Sayed is one of the most committed Medicare for All advocates in the 2026 cycle. His campaign website states: 'I will fight to expand Medicare to cover all necessary healthcare, including vision, dental, and hearing, and extend it to every single American.' He co-authored a book titled Medicare for All: A Citizen's Guide and served on Biden's 2020 Unity Task Force for Healthcare.",https://abdulforsenate.com/priority/medicare-for-all-the-path-to-a-healthier-america/,https://en.wikipedia.org/wiki/Abdul_El-Sayed,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,medicare/aid,cab61e8a-64fe-4bbd-bc08-fe9914d0091b,1,"El-Sayed explicitly opposes privatization of Medicare and cuts to Medicaid, stating on his campaign website: 'I categorically oppose the privatization of Medicare or the attempt to cut Medicaid or destroy the ACA market.' He advocates expanding Medicare to all Americans with no premiums, copays, or deductibles.",https://abdulforsenate.com/priority/medicare-for-all-the-path-to-a-healthier-america/,https://en.wikipedia.org/wiki/Abdul_El-Sayed,
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,abortion,af2fdfd6-02c4-49df-b09c-cf8536f4773f,1,"El-Sayed is pro-choice and supports Planned Parenthood (OTI, Nov 2017). His campaign website lists codifying reproductive care protections into federal law as a healthcare priority, and his 'Hard-Core Liberal' OnTheIssues rating reflects consistent support for abortion access without restriction.",https://www.ontheissues.org/senate/Abdul_El-Sayed.htm,https://abdulforsenate.com/priority/medicare-for-all-the-path-to-a-healthier-america/,https://en.wikipedia.org/wiki/Abdul_El-Sayed
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,campaign-finance,d2cedc52-f7b0-4e1a-bedb-f9e8dfcb8b29,1,"El-Sayed states he is 'the only candidate running for U.S. Senate in Michigan that has never taken a dime of corporate money — and never will.' His platform calls for overturning Citizens United, banning SuperPACs and corporate 501(c)4s, and establishing public financing with campaign spending caps.",https://abdulforsenate.com/priority/money-out-of-politics/,https://en.wikipedia.org/wiki/Abdul_El-Sayed,
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,taxes,f7e5678d-dadd-4556-a2fc-446e24642ceb,1,"El-Sayed proposes taxing capital gains over $1 million at ordinary income rates, an inheritance tax on amounts over $1 million, raising marginal rates on income over $1 million, closing the stepped-up basis loophole, a billionaire wealth tax on fortunes over $1 billion, and removing the Social Security payroll tax cap. This is among the most progressive tax platforms in the 2026 field.",https://abdulforsenate.com/priority/money-in-your-pocket/,https://en.wikipedia.org/wiki/Abdul_El-Sayed,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,social-security,87d20824-a6e9-407b-983c-65440084a0ab,1,"El-Sayed supports closing the Social Security payroll tax cap as part of his broader tax reform platform, which would expand revenues for the program. His tax platform explicitly includes removing the earnings cap on payroll taxes, aligning with a fully progressive expansion of Social Security.",https://abdulforsenate.com/priority/money-in-your-pocket/,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm,
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,climate-change,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,2,"El-Sayed's 2018 gubernatorial platform called for achieving 100% renewable energy in Michigan by 2030 and merging state environmental agencies for stronger enforcement. His 2026 campaign lists clean air and water as a core priority alongside environmental justice (he was named Public Official of the Year by Michigan LCV).",https://en.wikipedia.org/wiki/Abdul_El-Sayed,https://abdulforsenate.com/priorities,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,fossil-fuels,a22215c3-6693-4bc2-b248-01aebba14570,2,"El-Sayed's environmental platform centers on clean energy and environmental justice rather than fossil fuel expansion. His 2018 platform called for 100% renewable energy by 2030 and tougher environmental enforcement. His campaign frames clean air and water as fundamental rights, indicating opposition to new fossil fuel permitting without calling for an immediate ban.",https://en.wikipedia.org/wiki/Abdul_El-Sayed,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm,https://abdulforsenate.com/priorities
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,immigration,4e2c69ce-591e-4197-9cd5-7aceff79d390,1,"El-Sayed supports a pathway to citizenship for undocumented immigrants (OTI, Nov 2017) and supports abolishing ICE, which he calls 'corrupted at its soul' and says 'no longer functions as a legitimate law enforcement agency.' Wikipedia records his position as maintaining border security while opposing ICE specifically.",https://en.wikipedia.org/wiki/Abdul_El-Sayed,https://www.ontheissues.org/senate/Abdul_El-Sayed.htm,
Abdul El-Sayed,ec0cfeae-a512-4ce2-a8f2-a25b00112b9b,deportation,44905f3b-e105-4f6c-afc7-5d223813dbac,2,"El-Sayed supports abolishing ICE and opposes mass deportation, while acknowledging he supports 'certain kinds' of border enforcement. OTI records his Mar 2026 quote: 'We can enforce immigration law, ICE isn't about that.' This reflects opposition to broad deportation operations while accepting targeted enforcement of serious crimes.",https://www.ontheissues.org/senate/Abdul_El-Sayed.htm,https://en.wikipedia.org/wiki/Abdul_El-Sayed,
