full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Muriel Bowser,local-immigration,1,"Bowser reaffirmed Washington D.C.'s status as a sanctuary city following Trump's 2017 executive order threatening to withhold federal funding from sanctuary cities. She refused to cooperate with ICE detainers and in September 2022 established the Office of Migrant Services to assist migrants arriving from Texas and Arizona. Value=1 matches 'Refuse all ICE detainers; prohibit city employees from sharing immigration status information with federal agencies.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Muriel Bowser,immigration,1,"Bowser affirmed sanctuary city status and joined a partnership with the National Immigration Forum to help D.C. government green card holders and family members apply for U.S. citizenship. She has consistently supported open access to city services for immigrants regardless of legal status. Value=1 matches 'Make it easier for immigrants to come here legally and let all immigrants including undocumented residents fully use public services.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Muriel Bowser,homelessness-response,3,"Bowser pledged to end chronic homelessness and pursued a shelter-based approach placing families in motel rooms and building smaller shelters across all 8 wards. She also enforced encampment clearings in later years under pressure to address visible homelessness. Her approach invested in outreach and shelter while also enforcing public space rules. Value=3 matches 'Invest in outreach, shelter, and mental health services while enforcing reasonable public space rules.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Muriel Bowser,civil-rights,2,"Bowser renamed the stretch of 16th Street NW in front of the White House 'Black Lives Matter Plaza' following George Floyd's murder and demonstrated strong public support for the BLM movement. She championed civil rights enforcement in D.C. Value=2 matches 'strengthen civil rights enforcement and address systemic discrimination.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Muriel Bowser,public-safety-approach,3,"Bowser supported outfitting the Metropolitan Police Department with body cameras and maintained the police budget while adding crisis response elements. She did not support defunding the police but also demonstrated support for some reform. Value=3 matches 'Keep current public safety funding while adding crisis response teams for mental health and addiction calls.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Muriel Bowser,housing,2,"Bowser invested in affordable housing initiatives including the Good Food Markets project with 195 units of affordable housing. She announced the Homeward DC strategic plan and committed to ending family homelessness through housing programs and championed inclusionary zoning. Value=2 matches 'Use rent caps, require new developments to include affordable units, and publicly fund new housing.'",https://en.wikipedia.org/wiki/Muriel_Bowser,,
Phil Mendelson,campaign-finance,1,"Mendelson received national attention for his work on the D.C. Fair Elections Act (enacted 2018) which uses public funds to match campaign contributions and requires candidates to accept lower maximum contribution limits. He has consistently championed campaign finance reform. Value=1 matches 'ban all private money in politics and publicly fund campaigns.'",https://en.wikipedia.org/wiki/Phil_Mendelson,,
Phil Mendelson,same-sex-marriage,1,"Mendelson received national attention for his work to advance D.C.'s same-sex marriage legalization law and worked with regional counterparts to support full marriage equality. As Council chairman he shepherded pro-equality legislation. Value=1 matches 'require all states to recognize same-sex marriages and provide full federal benefits and protections.'",https://en.wikipedia.org/wiki/Phil_Mendelson,,
Phil Mendelson,homelessness-response,2,"In 2016 Mendelson overhauled Mayor Bowser's plan to close DC General homeless shelter and shepherded an alternative plan that expanded shelter capacity and services rather than dispersing shelters without community input. Value=2 matches 'Expand shelter capacity and services as the primary strategy; use enforcement only after services are offered.'",https://en.wikipedia.org/wiki/Phil_Mendelson,,
Anita Bonds,housing,3,"Bonds introduced legislation to limit property taxes on senior citizens who have lived in D.C. for 15 consecutive years. She also attended an affordable housing roundtable in 2016. Activists protested her for mixed support of affordable housing measures. Value=3 matches 'Offer targeted help like subsidies for affordable projects, first-time buyer assistance, and easier building permits.'",https://en.wikipedia.org/wiki/Anita_Bonds,,
"Robert C. White, Jr.",housing,2,"White campaigned on improving access to affordable housing and was endorsed by tenants' rights groups. He championed using zoning laws to bring redevelopment and supported legislation ensuring affordable units in new developments. Value=2 matches 'Use rent caps, require new developments to include affordable units, and publicly fund new housing.'",https://en.wikipedia.org/wiki/Robert_C._White_Jr.,,
"Robert C. White, Jr.",civil-rights,2,"White is a Moms Demand Action Gun Sense Candidate and spoke at a protest against Trump's proposed immigration bans in January 2017. He was endorsed by DC NOW, DC for Democracy, and Capital Stonewall Democrats. Value=2 matches 'strengthen civil rights enforcement and address systemic discrimination.'",https://en.wikipedia.org/wiki/Robert_C._White_Jr.,,
"Robert C. White, Jr.",campaign-finance,1,"In June 2016 White endorsed a DC campaign finance reform proposal to prohibit any person or corporation from receiving a city contract worth $100,000 or more if they donate to a city council election — one of the strictest proposals to address corruption and ethics. Value=1 matches 'ban all private money in politics and publicly fund campaigns.'",https://en.wikipedia.org/wiki/Robert_C._White_Jr.,,
