full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Emily M. Jordan,school-vouchers,5,"Jordan was the chief patron of SB533 in the 2024 Virginia session, establishing the Education Excellence for All Program — an education savings account allocating 95% of state per-pupil funds to family-controlled accounts redeemable at private, nonpublic, or homeschool settings. Eligible families earn up to 300% of the federal poverty level (400% for students with disabilities), covering a broad population. Authoring this bill as chief patron is the strongest possible signal of support for education funding following the student to any school of the family's choice.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB533,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116,,,
Emily M. Jordan,climate-change,4,"Jordan co-patroned SB3 in the 2024 Virginia session, which restricted the State Air Pollution Control Board from adopting California-style zero-emission vehicle standards and repealed provisions of the Clean Economy Act's vehicle emissions mandates. Opposing government-mandated clean energy transitions aligns with letting market forces drive the process rather than government-driven rapid transition.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB3,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116,,,
Emily M. Jordan,fossil-fuels,4,"Jordan co-patroned SB3 in the 2024 Virginia session, which blocked state adoption of California-style zero-emission vehicle standards — directly removing an environmental regulation that would accelerate transition away from fossil fuels. This supports expanding the permissive environment for fossil fuel use over government-driven restrictions, aligning with expanding current policy latitude rather than maintaining strict environmental controls.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB3,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116,,,
Emily M. Jordan,taxes,4,"Jordan co-patroned SB58 (2024), establishing an annual three-day August retail sales and use tax holiday covering school supplies, clothing, Energy Star products, and generators. She also authored SB310 creating a $4,000 nonfamily adoption tax credit. Both bills represent targeted tax reductions consistent with preferring lower tax rates across income levels rather than closing loopholes or raising rates.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB58,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB310,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116,,
Emily M. Jordan,civil-rights,3,"Jordan co-patroned SB7 (2024), which expanded Virginia's hate crime and anti-discrimination statutes to add 'ethnic or' as a protected category alongside national origin in multiple code sections. Sponsoring an expansion of civil rights protections indicates support for maintaining and modestly extending current civil rights law, rather than either mandating equity requirements or eliminating existing programs.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+ful+SB7,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S116,,,
L. Louise Lucas,abortion,1,"Lucas was the chief patron of SJ1 in both the 2024 and 2025 Virginia sessions — a constitutional amendment establishing that 'every individual has the fundamental right to reproductive freedom' with no stage limit, protecting decisions about all matters related to pregnancy. She also co-patroned SB15 (2024) barring Virginia from extraditing people who received or assisted with reproductive health care, and SB1243 (2023) with the same extradition protection. This three-bill pattern documents a stance favoring full abortion access at all stages.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S19C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S19S,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19,,
L. Louise Lucas,civil-rights,2,"Lucas was chief patron of SB1248 (2023), requiring at least 30% of boards of directors to be women and historically underrepresented groups for companies seeking MEI project approval — a mandate aimed at addressing structural racial and gender inequity. She also authored SB1523 (2023) creating a resentencing pathway for people convicted of felony marijuana offenses before legalization, directly targeting racially disparate incarceration. Both bills go beyond maintaining current law toward actively addressing systemic discrimination.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+S19C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+sum+SB1248,https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+sum+SB1523,,
L. Louise Lucas,housing,2,"Lucas was the chief patron of SB588 (2024), requiring the Department of Housing and Community Development to develop a criminal record screening model policy restricting landlords of affordable housing units from using criminal history to deny applicants, in alignment with federal Fair Housing Act guidance. The bill passed both chambers 21-19 and 50-48 before being vetoed by the governor. Authoring protections that bar landlords from denying affordable housing based on criminal records reflects a stance favoring government intervention to make housing more accessible.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB588,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S19C,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19,,
L. Louise Lucas,taxes,2,"Lucas was chief patron of SB1 (2024), raising Virginia's minimum wage from $12.00 to $13.50 effective January 2025 and $15.00 by January 2026. She also authored SB703, which expanded the sales and use tax to digital personal property and streaming services. Both bills represent raising revenue or mandating higher compensation for workers — consistent with modestly raising taxes on higher earners and businesses to fund existing services rather than wholesale tax cuts.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB1,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+sum+SB703,https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S19C,,
L. Louise Lucas,school-vouchers,1,"Lucas has consistently authored and championed public school investment bills: SB1175 (2023) expanding the Virginia Literacy Act to grades 4-8, SB624 (2024) on evidence-based reading instruction, SB104 (2024) requiring the governor's budget to raise teacher pay to the national average, SB1260 (2023) on teacher certification incentive rewards, and SB1448 (2023) on reduced tuition at HBCUs. She has no school choice or voucher bills in her authored record; her legislative footprint is entirely public-school-focused.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S19C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+S19C,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S19,,
