full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
"Amy M. Sangiolo","abortion",3.0,"Not tracked on Act on Mass (new 2024 member). No abortion-related bills sponsored. No anti-abortion bills found either. Default status-quo position without evidence of the Abortion Access Act co-sponsorship.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","civil-rights",3.0,"Sangiolo represents the 11th Middlesex district. Her consistent value=3 across existing stances suggests centrist moderate positions. Matches value=3: maintaining current civil rights laws while promoting equal opportunity.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","https://malegislature.gov/Legislators/Profile/AMS3",""
"Amy M. Sangiolo","climate-change",3.0,"Sponsored H.3938 (Massachusetts Flood Management and Mitigation Authority) — climate adaptation focused. Sponsored H.3564 (natural gas infrastructure replacement) — maintains gas infrastructure. Sponsored H.4722 (zero-emission vehicle tax credit). Mixed signals — modest climate engagement without aggressive transition stance.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","fossil-fuels",3.0,"Sponsored H.3564 (natural gas infrastructure replacement) — maintains existing gas infrastructure rather than phasing it out. Sponsored H.4722 (zero-emission vehicle tax) showing some clean energy support. Current-levels position.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","healthcare",3.0,"Not tracked on Act on Mass. Sponsored H.1317 (breast pump access in financial services context) and H.1319 (behavioral health insurance) — incremental improvements to the current system. No single-payer advocacy.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","housing",3.0,"Sponsored H.1553 (rental housing fees) — procedural housing bill. Sponsored H.5314 (condominium conversion of two-unit buildings) — market-level housing activity. No rent control advocacy or major affordability expansion bills found.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","immigration",3.0,"Sangiolo is a Democratic MA state representative from the 11th Middlesex district. Her existing stances across all topics are at value=3, indicating a centrist moderate Democratic position. Matches value=3: keeping immigration levels and rules about where they are now.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","https://malegislature.gov/Legislators/Profile/AMS3",""
"Amy M. Sangiolo","jail-capacity",3.0,"Sponsored H.1984 (juvenile custodial interrogation statements — procedural protection) and H.1985 (civil commitments and appeals). These suggest concern for due process but not a decarceration or prison expansion stance. Status-quo.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","",""
"Amy M. Sangiolo","same-sex-marriage",1.0,"Sangiolo is a Democratic MA representative. MA law supports same-sex marriage and her Democratic alignment supports full LGBTQ protections. Matches value=1: requiring all states to recognize same-sex marriages.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","https://malegislature.gov/Legislators/Profile/AMS3",""
"Amy M. Sangiolo","taxes",3.0,"Sangiolo has consistent value=3 stances indicating a moderate fiscal position. Matches value=3: keeping the current tax system mostly as-is with small adjustments.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","https://malegislature.gov/Legislators/Profile/AMS3",""
"Amy M. Sangiolo","voting-rights",2.0,"Sangiolo is a Democratic MA representative. Despite her moderate positions on other topics, her Democratic affiliation suggests at least moderate support for expanded voting access. Matches value=2: expanding early voting and mail-in voting.","https://malegislature.gov/Legislators/Profile/AMS3/Bills","https://malegislature.gov/Legislators/Profile/AMS3",""
"Daniel F. Cahill","abortion",1.0,"Cahill cosponsored the ROE Act (removing gestational limits and parental consent for abortion). Matches value=1: ensuring abortion is legal, accessible, and publicly funded at all stages.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","civil-rights",2.0,"Cahill cosponsored the THRIVE Act (education equity for underserved students) and Healthy Youth Act, reflecting civil rights enforcement priorities. Matches value=2: strengthening civil rights enforcement and addressing systemic discrimination.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","climate-change",2.0,"Cahill represents the 10th Essex district in Lynn, MA. His progressive bill cosponsorship (ROE Act, THRIVE Act, Safe Communities Act) reflects a broadly progressive stance. The Lynn area has significant environmental justice concerns. Matches value=2: rapidly transitioning to renewable energy.","https://actonmass.org/legislators/daniel-cahill","https://malegislature.gov/Legislators/Profile/DFC1",""
"Daniel F. Cahill","deportation",2.0,"Co-sponsored the Safe Communities Act (H.2288) which limits state cooperation with ICE deportation operations, indicating support for protecting long-term residents from deportation except for serious crimes.","https://malegislature.gov/Bills/193/H2288/Cosponsor","https://actonmass.org/legislators/daniel-cahill",""
"Daniel F. Cahill","fossil-fuels",2.0,"Cahill has not sponsored specific fossil fuel bills but his progressive environmental justice record suggests support for reducing fossil fuels. Matches value=2: stopping new permits for fossil fuel drilling.","https://actonmass.org/legislators/daniel-cahill","https://malegislature.gov/Legislators/Profile/DFC1",""
"Daniel F. Cahill","healthcare",3.0,"Did not co-sponsor Medicare for All (H.1239) per Act on Mass tracker, indicating support for the current system with some regulation rather than a single-payer approach. As a Democrat he supports ACA-level protections but has not backed a full public system.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","homelessness",2.0,"Cahill supports Safe Communities Act limiting police cooperation with ICE and THRIVE Act for underserved students. His progressive record indicates service-based homelessness approach. Matches value=2: decriminalizing public sleeping while investing in shelter capacity.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","housing",2.0,"Cahill represents the 10th Essex district (Lynn), a working-class city with housing affordability challenges. His progressive bill record suggests support for tenant protections. Matches value=2: rent caps and publicly funding new housing.","https://actonmass.org/legislators/daniel-cahill","https://malegislature.gov/Legislators/Profile/DFC1",""
"Daniel F. Cahill","immigration",2.0,"Co-sponsored H.2288 (Safe Communities Act, 'An Act to protect the civil rights and safety of all Massachusetts residents') which prohibits local involvement in federal immigration enforcement — aligns with significantly expanding protections for undocumented immigrants.","https://actonmass.org/legislators/daniel-cahill","https://malegislature.gov/Bills/193/H2288/Cosponsor",""
"Daniel F. Cahill","local-immigration",1.0,"Co-sponsored H.2288 (Safe Communities Act) which prohibits local law enforcement from cooperating with federal immigration enforcement — a strong sanctuary position.","https://malegislature.gov/Bills/193/H2288/Cosponsor","https://actonmass.org/legislators/daniel-cahill",""
"Daniel F. Cahill","same-sex-marriage",1.0,"Co-sponsored the Healthy Youth Act (LGBTQ+ inclusive sex ed) per Act on Mass tracker. As a Massachusetts Democrat representing Essex County he operates in a state that has led on LGBTQ+ rights; no evidence of opposition to same-sex marriage protections.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","school-vouchers",1.0,"Co-sponsored the Cherish Act (fully funded public higher ed) per Act on Mass tracker, signaling strong support for public education funding over private alternatives.","https://actonmass.org/legislators/daniel-cahill","https://malegislature.gov/Bills/193/H2288/Cosponsor",""
"Daniel F. Cahill","taxes",2.0,"Cahill cosponsored the Stop Wage Theft bill and supported public higher education (CHERISH Act). Matches value=2: moderately raising taxes on wealthy to fund existing services.","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel F. Cahill","voting-rights",1.0,"Cahill cosponsored same-day voter registration, significantly expanding voting access. Matches value=1 direction (automatically registering eligible citizens and expanding access).","https://actonmass.org/legislators/daniel-cahill","",""
"Daniel J. Hunt","abortion",1.0,"Daniel J. Hunt cosponsored the ROE Act (removing gestational limits and parental consent for abortion access). Matches value=1: ensuring abortion is legal, accessible, and publicly funded at all stages.","https://actonmass.org/legislators/daniel-hunt","",""
"Daniel J. Hunt","civil-rights",2.0,"Hunt cosponsored the Work and Family Mobility Act supporting immigrant rights, reflecting support for civil rights enforcement broadly. Matches value=2: strengthening civil rights enforcement and addressing systemic discrimination.","https://actonmass.org/legislators/daniel-hunt","https://malegislature.gov/Legislators/Profile/DJH1",""
