cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,4001,"Mark Tedford",Republican,R,NEW,-400144,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
1,4001,"John Croisant",Democratic,D,NEW,-400145,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
2,4002,"Josh Brecheen",Republican,R,REUSE,-40002,true,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
2,4002,"Brandon Wade",Democratic,D,NEW,-400201,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
2,4002,"Ronnie Hopkins",Independent,IND,NEW,-400202,false,"OK 2026 US House field (independent/minor-party filing; OK SoS + Wikipedia); decided general field"
3,4003,"Frank D. Lucas",Republican,R,REUSE,-40003,true,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
3,4003,"Suzie Byrd",Democratic,D,NEW,-400301,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
4,4004,"Tom Cole",Republican,R,REUSE,-40004,true,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
4,4004,"Mitchell Jacob",Democratic,D,NEW,-400401,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
4,4004,"Rocco Bonacci",Independent,IND,NEW,-400402,false,"OK 2026 US House field (independent/minor-party filing; OK SoS + Wikipedia); decided general field"
5,4005,"Stephanie I. Bice",Republican,R,REUSE,-40005,true,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
5,4005,"Jena Nelson",Democratic,D,NEW,-400501,false,"OK 2026 US House field (OK SoS candidate filings + en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Oklahoma); decided general field"
5,4005,"Robert P. Henri",Independent,IND,NEW,-400502,false,"OK 2026 US House field (independent/minor-party filing; OK SoS + Wikipedia); decided general field"
5,4005,"Austin Nieves",Independent,IND,NEW,-400503,false,"OK 2026 US House field (independent/minor-party filing; OK SoS + Wikipedia); decided general field"
1,4001,"Kevin Hern",,INC,EXCLUDED-NO-ROW,-40001,false,"D-05 open seat: retired (Tedford is the R nominee)"
