# LA jungle/open-primary model: 1 race per district, primary_party=NULL, all parties + incumbent on it. No per-party races; NO Dec-2026 runoff (deferred to Phase 167). Severe (withheld) geo_ids per 163-la-correspondence-audit.md: 2202 (LA-2), 2206 (LA-6). All 6 late-primary (qualifying closes 2026-08-07 -> declared-so-far, Phase-167 re-pull). Withheld election date 2026-05-29 (SB121/Act 2 signing), validated invisible (>30d past). SB121 confirmed operative by 163-01 audit re-verify (2026-07-05).
cd,geo_id,full_name,party_from_field,decision,assign_external_id,is_incumbent,primary_timing,severity,election,source
1,2201,"Steve Scalise",R,REUSE,-22001,true,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
1,2201,"Randall Arrington",R,NEW,-220101,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
1,2201,"Jim Long",D,NEW,-220102,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
2,2202,"Troy Carter",D,REUSE,-22002,true,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
2,2202,"Renada Collins",D,NEW,-220201,false,LATE-PRIMARY,SEVERE,"LA 2026 Congressional Redistricting - Polygon Pending","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
3,2203,"Clay Higgins",R,REUSE,-22003,true,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
3,2203,"John Day",D,NEW,-220301,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
3,2203,"Tia LeBrun",D,NEW,-220302,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
3,2203,"Caleb Walker",D,NEW,-220303,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
4,2204,"Mike Johnson",R,REUSE,-22004,true,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
4,2204,"Josh Morott",R,NEW,-220401,false,LATE-PRIMARY,NOT-SEVERE,"LA 2026 Statewide General","160-field-table-p163.csv (LA rows), sourced from Wikipedia 2026 US House elections in Louisiana; LA jungle/open primary (all parties on one 2026-11-03 ballot); provisional declared-so-far field, re-pull after 2026-08-07 qualifying close"
