external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-40001,Kevin Hern,abortion,4,"Hern stated in 2018 that life begins at conception and supports abortion only to protect maternal life; he co-sponsored the Born-Alive Abortion Survivors Protection Act. He has not publicly called for a complete ban with criminal penalties, placing him at restricting abortion to only cases of serious threats to the mother's life.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,"All life is sacred and begins at conception.","All life is sacred and begins at conception."
-40001,Kevin Hern,healthcare,5,"Hern has called for replacing the ACA with free-market-driven healthcare, supports Health Savings Accounts and self-insurance, and opposes extending ACA tax credits. His stated position is full market-based healthcare with no government role.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,"Replace ObamaCare with free-market driven healthcare.","Replace the current healthcare law with free-market driven healthcare."
-40001,Kevin Hern,taxes,5,"Hern advocates repealing the 16th Amendment and replacing the income tax with a flat tax — a structural dismantling of progressive taxation that goes beyond ordinary cuts. He opposes raising taxes on wealthy individuals and has consistently supported maximizing what people keep from government.",https://www.ontheissues.org/House/Kevin_Hern.htm,,,,,
-40001,Kevin Hern,climate-change,5,"Hern stated in 2018 that regulating climate change is not a government responsibility, opposes greenhouse gas regulations, and holds a 1% LCV lifetime score with 0% in 2023 and 2024 — voting against clean energy and emissions protections in virtually every recorded vote.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://www.lcv.org/congressional-scorecard/moc/kevin-hern,,"Regulating climate change is not a government responsibility.","Regulating climate change is not a government responsibility."
-40001,Kevin Hern,fossil-fuels,5,"Hern has a 0% LCV score in 2022–2024 with zero pro-environment votes annually and consistent votes against clean energy development and against environmental restrictions on energy production — consistent with maximizing fossil fuel extraction.",https://www.lcv.org/congressional-scorecard/moc/kevin-hern,https://www.ontheissues.org/House/Kevin_Hern.htm,,,,
-40001,Kevin Hern,immigration,4,"Hern called for building the border wall, enforcing existing immigration laws, and voted to allow immigration bans from non-cooperating countries. He has also voiced support for high-skill and family-based visa caps, suggesting restriction of undocumented immigration rather than halting all legal immigration.",https://www.ontheissues.org/House/Kevin_Hern.htm,,,"Build the border wall, not sanctuary cities.","Build the border wall, not sanctuary cities."
-40001,Kevin Hern,deportation,4,"Hern's immigration record — supporting border enforcement, the border wall, and bans on nationals from non-cooperating countries — aligns with deporting all people without legal status starting with those with criminal records. No documented explicit call for immediate mass removal regardless of length of residence.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,,,
-40001,Kevin Hern,social-security,5,"Hern stated in 2018 that he wants to 'look at ways to privatize' Social Security, a direct match for transitioning Social Security to private investment accounts that individuals control themselves.",https://www.ontheissues.org/House/Kevin_Hern.htm,,,"Look at ways to privatize Social Security.","Look at ways to privatize Social Security."
-40001,Kevin Hern,medicare/aid,4,"Hern opposes expanding government healthcare programs and supports free-market alternatives; he voted against ACA expansion and its tax credits. His positions support partial privatization and reduced government coverage rather than expansion of Medicare or Medicaid.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,,,
-40001,Kevin Hern,voting-rights,4,"Hern voted among 147 Republicans to overturn 2020 election results, signed an amicus brief in Texas v. Pennsylvania, opposes voter registration expansion and same-day registration, and voted against investigating January 6. His record supports photo ID requirements and active voter roll maintenance.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,,,
-40001,Kevin Hern,civil-rights,5,"Hern voted against private lawsuits for school race discrimination and as RSC Chair championed limited government and individual responsibility over systemic equity measures. His record is consistent with eliminating affirmative action and race-based government programs.",https://www.ontheissues.org/House/Kevin_Hern.htm,https://en.wikipedia.org/wiki/Kevin_Hern,,,,
-40001,Kevin Hern,religious-freedom,4,"Hern's public framing of marriage as a religious sacrament and his broader conservative governance record align with protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Kevin_Hern.htm,,,,,
