external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-16001,Russ Fulcher,abortion,5,"When asked under what circumstances abortion should be allowed, Fulcher answered 'None.' He voted AYE in the Idaho Senate on S1082 (2007), which made unlicensed abortion a felony with 2-5 years imprisonment, and eliminated judicial bypass for minors. He also co-sponsored the federal Born-Alive Abortion Survivors Protection Act.",https://www.ontheissues.org/House/Russ_Fulcher_Abortion.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,None.,None.
-16001,Russ Fulcher,healthcare,5,"Fulcher stated 'Health insurance is not a government responsibility' and strongly supports repealing the ACA. He advocates entirely market-based alternatives — direct primary care, HSAs, charity care — with no government mandates, aligning with the stance of staying out of healthcare entirely and letting private markets handle all coverage.",https://www.ontheissues.org/House/Russ_Fulcher_Health_Care.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,"Health insurance is not a government responsibility.","Health insurance is not a government responsibility."
-16001,Russ Fulcher,immigration,4,"Fulcher 'Strongly Agrees' with building border walls, opposes sanctuary cities, chain migration, and the visa lottery, and voted against the NO BAN Act (2021) which would have limited presidential authority to restrict entry. He also co-sponsored the Fairness for High-Skilled Immigrants Act to raise visa caps, indicating support for merit-based legal immigration rather than a full stop — consistent with making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/House/Russ_Fulcher_Immigration.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,,,
-16001,Russ Fulcher,climate-change,5,"Fulcher stated 'Regulating climate change is not a government responsibility' and opposes renewable energy mandates. He earned a 0% lifetime LCV score (2% lifetime through 2025 with 0 pro-environment votes in 2025), casting dozens of votes against clean energy and environmental protection measures. He rejects climate policy in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/russ-fulcher,https://www.ontheissues.org/Russ_Fulcher.htm,,"Regulating climate change is not a government responsibility.","Regulating climate change is not a government responsibility."
-16001,Russ Fulcher,fossil-fuels,4,"Fulcher supports 'growing the energy sector' and opposes renewable energy requirements. He serves on the House Energy and Commerce Committee and has a 0% LCV score, voting consistently against environmental restrictions. His record supports expanding fossil fuel development rather than maintaining current levels, but he stops short of explicitly calling for removing all environmental regulations.",https://www.lcv.org/congressional-scorecard/moc/russ-fulcher,https://www.ontheissues.org/Russ_Fulcher.htm,,,,
-16001,Russ Fulcher,taxes,5,"Fulcher opposes all tax increases to balance the budget, advocates lower marginal rates for the highest earners, and is a member of the Freedom Caucus and Republican Study Committee — both of which advocate drastically cutting taxes and shrinking government. He opposed the Fiscal Responsibility Act of 2023 as insufficiently conservative on spending.",https://www.ontheissues.org/Russ_Fulcher.htm,https://en.wikipedia.org/wiki/Russ_Fulcher,,,,
-16001,Russ Fulcher,same-sex-marriage,5,"Fulcher voted AYE in the Idaho Senate on a constitutional amendment defining marriage as exclusively between a man and a woman (passed 26-9, February 15, 2006). He also stated 'Marriages are one-man-one-woman; so are bathrooms' (2018). This documented vote for a one-man-one-woman constitutional amendment meets the evidence bar for value=5.",https://www.ontheissues.org/House/Russ_Fulcher_Civil_Rights.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,"Marriages are one-man-one-woman; so are bathrooms.","Marriages are one-man-one-woman; so are bathrooms."
-16001,Russ Fulcher,religious-freedom,5,"Fulcher stated 'Our limited government established by Judeo-Christian values' (2018) and is a self-identified Evangelical Christian. He opposed the Equity and Inclusion Enforcement Act and has consistently voted against anti-discrimination measures that would limit religious exemptions, aligning with strongly protecting religious freedom and allowing religious organizations complete autonomy.",https://www.ontheissues.org/Russ_Fulcher.htm,https://en.wikipedia.org/wiki/Russ_Fulcher,,,,
-16001,Russ Fulcher,voting-rights,4,"Fulcher supported requiring photo ID to vote (H 496, Idaho) and voted against the For the People Act in both 2019 and 2021, which would have expanded automatic voter registration, same-day registration, and mail-in voting. He opposed the 2020 election certification and signed an amicus brief challenging the results in Texas v. Pennsylvania.",https://www.ontheissues.org/House/Russ_Fulcher_Government_Reform.htm,https://en.wikipedia.org/wiki/Russ_Fulcher,,,,
-16001,Russ Fulcher,civil-rights,5,"Fulcher voted against the Equity and Inclusion Enforcement Act (which would have allowed private lawsuits for discrimination in federally-funded education programs) and voted NAY on H.J.Res.17 removing the ERA ratification deadline. His Freedom Caucus membership and consistent opposition to anti-discrimination enforcement align with eliminating affirmative action and race-based government programs.",https://www.ontheissues.org/House/Russ_Fulcher_Education.htm,https://www.ontheissues.org/House/Russ_Fulcher_Civil_Rights.htm,,,,
-16001,Russ Fulcher,deportation,4,"Fulcher 'Strongly Agrees' with building border walls and opposes sanctuary cities. He supports eliminating chain migration and the visa lottery and implementing merit-based immigration. His positions align with deporting all without legal status starting with those with criminal records, though he has not explicitly called for mass deportation 'regardless of family ties.'",https://www.ontheissues.org/House/Russ_Fulcher_Immigration.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,,,
-16001,Russ Fulcher,redistricting,4,"Fulcher voted against the For the People Act (both 2019 and 2021 versions), which included provisions requiring states to establish independent redistricting commissions. His opposition to federally-mandated nonpartisan commissions favors state legislatures retaining control over the redistricting process, with court oversight as the check.",https://www.ontheissues.org/House/Russ_Fulcher_Government_Reform.htm,https://www.ontheissues.org/Russ_Fulcher.htm,,,,
