external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-230001,Janet T. Mills,abortion,1,"Mills signed legislation in July 2023 expanding abortion access in Maine post-Dobbs, and in 2019 signed a law mandating that public and private insurers cover abortion procedures. She holds a 100% rating from Planned Parenthood and has publicly called abortion rights non-negotiable.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,"unlike an apparent majority of the Supreme Court, I do not consider the rights of women to be dispensable.","unlike an apparent majority of the Supreme Court, I do not consider the rights of women to be dispensable."
-230001,Janet T. Mills,trans-athletes,1,"Mills actively opposed Trump's February 2025 executive order barring transgender women from women's sports, telling Trump directly she would fight it in court and declaring the State of Maine would not be intimidated. She took no steps to restrict trans athletes.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,"State of Maine will not be intimidated.","The state will not be intimidated."
-230001,Janet T. Mills,same-sex-marriage,1,"Maine was the first state to approve same-sex marriage by popular vote in 2018; Mills as governor later signed a ban on conversion therapy for minors in 2019, reflecting full legal recognition and affirmative protections for same-sex couples.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,,,
-230001,Janet T. Mills,climate-change,3,"Mills pledged Maine carbon neutrality by 2045 in a UN General Assembly address (2019) and set a goal of 100% clean electricity by 2040, prioritizing offshore wind and renewable energy. She is investing in clean energy while gradually reducing fossil fuel reliance, not declaring a climate emergency.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,"100% of our electricity to come from clean energy by 2040.","100% of our electricity to come from clean energy by 2040."
-230001,Janet T. Mills,fossil-fuels,2,"Mills set a 100% clean electricity by 2040 goal and has made offshore wind and renewables central to her energy agenda, reflecting a policy of stopping new reliance on fossil fuels. Her clean-energy push goes beyond maintaining current production levels.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,,,
-230001,Janet T. Mills,healthcare,2,"Mills signed an executive order implementing Medicaid expansion in 2019 (adding ~70,000 eligible Mainers without work requirements), signed medical debt protections in 2026, and stated 'No one should lose their home or their paycheck because they got sick.' She supports affordable universal coverage through public programs and regulated private insurance.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.maine.gov/governor/mills/news/governor-mills-signs-law-strengthen-protections-maine-people-harmful-impacts-medical-debt-2026,,"No one should lose their home or their paycheck because they got sick.","No one should lose their home or their paycheck because they got sick."
-230001,Janet T. Mills,medicare/aid,3,"Mills expanded Maine's Medicaid (MaineCare) program in 2019 via executive order, covering nearly 230,000 additional residents since taking office. She has focused on improving existing state programs and controlling costs rather than advocating to lower Medicare age or create a new federal expansion.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.maine.gov/governor/mills/news/governor-mills-signs-law-strengthen-protections-maine-people-harmful-impacts-medical-debt-2026,,,,
-230001,Janet T. Mills,housing,3,"Mills signed LD 2116 in April 2026 extending Maine's Affordable Housing Tax Credit for eight years, supporting preservation and construction of affordable units. She also announced federal rural housing grants in 2026. Her approach uses targeted tax incentives and subsidies rather than public construction or rent caps.",https://www.maine.gov/governor/mills/news/governor-mills-signs-legislation-extending-maines-affordable-housing-tax-credit-2026-04-21,https://en.wikipedia.org/wiki/Janet_Mills,,"By extending it today, we are one step closer to ensuring every Maine person can find a safe, affordable place to call home.","By extending it today, we are one step closer to ensuring every person can find a safe, affordable place to call home."
-230001,Janet T. Mills,taxes,2,"Mills previously opposed corporate tax rate increases as governor but reversed that position in her 2026 Senate campaign, supporting a millionaire's tax (a capital gains surtax on the wealthy). Her most recent documented stance supports modestly raising taxes on high earners.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,,,
-230001,Janet T. Mills,school-vouchers,1,"Mills opposed school voucher programs, made two years of community college free, funded universal free school meals, and focused state education investment in public schools. Her record aligns with fully funding public schools and opposing diversion of taxpayer money to private institutions.",https://www.ontheissues.org/Janet_Mills.htm,https://en.wikipedia.org/wiki/Janet_Mills,,,,
-230001,Janet T. Mills,civil-rights,2,"Mills signed legislation banning conversion therapy for minors (2019), replaced Columbus Day with Indigenous People's Day (2019), banned Native American imagery in public schools, and expanded Medicaid to cover underserved communities. Her record reflects strengthening civil rights enforcement and addressing systemic discrimination.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,,,
-230001,Janet T. Mills,tariffs,1,"OnTheIssues documents that Mills criticized Trump's tariffs as economically harmful, reflecting an anti-tariff, pro-free trade orientation. Maine's lobster and forestry industries are exposed to retaliatory tariffs, and Mills has consistently opposed broad trade protectionism.",https://www.ontheissues.org/Janet_Mills.htm,https://en.wikipedia.org/wiki/Janet_Mills,,,,
-230001,Janet T. Mills,religious-freedom,2,"Mills signed the conversion therapy ban in 2019, which explicitly rejected religious exemptions from protecting minors' rights — the same bill that Governor LePage had vetoed citing religious liberty concerns. This reflects her position that religious freedom does not override anti-discrimination protections.",https://en.wikipedia.org/wiki/Janet_Mills,https://www.ontheissues.org/Janet_Mills.htm,,,,
-230001,Janet T. Mills,data-centers,3,"Mills signed an executive order on April 29, 2026 creating a 15-member Maine Data Center Advisory Council to evaluate data center development and protect ratepayers from new energy costs, while also providing for responsible economic development. The EO directs the Department of Energy Resources to identify ways to shield residential ratepayers.",https://www.maine.gov/governor/mills/news/governor-mills-signs-executive-order-establish-maine-data-center-advisory-council-2026-04-29,https://en.wikipedia.org/wiki/Janet_Mills,,"serious questions and concerns about data center development in Maine and provide recommendations about how best to protect our environment and ratepayers while providing for responsible economic development.","serious questions and concerns about data center development and provide recommendations about how best to protect our environment and ratepayers while providing for responsible economic development."
