full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Debbie Wasserman Schultz,,abortion,1,"Voted against all abortion funding restrictions including federal coverage bans and interstate transport restrictions; co-sponsored the Women's Health Protection Act to ban anti-abortion limitations; rated 0% by NRLC; supports publicly funded abortion at all stages.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Abortion.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,"Access safe, legal abortion without restrictions","Access safe, legal abortion without restrictions"
Debbie Wasserman Schultz,,campaign-finance,2,"Co-sponsored the DISCLOSE Act requiring full disclosure of independent campaign expenditures; supports moving toward public financing of campaigns; voted YES on lobbyist bundled donation disclosure; reflects strict limits on corporate and dark money rather than a full ban on private money.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Government_Reform.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,"We ultimately need to move to assist the public financing of campaigns, as soon as we can.","We ultimately need to move to assist the public financing of campaigns, as soon as we can."
Debbie Wasserman Schultz,,civil-rights,2,"Rated 94% by NAACP, co-sponsored the Equal Rights Amendment and the Paycheck Fairness Act; supports strengthening civil rights enforcement and addressing systemic discrimination; positions align with strengthening enforcement of civil rights laws, not mandating institutional equity requirements or reparations.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Civil_Rights.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,,,
Debbie Wasserman Schultz,,climate-change,3,"Rated 100% by Clean Air Foundation; voted YES on banning offshore oil drilling (2016); supported renewable energy tax incentives (2008); consistent record of investing in clean energy while gradually reducing fossil fuel reliance — no documented commitment to phasing out fossil fuels by 2030.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,,,,"Establish greenhouse gas tradeable allowances","Establish greenhouse gas tradeable allowances"
Debbie Wasserman Schultz,,deportation,2,"Voted against building a border fence; co-sponsored the Fair Day in Court for Kids Act providing legal representation for deported children; signed the American Dream Act; consistently supported DREAMer pathways; positions align with deporting only serious violent criminals while providing legal status to others.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Immigration.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,,,
Debbie Wasserman Schultz,,fossil-fuels,2,"Voted YES on banning offshore oil drilling in the Gulf of Mexico (2016); voted YES on removing oil and gas exploration subsidies (2007); consistent record opposing expansion of fossil fuel permitting, aligning with stopping new permits for fossil fuel drilling.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,,,,
Debbie Wasserman Schultz,,healthcare,2,"Voted against all ACA repeal attempts; voted YES on expanding SCHIP; supports Medicaid expansion; opposed converting Medicare to a voucher system; positions align with ensuring everyone has affordable coverage through a mix of public programs and regulated private insurance rather than a single-payer system.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Health_Care.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,"GOP can't beat ObamaCare, so they pretend it's a 'disaster'","GOP can't beat the ACA, so they pretend it's a 'disaster'"
Debbie Wasserman Schultz,,housing,3,"No specific evidence of support for universal public housing or rent caps; general record of supporting federal education and social spending; consistent Democratic voting on targeted housing assistance programs aligns with targeted subsidies and first-time buyer assistance rather than universal public housing mandates.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,,,,
Debbie Wasserman Schultz,,immigration,2,"Rated 0% by U.S. Border Control indicating open-borders stance; supports DREAMer pathways; voted YES on NO BAN Act (2021) blocking religion-based immigration bans; supports public services for immigrants regardless of legal status; keeps legal immigration open and accessible.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Immigration.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,,,
Debbie Wasserman Schultz,,medicare/aid,2,"Rated 100% by Alliance for Retired Americans; endorsed by NCPSSM (2022) for protecting Social Security and Medicare; voted NO on Ryan Budget proposing Medicare restructuring; consistently voted against Medicare privatization; record aligns with lowering eligibility age and expanding Medicaid significantly rather than just maintaining current programs.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Social_Security.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,,,
Debbie Wasserman Schultz,,redistricting,2,"Co-sponsored the For the People Act (2019 and 2021), which requires states to establish independent redistricting commissions to carry out congressional redistricting — aligning with independent commissions with equal representation from both major parties.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Government_Reform.htm,https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz.htm,,,,
Debbie Wasserman Schultz,,religious-freedom,2,"Voted NO on the constitutional amendment defining marriage as between one man and one woman; supports LGBTQ anti-discrimination protections that apply to employment and housing; vice chair of the LGBT Equality Caucus; positions align with protecting religious freedom while ensuring it does not override anti-discrimination protections.",https://www.ontheissues.org/FL/Debbie_Wasserman_Schultz_Civil_Rights.htm,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,,,,
