full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Carlos A. Gimenez,,healthcare,4,"Opposes the ACA and single-payer healthcare, and opposes expanded Medicaid federal funding. He does support pre-existing condition protections and Medicare drug price negotiation, placing him closer to value 4 (help only the poorest, leave others to private insurance) than full privatization.",https://www.isidewith.com/candidates/carlos-gimenez/healthcare,https://en.wikipedia.org/wiki/Carlos_A._Gimenez,https://www.ontheissues.org/FL/Carlos_Gimenez.htm,"it is immoral to deny health insurance to people with pre-existing conditions","it is immoral to deny health insurance to people with pre-existing conditions"
Carlos A. Gimenez,,abortion,4,"Gimenez is pro-life and opposes abortion access and Planned Parenthood funding. ISideWith records him as supporting abortion bans, aligning with a restrictive framework. No evidence of support for a complete ban with criminal penalties for providers or patients, placing him at value 4 (restrict to rape, incest, or serious threats to the mother's life).",https://www.isidewith.com/candidates/carlos-gimenez/social-policy,https://en.wikipedia.org/wiki/Carlos_A._Gimenez,,,,
Carlos A. Gimenez,,tariffs,3,"OnTheIssues records him as endorsing expanding trade through fair agreements (Feb 2021), which aligns with selective use of tariffs to protect key industries rather than free trade purity or blanket high tariffs. No evidence of strong protectionist or free-trade-absolutist positions.",https://www.ontheissues.org/FL/Carlos_Gimenez.htm,,,,,
Carlos A. Gimenez,,taxes,4,"Opposes raising taxes on wealthy individuals and corporations, supports lowering corporate tax rates, opposes capital gains tax increases, and supports reducing government spending. Favors economic stimulus via tax cuts. Aligns with value 4 (cut taxes for everyone, scale back public services).",https://www.isidewith.com/candidates/carlos-gimenez/economic,https://www.ontheissues.org/FL/Carlos_Gimenez.htm,,"the government should never determine what a private business should pay","the government should never determine what a private business should pay"
Carlos A. Gimenez,,same-sex-marriage,2,"Despite previously stating marriage should be between a man and woman, Gimenez voted for the Respect for Marriage Act in July 2022 — codifying same-sex marriage in federal law — and announced support for the Obergefell ruling as Miami-Dade mayor. His legislative vote is the strongest evidence and aligns with value 2 (allow SSM nationwide while protecting some organizations' right to decline participation).",https://en.wikipedia.org/wiki/Carlos_A._Gimenez,https://www.isidewith.com/candidates/carlos-gimenez/social-policy,,,,,
Carlos A. Gimenez,,religious-freedom,4,"Supports religious exemptions for businesses when customers' requests conflict with owners' sincerely held beliefs, and opposes removing religious references from government property. Aligns with value 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs).",https://www.isidewith.com/candidates/carlos-gimenez/social-policy,,,,,,
Carlos A. Gimenez,,trans-athletes,4,"Opposes allowing transgender athletes to compete in sports matching their gender identity rather than biological sex. Supports government recognition of only two biological sexes. Aligns with value 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth).",https://www.isidewith.com/candidates/carlos-gimenez/social-policy,,,,,,
Carlos A. Gimenez,,ukraine-support,4,"ISideWith records Gimenez as opposing military supplies and funding to Ukraine. He consistently opposes foreign aid spending. His record reflects a preference for reducing aid and focusing on domestic priorities rather than an immediate total cut-off, placing him at value 4.",https://www.isidewith.com/candidates/carlos-gimenez/foreign-policy,https://en.wikipedia.org/wiki/Carlos_A._Gimenez,,,,,
Carlos A. Gimenez,,medicare/aid,4,"Opposes expanded Medicaid federal funding and opposes increased federal spending on low-income healthcare. Supports work requirements for Medicaid. Does not support ACA. He supports Medicare drug price negotiation and some targeted protections, placing him at value 4 (partially privatize Medicare, reduce Medicaid coverage) rather than full phase-out.",https://www.isidewith.com/candidates/carlos-gimenez/healthcare,https://www.isidewith.com/candidates/carlos-gimenez/domestic-policy,,,,,
Carlos A. Gimenez,,fossil-fuels,4,"Supports expanding offshore oil drilling and drilling in the Alaska Wildlife Refuge. Has a 0% environmental score from the League of Conservation Voters in 2025 and a lifetime score of 6%. Voted against multiple clean energy and climate protection measures. Aligns with value 4 (expand fossil fuel drilling permits) rather than 5 since no specific evidence of wanting to remove all environmental restrictions.",https://www.lcv.org/congressional-scorecard/moc/carlos-gimenez,https://www.isidewith.com/candidates/carlos-gimenez/science,,,,,
Carlos A. Gimenez,,voting-rights,4,"Supports photo ID requirements for voting and opposes automatic voter registration. As Miami-Dade mayor, limited ballot drop box locations and delayed mail-in ballot distribution. Aligns with value 4 (require photo ID, regularly update voter rolls to remove inactive registrations).",https://www.isidewith.com/candidates/carlos-gimenez/electoral,https://en.wikipedia.org/wiki/Carlos_A._Gimenez,,,,,
Carlos A. Gimenez,,deportation,4,"Supports deporting immigrants who commit serious crimes and supports broad border enforcement including wall construction. Voted for Haitian TPS and backed Dreamer status, suggesting he is not at value 5 (deport all immediately regardless of ties). Aligns with value 4 (deport all without legal status, starting with criminal history).",https://www.isidewith.com/candidates/carlos-gimenez/immigration,https://en.wikipedia.org/wiki/Carlos_A._Gimenez,,,,,
Carlos A. Gimenez,,social-security,4,"Opposes lifting the Social Security earnings cap for high earners, and supports welfare restrictions and spending cuts. No evidence of supporting full privatization. Aligns with value 4 (gradually raise retirement age and reduce benefits for higher earners).",https://www.isidewith.com/candidates/carlos-gimenez/economic,https://www.isidewith.com/candidates/carlos-gimenez/domestic-policy,,,,,
Carlos A. Gimenez,,ai-regulation,3,"Supports government regulation of AI for ethical use, backs deepfake bans in political ads, opposes AI in criminal justice, and supports taxing companies that replace workers with AI. Aligns with value 3 (require developers to disclose risks and be held responsible when systems cause harm) — not a laissez-faire position but not seeking heavy approval requirements.",https://www.isidewith.com/candidates/carlos-gimenez/science,,,"mega-corporations shouldn't be allowed to dodge payroll taxes and decimate the working class by plugging in an algorithm","mega-corporations shouldn't be allowed to dodge payroll taxes and decimate the working class by plugging in an algorithm"
