cd,geo_id,race_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Rob Wittman",R,R,REUSE,-5102001,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Salaam Bhatti",D,D,NEW,-510101,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Elizabeth Beggs",D,D,NEW,-510102,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Tim Cywinski",D,D,NEW,-510103,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Jason Knapp",D,D,NEW,-510104,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Ericka Kopp",D,D,NEW,-510105,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Shannon Taylor",D,D,NEW,-510106,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
1,5101,65dd3477-4828-43de-adb5-9b621d08b43e,"Mel Tull",D,D,NEW,-510107,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Jen Kiggans",R,R,REUSE,-5102002,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Elaine Luria",D,D,NEW,-510201,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Nila Devanath",D,D,NEW,-510202,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Bill Fleming",D,D,NEW,-510203,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Patrick Mosolf",D,D,NEW,-510204,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Makiba Gaines",I,I,NEW,-510205,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
2,5102,73a46730-61f8-4e35-90d7-20c11016865e,"Bishop Staten",I,I,NEW,-510206,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
3,5103,ae5bfa0e-f5da-4fd1-bf69-d07db17a48ee,"Bobby Scott",D,D,REUSE,-5102003,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
3,5103,ae5bfa0e-f5da-4fd1-bf69-d07db17a48ee,"Edwin Rivera",R,R,NEW,-510301,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
3,5103,ae5bfa0e-f5da-4fd1-bf69-d07db17a48ee,"James ""Zeb"" Taylor",I,I,NEW,-510302,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
4,5104,a48dfb93-6c36-40b0-8f92-c28c6159c9f9,"Jennifer McClellan",D,D,REUSE,-5102004,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
4,5104,a48dfb93-6c36-40b0-8f92-c28c6159c9f9,"Andre Kersey",I,I,NEW,-510401,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
4,5104,a48dfb93-6c36-40b0-8f92-c28c6159c9f9,"Jason Brown II",I,I,NEW,-510402,false,"Declared indep/3rd-party (Wikipedia/politics1); provisional — VA filing deadline 2026-08-04"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"John McGuire",R,R,REUSE,-5102009,true,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Tom Perriello",D,D,NEW,-510501,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Suzanne Krzyzanowski",D,D,NEW,-510502,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Robert Tracinski",D,D,NEW,-510503,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Melanie Lucero",R,R,NEW,-510504,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
5,5105,6a1bf3a1-3fc7-4997-9e67-7d9736e03ffe,"Bob Good",R,R,NEW,-510505,false,"Wikipedia 2026 VA US House + Ballotpedia (Aug-4 primary), cross-checked vademocrats/VPAP"
