| Kate Hogan | Democrat | Representative, 3rd Middlesex District | 16 | 16 | borderline | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, school-vouchers, taxes, voting-rights |
| Val Hoyle | Democrat | Representative | 20 | 19 | borderline | abortion, campaign-finance, civil-rights, climate-change, deportation, economic-development, fossil-fuels, healthcare, housing, immigration, medicare/aid, redistricting, same-sex-marriage, social-security, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Andrea Salinas | Democrat | Representative | 18 | 17 | borderline | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, same-sex-marriage, social-security, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Mark C. Montigny | Democrat | Senator, Second Bristol and Plymouth District | 18 | 17 | borderline | abortion, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, redistricting, school-vouchers, trans-athletes, voting-rights |
| Alyson Sullivan-Almeida | Republican | Representative, 7th Plymouth District | 16 | 15 | borderline | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, medicare/aid, school-vouchers, taxes, trans-athletes, voting-rights |
| Peter J. Durant | Republican | Senator, Worcester and Hampshire District | 15 | 14 | borderline | abortion, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, religious-freedom, school-vouchers, taxes, voting-rights |
| David Robertson | Democrat | Representative, 19th Middlesex District | 15 | 14 | borderline | abortion, childcare, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, medicare/aid, rent-regulation, taxes, voting-rights |
| Suzanne Bonamici | Democrat | Representative | 24 | 22 | borderline | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, medicare/aid, misinformation, redistricting, religious-freedom, same-sex-marriage, school-vouchers, social-security, tariffs, taxes, trans-athletes, transportation-priorities, ukraine-support, voting-rights |
| Kelly A. Dooner | Republican | Senator, Third Bristol and Plymouth District | 21 | 19 | borderline | abortion, campaign-finance, childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, religious-freedom, school-vouchers, taxes, trans-athletes, voting-rights |
| Steve Padilla | Democrat | Senator | 20 | 18 | borderline | abortion, campaign-finance, civil-rights, climate-change, data-centers, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, medicare/aid, misinformation, redistricting, social-security, taxes, trans-athletes, voting-rights |
| Emily Buss | Unknown | State Senator District 11 | 20 | 18 | borderline | campaign-finance, childcare, climate-change, deportation, economic-development, fossil-fuels, growth-and-development, healthcare, homelessness, immigration, medicare/aid, redistricting, religious-freedom, school-vouchers, taxes, trans-athletes, transportation-priorities, voting-rights |
| John C. Velis | Democrat | Senator, Hampden and Hampshire District | 18 | 16 | borderline | abortion, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, redistricting, trans-athletes, voting-rights |
| Cynthia F. Friedman | Democrat | Senator, Fourth Middlesex District | 18 | 16 | borderline | abortion, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, immigration, local-immigration, medicare/aid, redistricting, school-vouchers, taxes, voting-rights |
| John J. Cronin | Democrat | Senator, Worcester and Middlesex District | 18 | 16 | borderline | abortion, campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, redistricting, trans-athletes, voting-rights |
| Danielle W. Gregoire | Democrat | Representative, 4th Middlesex District | 16 | 14 | borderline | abortion, campaign-finance, civil-rights, deportation, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, school-vouchers, taxes, voting-rights |
| Joan B. Lovely | Democrat | Senator, Second Essex District | 15 | 13 | borderline | abortion, campaign-finance, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, voting-rights |
| Aaron L. Saunders | Democrat | Representative, 7th Hampden District | 15 | 13 | borderline | abortion, climate-change, deportation, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, medicare/aid, rent-regulation, taxes, voting-rights |
| Aaron Michlewitz | Democrat | Representative, 3rd Suffolk District | 17 | 14 | borderline | campaign-finance, childcare, civil-rights, climate-change, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, medicare/aid, school-vouchers, taxes, voting-rights |
| Ronald Mariano | Democrat | Representative, 3rd Norfolk District | 17 | 14 | borderline | campaign-finance, childcare, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, jail-capacity, local-immigration, medicare/aid, taxes, voting-rights |
| Christopher J. Worrell | Democrat | Representative, 5th Suffolk District | 16 | 13 | borderline | childcare, civil-rights, climate-change, deportation, fossil-fuels, healthcare, homelessness, housing, immigration, local-immigration, medicare/aid, taxes, voting-rights |
| Dawne Shand | Democrat | Representative, 1st Essex District | 15 | 12 | borderline | childcare, climate-change, fossil-fuels, healthcare, housing, immigration, jail-capacity, local-immigration, medicare/aid, rent-regulation, taxes, voting-rights |
