politician_full_name,politician_uuid,party,office,current_value,current_reasoning,current_sources,researched_value,researched_reasoning,source_url_1,source_url_2,source_url_3,disposition
Brian W. Jones,ee130fd3-649d-49e1-bda4-13d9bbed2f6c,Republican,Senator,2,"No direct statements on Ukraine aid found in Jones's state legislative record. Social Security is a federal program outside his legislative scope. As a mainstream conservative Republican (not isolationist), he likely supports continued aid to help Ukraine defend itself but not significant escalation. Insufficient direct evidence exists to score this definitively; scored at 2 as the most defensible inference given his non-isolationist Republican profile.",https://en.wikipedia.org/wiki/Brian_Jones_(California_politician),SKIP,No direct statement or vote record found for this CA state legislator on Ukraine aid policy. Ballotpedia and Wikipedia pages confirmed accessible but contain no Ukraine mentions. Original value=2 was based on party inference (language: 'likely supports') which is prohibited under SACC-02. Value unchanged but flagged as unverified inference.,https://ballotpedia.org/Brian_Jones_(California),https://en.wikipedia.org/wiki/Brian_Jones_(California_politician),,insufficient-evidence
Dan Sullivan,a97678bc-8844-4560-87b1-5ef4f8013d96,Republican,Senator,2,"Sullivan has a hawkish foreign policy posture ('Peace through Strength') and has supported military aid to Ukraine as part of broader national security priorities. He co-sponsored the Israel Anti-Boycott Act and favors strong U.S. international engagement. He has not called for cutting Ukraine aid and his pro-defense record suggests he supports continued aid to help Ukraine defend itself, though he has not publicly called for significantly escalating beyond current levels.",https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator);https://www.ontheissues.org/Senate/Dan_Sullivan.htm,2,Sullivan voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental that passed 79-18. This directly confirms continued support for military and economic aid to Ukraine at current levels. His consistent hawkish Peace through Strength posture corroborates this vote.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
Deb Fischer,3149d855-8d85-4080-b0d6-fb83be500533,Republican,Senator,2,"Fischer voted YEA on H.R. 7691, the Additional Ukraine Supplemental Appropriations Act of 2022 (86-11 final vote on May 19, 2022). Her July 2025 press release titled 'Joins Mornings with Maria to Discuss Ending Russian Aggression' shows continued support for Ukraine. She has advocated for a strong U.S. posture against Russia and supported Finland and Sweden's NATO accession.",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=117&session=2&vote=00191;https://www.fischer.senate.gov/public/index.cfm/press-releases;https://en.wikipedia.org/wiki/Deb_Fischer,2,Fischer voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental. She also voted YEA on H.R. 7691 (2022 Ukraine Supplemental) and has publicly advocated for Nordic NATO membership and Nord Stream 2 sanctions against Russia. Value=2 confirmed by vote record.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
James Risch,9a41971c-1e38-41b8-a6ec-bec6055a00b3,Republican,Senator,2,"As Senate Foreign Relations Committee Ranking Member, Risch voted Yea on the April 2024 Ukraine-Israel-Taiwan supplemental aid package (HR 815, Roll Call Vote 154, passed 79-18), supporting continued military and economic aid. He has consistently supported Ukraine's defense as a matter of U.S. national security and global leadership.",https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm;https://en.wikipedia.org/wiki/James_Risch;https://risch.senate.gov/issues/maintaining-peace-through-strength/,2,Risch voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental. As Senate Foreign Relations Committee Ranking Member he has consistently supported Ukraine's defense as a matter of U.S. national security. Value=2 confirmed.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
Jay Obernolte,18db5d61-6bce-4f55-ad45-bed01f329548,Republican,Representative,2,"Obernolte was NOT among the 10 House Republicans who voted against the Ukraine Democracy Defense Lend-Lease Act (April 2022, passed 417-10), confirming he voted yes. His stated commitment to 'a strong national defense' and his 2021 vote to repeal the 2002 Iraq AUMF (favoring strategic multilateralism) align with continued Ukraine support at current aid levels. His conservative fiscal instincts temper any push to dramatically escalate aid.",https://en.wikipedia.org/wiki/Ukraine_Democracy_Defense_Lend-Lease_Act_of_2022;https://www.ontheissues.org/CA/Jay_Obernolte_Homeland_Security.htm;https://en.wikipedia.org/wiki/Jay_Obernolte,4,Obernolte voted NAY on the April 2024 House Ukraine supplemental (House roll call 164 H.R. 8035 passed 311-112). This directly contradicts his prior support: he voted YEA on the 2022 Ukraine Lend-Lease Act (House roll103) but shifted to NAY on continued large aid packages by 2024. His NAY vote on a $60 billion Ukraine aid package demonstrates a move to reduce/oppose further aid consistent with value=4 (reduce aid focus on domestic priorities). No evidence of value=5 (end all aid) advocacy.,https://clerk.house.gov/evs/2024/roll164.xml,https://clerk.house.gov/evs/2022/roll103.xml,,value-changed
Jerry Moran,2f52b4b6-f167-4452-be9b-d37a5b667e69,Republican,Senator,2,"Moran voted against lifting sanctions on a Russian company in January 2019 and against multiple Trump Saudi arms sales. His Senate newsroom featured a 2025 column titled The US needs its NATO allies now more than ever, and he ranked eighth among senators for bipartisanship in 2023. These signals suggest support for continuing current levels of military and economic aid to Ukraine.",https://en.wikipedia.org/wiki/Jerry_Moran;https://moran.senate.gov/public/index.cfm/newsroom,2,Moran voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental. His broader record of opposing Russian sanctions relief and opposing Saudi arms sales confirms his pro-defense anti-Russia posture. Value=2 confirmed.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
John Barrasso,e4b27d5e-59de-4e71-a8a7-28e7b9a80807,Republican,Senator,2,"Barrasso visited Kyiv in May 2022 to meet President Zelensky and demonstrate support for Ukraine. He opposed Russia's Nord Stream 2 pipeline and sponsored mandatory sanctions legislation against European companies partnering with Gazprom. He also visited Finland to support NATO membership. His hawkish anti-Russia stance aligns with continuing to provide current levels of military and economic aid for Ukraine's defense.",https://en.wikipedia.org/wiki/John_Barrasso;https://barrasso.senate.gov/,4,Barrasso voted NAY on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental that passed 79-18. He was one of only 18 senators to vote against this package. Despite his 2022 visit to Kyiv and prior hawkish posture his 2024 NAY vote demonstrates a shift to opposing further large Ukraine aid packages. His NAY vote on the major supplemental aligns with value=4 (reduce aid focus domestic priorities) rather than value=2 (continue current levels). No evidence of value=5 (end all aid) advocacy.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,value-changed
John Cornyn,2b022ce1-6272-40db-9332-015a057ec9f8,Republican,U.S. Senate - Texas,2,"Cornyn introduced the Ukraine Democracy Defense Lend-Lease Act of 2022, cosponsored related bills, and voted for the $95 billion foreign aid package in April 2024. When Ken Paxton criticized that vote, Cornyn responded that Paxton should 'spend less time pushing Russian propaganda.' Cornyn has been a consistent supporter of continued military and economic aid to Ukraine.",https://en.wikipedia.org/wiki/John_Cornyn,2,Cornyn voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental. He introduced the Ukraine Democracy Defense Lend-Lease Act of 2022 and publicly defended his Ukraine vote against criticism from Texas AG Ken Paxton by calling Paxton's criticism Russian propaganda. His consistent principled advocacy confirms value=2.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
John Curtis,b87583fe-2348-4bf3-aba5-12f5f88d3606,Republican,U.S. Senate - Utah,2,"Curtis joined a bipartisan resolution (Feb 2025) expressing unwavering support for Ukraine sovereignty and territorial integrity. He co-sponsored Russia sanctions legislation (April 2025). He also discussed the Trump Administration selling military equipment to Ukraine (July 2025). These actions reflect continuing current aid levels to help Ukraine defend itself — consistent with stance 2.",https://curtis.senate.gov/newsroom/press-releases;https://en.wikipedia.org/wiki/John_Curtis_(politician),2,Curtis was not in the Senate for the April 2024 vote (elected November 2024 to replace Romney). As a new Senator in 2025 he joined a bipartisan resolution expressing unwavering support for Ukraine sovereignty (Feb 2025) and co-sponsored Russia sanctions legislation (April 2025). These 2025 actions confirm he supports continued military and economic aid to Ukraine actively resisting the MAGA shift away from Ukraine support. Value=2 confirmed.,https://curtis.senate.gov/newsroom/press-releases,,,verified-correct
John Hoeven,e6596b34-8d9f-4593-bf0c-4fe7fc17cd26,Republican,Senator,2,"Hoeven voted YEA on the major Ukraine aid supplemental package in April 2024 (74-24 Senate vote). He supports strong military funding and has emphasized confronting adversaries through deterrence. His military committee work and pro-defense posture reflect continued support for Ukraine at current aid levels.",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=118&session=2&vote=00114;https://www.hoeven.senate.gov/issues/national-security,2,Hoeven voted YEA on Senate vote 118-2 #154 (April 23 2024) the $95 billion Ukraine-Israel-Taiwan supplemental. His Senate Armed Services work and pro-defense posture confirm continued Ukraine aid support. Value=2 confirmed.,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1182/vote_118_2_00154.htm,,,verified-correct
