external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	John Crofts	Commissioner (Chair)			801-451-3200				daviscountyutah.gov/commission
	Bob J Stevenson	Commissioner (Vice Chair)			801-451-3200				daviscountyutah.gov/commission
	Lorene Kamalu	Commissioner			801-451-3200				daviscountyutah.gov/commission
	Kelly V. Sparks	Sheriff			801-451-4100				daviscountyutah.gov/sheriff
	Troy Rawlings	County Attorney			801-444-9161				daviscountyutah.gov/attorney
	Brian McKenzie	Clerk			801-451-3213				daviscountyutah.gov/clerk
	Scott Parke	Controller			801-451-3323				daviscountyutah.gov/auditor
	Kelly Silvester	Recorder			801-451-3225				daviscountyutah.gov/recorder
	Max B. Elliott	Surveyor							daviscountyutah.gov
	Andy Hansen	Assessor			801-451-3250				daviscountyutah.gov/assessor
	Matt Brady	Treasurer			801-451-3243				daviscountyutah.gov/treasurer
