external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	Jared Hamner	County Council (Chair)			435-843-3100			https://www.tooeleco.gov/revize_photo_gallery/Council/Jared-Hamner-291x221.jpg	tooeleco.gov/council/council_members.php
	Erik Stromberg	County Council			435-843-3100			https://www.tooeleco.gov/revize_photo_gallery/Council/Erik-Stromberg-291x221.jpg	tooeleco.gov/council/council_members.php
	Kendall Thomas	County Council			435-843-3100			https://www.tooeleco.gov/revize_photo_gallery/Council/Kendall-Thomas-291x221.jpg	tooeleco.gov/council/council_members.php
	Scott Wardle	County Council			435-843-3100			https://www.tooeleco.gov/revize_photo_gallery/Council/Scott-Wardle-291x221.jpg	tooeleco.gov/council/council_members.php
	Tye Hoffmann	County Council			435-843-3100			https://www.tooeleco.gov/revize_photo_gallery/Council/Tye-Hoffmann-291x221.jpg	tooeleco.gov/council/council_members.php
	Paul J. Wimmer	Sheriff			435-843-3100				tooelecountysheriff.org
	Scott Broadhead	County Attorney			435-843-3120				tooeleco.gov/departments/courts_and_legal/attorney/index.php
	Tracy Shaw	Clerk		tracy.shaw@tooeleco.gov	435-843-3140				tooeleco.gov/departments/elected_officials/clerk/index.php
	Alison H. McCoy	Auditor		alison.mccoy@tooeleco.gov	435-843-3312				tooeleco.gov/departments/elected_officials/auditor/index.php
	Jerry Houghton	Recorder/Surveyor		jerry.houghton@tooeleco.gov	435-843-3180				tooeleco.gov/departments/administration/recorder_surveyor/index.php
	Joy Peters	Assessor		joy.peters@tooeleco.gov	435-843-3103				tooeleco.gov/departments/elected_officials/assessor/index.php
	Michael J. Jensen	Treasurer		michael.jensen@tooeleco.gov	435-843-3190				tooeleco.gov/departments/administration/treasurer/index.php
