full_name,politician_id,tier,tier_rank,total_stances,unsourced_count,unsourced_pct,majority_unsourced
"Deb Fischer",3149d855-8d85-4080-b0d6-fb83be500533,Federal,1,20,1,5.0,false
"Gavin Newsom",f26309c8-2525-49b2-bdaf-62980cbb1853,State,2,29,4,13.8,false
"Katy Hall",e1e4e88b-bfd0-4c16-8e95-72c51b59c1f4,State,2,28,3,10.7,false
"Tracy Miller",d2d9d65d-138a-4b40-a4de-88642f35ec15,State,2,28,3,10.7,false
"Candice B. Pierucci",99198363-2ac9-4b56-9d80-7abfe7b2a01a,State,2,28,1,3.6,false
"Cody Harris",c6dcdb47-9bbd-4c9b-9169-77e6082f17b1,State,2,10,1,10.0,false
"Juan Carrillo",b959d608-5674-467e-a1c8-3572c76a729b,State,2,10,1,10.0,false
"Lisa Calderon",0afa998d-94e9-4af4-ba00-256c38869398,State,2,10,1,10.0,false
"Mike Braun",a73e7a2a-48b0-4636-8fa4-5324ede65833,State,2,21,1,4.8,false
"Roland Gutierrez",3aee54f8-89eb-425d-b850-19fff9f2c8ea,State,2,18,1,5.6,false
"Chris Krupa Downs",127b8e69-3900-438c-8361-2cfe24b6c6cf,City,3,3,2,66.7,true
"Monica Rodriguez",7c0d3bdd-a363-4d97-93a9-67034c6a0ead,Local,3,35,8,22.9,false
"Burt Thakur",c11bf372-8190-4b45-b80a-cbd0fb2ba401,City,3,4,1,25.0,false
"Ryan Tubbs",cb9d6924-77d1-49c9-ab3d-778b0201e623,City,3,6,1,16.7,false
"Shun Thomas",4272e5cb-40cf-42d9-a493-ae5ca04301bb,City,3,5,1,20.0,false
