cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,0401,"David Schweikert",R,R,REUSE-NO-ROW,-4001,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Joseph Chaplik",R,R,NEW,-40101,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Jay Feely",R,R,NEW,-40102,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"John Trobough",R,R,NEW,-40103,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Marlene Galán-Woods",D,D,NEW,-40104,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Rick McCartney",D,D,NEW,-40105,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Amish Shah",D,D,NEW,-40106,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Jonathan Treble",D,D,NEW,-40107,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
1,0401,"Christopher Ajluni",IND,IND,NEW,-40108,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
1,0401,"Monica Alponte",L,L,NEW,-40109,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
1,0401,"David Redkey",G,G,NEW,-40110,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
2,0402,"Elijah Crane",R,R,REUSE,-4002,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
2,0402,"Eric Descheenie",D,D,NEW,-40201,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
2,0402,"Jonathan Nez",D,D,NEW,-40202,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
2,0402,"Curtis Goodwin",L,L,NEW,-40203,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
3,0403,"Yassamin Ansari",D,D,REUSE,-4003,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
3,0403,"Alan Aversa",IND,IND,NEW,-40301,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
4,0404,"Greg Stanton",D,D,REUSE,-4004,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
4,0404,"Kai Newkirk",D,D,NEW,-40401,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
4,0404,"Jerone Davison",R,R,NEW,-40402,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
4,0404,"Zuhdi Jasser",R,R,NEW,-40403,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
4,0404,"Tisha Benoit",IND,IND,NEW,-40404,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
4,0404,"John Fillmore",IND,IND,NEW,-40405,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
5,0405,"Andy Biggs",R,R,REUSE-NO-ROW,-4005,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Mark Lamb",R,R,NEW,-40501,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Daniel Keenan",R,R,NEW,-40502,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Blake Bracht",D,D,NEW,-40503,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Brian Hualde",D,D,NEW,-40504,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Chris James",D,D,NEW,-40505,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
5,0405,"Elizabeth Lee",D,D,NEW,-40506,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
6,0406,"Juan Ciscomani",R,R,REUSE,-4006,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
6,0406,"JoAnna Mendoza",D,D,NEW,-40601,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
6,0406,"Iman Bah",IND,IND,NEW,-40602,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
6,0406,"Jereme Peters",L,L,NEW,-40603,false,"Declared indep/L/G (Wikipedia/Ballotpedia); provisional — pre-primary field, cull >= 2026-07-22"
7,0407,"Adelita S. Grijalva",D,D,REUSE,-4007,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
7,0407,"Daniel Butierez",R,R,NEW,-40701,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
8,0408,"Abraham J. Hamadeh",R,R,REUSE,-4008,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
8,0408,"Bernadette Greene-Placentia",D,D,NEW,-40801,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
8,0408,"Raymond Keeler",D,D,NEW,-40802,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
9,0409,"Paul A. Gosar",R,R,REUSE,-4009,true,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
9,0409,"Danielle Sterbinsky",D,D,NEW,-40901,false,"Wikipedia 2026 AZ US House elections (qualified pre-primary field), cross-checked Ballotpedia"
