politician_id,full_name,party,stance_count,office_title,district_type,state,tier,evidence,notes
1ec4f7c5-e01d-490d-8d1e-0e30607a553a,Aaron R. Davidson,Unknown,1,Clerk,COUNTY,ut,3,no_evidence,local official in low-evidence jurisdiction
62fee96f-2c08-4623-9977-ec9f5ec50a84,Ankur Patel,Unknown,1,,,,3,no_evidence,no office record
3e616ef8-0ca7-4171-8d73-2cbb61d696f6,Baine Brooks,Unknown,1,Mayor,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
ec68cd34-0756-4c12-89b9-d1b483cf08e8,Ben Long,Unknown,1,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
2b828401-75d7-4fb4-a3f6-ad1c6f39cc2a,Carolyn David-Graves,Unknown,1,Council Member Place 7,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
094da72b-3f17-4ce8-9c2a-747acd125086,Elizabeth Abraham,Unknown,1,Council Member Place 1,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
c5396e9d-1a97-40ac-a877-4b6512934099,Jeff Hodges,Unknown,1,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
c0bf5333-e271-46db-a5f8-84ced3177b6b,Jené Butler,Unknown,1,Council Member Place 6,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
965000e5-54b5-40d4-9bae-6f70519536db,Ken Oltmann,Unknown,1,Council Member Place 4,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
930b565d-a397-41f5-b03d-0cdebc0e439a,Mindy Koehne,Unknown,1,Council Member Place 5,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
3f5dd4b3-c0b6-470b-861d-41a71637797c,Rob Consalvo,Democratic,1,Representative; 14th Suffolk District,STATE_LOWER,ma,1,plausible,
4405b45a-2829-4cde-9b83-ef3f32e6a50e,Samuel Wolloch Krause,Unknown,1,,,,3,no_evidence,no office record
e8841ac4-bcae-4783-b24a-e6fb82f46da7,Scott Bradley,Unknown,1,Mayor,LOCAL,tx,3,no_evidence,local official in low-evidence jurisdiction
