external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-26002,John Moolenaar,abortion,4,"Moolenaar co-sponsored the Born-Alive Abortion Survivors Protection Act and the Pain-Capable Unborn Child Protection Act (20-week ban with exception for maternal life), and opposes federal abortion funding. He has not backed criminal penalties for patients. His record aligns with restricting abortion to cases involving rape, incest, or serious threats to the mother's life.",https://www.ontheissues.org/MI/John_Moolenaar_Abortion.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,"Life begins at conception. We must protect human life, the foundation of our civilization.","Life begins at conception. We must protect human life, the foundation of our civilization."
-26002,John Moolenaar,healthcare,4,"Moolenaar voted for full ACA repeal in 2015 and consistently advocates for market-based healthcare emphasizing patient choice over government involvement. He supports protecting Medicare benefits for seniors but opposes government mandates or expansion — aligning with helping only the poorest afford care while leaving everyone else to employers and private insurance.",https://www.ontheissues.org/MI/John_Moolenaar_Health_Care.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,"Health care in America should be about choice.","Health care in America should be about choice."
-26002,John Moolenaar,taxes,4,"Moolenaar consistently opposes all tax increases, advocates lowering the burden on all families and businesses, voted to repeal the estate tax, and characterizes the death tax as ""a pernicious double tax."" His record aligns with cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/MI/John_Moolenaar_Tax_Reform.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,"Lower the tax burden on all American families and businesses.","Lower the tax burden on all American families and businesses."
-26002,John Moolenaar,immigration,4,"Moolenaar states that immigration reform must begin with border security, calling a porous southern border a national security threat. He supports requiring undocumented immigrants to return to their country of origin before seeking legal status and voted to ban DACA recipients from the MAVNI military recruitment program — aligning with making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/MI/John_Moolenaar_Immigration.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,"Porous southern border threatens national security.","Porous southern border threatens national security."
-26002,John Moolenaar,deportation,4,"Moolenaar supports requiring undocumented immigrants to return to their country of origin before being eligible for legal status and has backed enhanced interior enforcement measures. His position aligns with deporting all without legal status, starting with criminal records, rather than mass immediate removal regardless of family ties.",https://www.ontheissues.org/MI/John_Moolenaar_Immigration.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,,,
-26002,John Moolenaar,fossil-fuels,4,"Moolenaar explicitly supports building the Keystone XL Pipeline, expanding offshore oil and gas drilling in the Eastern Gulf of Mexico, and advocates an ""all of the above"" energy strategy. His LCV lifetime score is 7% (0% in 2025), confirming near-total opposition to environmental restrictions on fossil fuel development.",https://www.ontheissues.org/MI/John_Moolenaar_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/john-moolenaar,,,,
-26002,John Moolenaar,climate-change,4,"Moolenaar opposes federal CO2 regulation and advocates that free markets should determine what makes sense economically for energy policy. His LCV lifetime score of 7% (0% in 2025 with 33 anti-environment votes) confirms consistent opposition to climate legislation, aligning with letting market forces drive any energy transition.",https://www.ontheissues.org/MI/John_Moolenaar_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/john-moolenaar,,"Our free market will sort out what makes the most sense economically.","Our free market will sort out what makes the most sense economically."
-26002,John Moolenaar,same-sex-marriage,4,"Moolenaar voted against the Respect for Marriage Act in 2022 and signed the First Amendment Defense Act (FADA) protecting those who hold the religious belief that marriage is between one man and one woman. He has not publicly called for a nationwide ban on same-sex marriage, but his record reflects wanting to reserve the institution of marriage for opposite-sex couples while protecting religious objectors.",https://en.wikipedia.org/wiki/John_Moolenaar,https://www.ontheissues.org/MI/John_Moolenaar_Civil_Rights.htm,,,,
-26002,John Moolenaar,civil-rights,4,"Moolenaar voted against the Maloney Amendment prohibiting federal contractors from discriminating based on sexual orientation and gender identity, and signed the FADA prioritizing religious liberty over LGBTQ anti-discrimination protections. His record reflects limiting federal civil rights enforcement to clear cases of discrimination rather than strengthening or mandating broader equity programs.",https://www.ontheissues.org/MI/John_Moolenaar_Civil_Rights.htm,https://en.wikipedia.org/wiki/John_Moolenaar,,,,
-26002,John Moolenaar,religious-freedom,4,"Moolenaar signed the First Amendment Defense Act (FADA), which protects individuals and organizations holding religious beliefs that marriage is the union of one man and one woman, and voted to allow religious exemptions from LGBTQ anti-discrimination requirements for federal contractors. His record aligns with protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/MI/John_Moolenaar_Civil_Rights.htm,https://en.wikipedia.org/wiki/John_Moolenaar,,,,
-26002,John Moolenaar,voting-rights,4,"Moolenaar voted against the For the People Act (2019), which would have expanded early voting, same-day registration, automatic voter registration, and independent redistricting commissions. He supports requiring official state ID for voter registration, aligning with requiring photo ID for voting and regularly updating voter rolls.",https://www.ontheissues.org/MI/John_Moolenaar_Government_Reform.htm,https://en.wikipedia.org/wiki/John_Moolenaar,,,,
-26002,John Moolenaar,school-vouchers,4,"Moolenaar voted YES on the SOAR Act to continue funding the D.C. Opportunity Scholarship voucher program and YES on the A-PLUS Amendment allowing states to use consolidated federal education funds for any lawful purpose including private schooling. His record supports expanding voucher eligibility to most families while maintaining baseline public school funding.",https://www.ontheissues.org/MI/John_Moolenaar_Education.htm,https://www.ontheissues.org/MI/John_Moolenaar.htm,,,,
-26002,John Moolenaar,tariffs,4,"Moolenaar advocates enforcing trade laws against countries with an unfair competitive advantage, and as chair of the House Select Committee on the CCP, has backed targeted tariffs and investment restrictions on China. His position supports increasing tariffs on countries that do not trade fairly rather than imposing universal high tariffs on all imports.",https://www.ontheissues.org/MI/John_Moolenaar_Free_Trade.htm,https://en.wikipedia.org/wiki/John_Moolenaar,,"We must enforce our trade laws so other countries do not have an unfair advantage when competing with our workers.","We must enforce our trade laws so other countries do not have an unfair advantage when competing with our workers."
-26002,John Moolenaar,redistricting,4,"Moolenaar voted against the For the People Act (2019), which included provisions establishing independent, nonpartisan redistricting commissions. His opposition to federally mandated redistricting reform aligns with preferring state legislatures to control district boundaries with court oversight rather than independent commissions.",https://www.ontheissues.org/MI/John_Moolenaar_Government_Reform.htm,https://en.wikipedia.org/wiki/John_Moolenaar,,,,
