full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
Wren M. Williams,abortion,4,"On Jan. 14, 2026, the House passed HJ1 (constitutional right to reproductive freedom) 64-34 on a reported party-line vote with no Republican crossovers noted by Cardinal News or Ballotpedia. As a Republican member, Williams is scored as having voted with the caucus in opposition, consistent with restricting abortion to exceptions for rape, incest, or maternal health rather than a full ban or expansive access.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://en.wikipedia.org/wiki/2026_Virginia_Right_to_Reproductive_Freedom_Amendment,https://lis.virginia.gov/bill-details/20261/HJ1,,,
Wren M. Williams,same-sex-marriage,5,"The House also passed HJ3 (repealing Virginia's Marshall-Newman same-sex marriage ban) the same day; Cardinal News named only three House Republicans (Bloxom, Garrett, McNamara) who crossed over to support it. Williams was not among them, indicating a vote with the caucus to preserve the one-man-one-woman definition in the state constitution.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://en.wikipedia.org/wiki/2026_Virginia_Repeal_Same-Sex_Marriage_Ban_Amendment,https://lis.virginia.gov/bill-details/20261/HJ3,,,
Wren M. Williams,ai-regulation,2,"Williams was chief patron of HB1521 (2026), the 'Digital Innovation & Infrastructure Act,' which declared a right to use technology resources, required any government restriction on technology to survive strict-scrutiny review, and preempted local tech ordinances -- while requiring only a written risk-management policy (not testing or pre-approval) for AI systems used in critical infrastructure. This reflects a light-touch approach that leans on company self-regulation rather than mandatory testing or approval requirements.",https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1521,https://www.vpap.org/legislators/331499-wren-williams/legislation/,,,,
Wren M. Williams,childcare,4,"Williams was chief patron of HB744 (2026), which would have exempted small 'light family day homes' (5-8 children) from full child care licensure while still requiring background checks, CPR/first aid, and basic safety reporting. This reflects a preference for reducing regulation on providers to expand supply and lower costs rather than expanding public subsidies.",https://www.keepinglawsimple.org/states/virginia/bills/2026/HB744,https://www.vpap.org/legislators/331499-wren-williams/legislation/,,,,
Eric J. Phillips,abortion,4,"Phillips' campaign site describes him as 'unapologetically pro-life,' and he voted with the Republican caucus against HJ1 (2026 reproductive-freedom amendment), which passed 64-34 on a reported party-line vote with no Republican crossovers noted by Cardinal News or Ballotpedia. Neither source specifies a no-exceptions ban, so this is scored as support for restricting abortion to cases of rape, incest, or maternal health risk.",https://www.ericphillipsforva.com/,https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://lis.virginia.gov/bill-details/20261/HJ1,"A strong Christian active in his church, Eric is unapologetically pro-life. As the father of three children and a new grandfather, Eric believes life is precious and begins at conception.","A strong Christian active in his church, [he] is unapologetically pro-life. As the father of three children and a new grandfather, [he] believes life is precious and begins at conception.","Chosen because it is Phillips' own forward-looking statement of belief on abortion, not a description of a past vote. Edited only to replace his first name with '[he]' twice so the speaker can't be identified; no other changes."
Eric J. Phillips,same-sex-marriage,5,"Phillips voted against HJ3 (repealing Virginia's same-sex marriage ban); Cardinal News identified only three House Republicans (Bloxom, Garrett, McNamara) who crossed over to support it, and Phillips was not among them.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://en.wikipedia.org/wiki/2026_Virginia_Repeal_Same-Sex_Marriage_Ban_Amendment,https://lis.virginia.gov/bill-details/20261/HJ3,,,
Eric J. Phillips,taxes,4,"Phillips' campaign platform states his 'top priority... has been providing relief to Virginia's middle class by cutting taxes and getting the government out of the way of small businesses,' and he was chief patron of HB1051 (2026), a real-property-tax relief credit for cost-burdened households. This reflects a general tax-cutting orientation rather than raising taxes or a drastic flat-tax overhaul.",https://www.ericphillipsforva.com/,https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1051,,"Eric is a small business owner who understands the unique challenges facing small businesses across Virginia. In Richmond, Eric's top priority has been providing relief to Virginia's middle class by cutting taxes and getting the government out of the way of small businesses.","[He] is a small business owner who understands the unique challenges facing small businesses across Virginia. …[his] top priority has been providing relief to Virginia's middle class by cutting taxes and getting the government out of the way of small businesses.","Chosen because it states his forward-looking tax-cutting priority in his own campaign language. Cut 'In Richmond' (reveals he already holds legislative office) and replaced his name with '[he]'/'[his]'."
Eric J. Phillips,voting-rights,4,"Phillips' campaign site states he is 'leading the charge in fighting for voter ID laws,' consistent with requiring photo ID for voting; he does not call for eliminating mail voting entirely, so this is scored short of the strictest chair.",https://www.ericphillipsforva.com/,,,"Protecting the integrity of our elections is protecting the foundation of our Republic. As Delegate, Eric is leading the charge in fighting for voter ID laws and will stand up to protect our elections from interference.","Protecting the integrity of our elections is protecting the foundation of our Republic. …[He] is leading the charge in fighting for voter ID laws and will stand up to protect our elections from interference.","Chosen because it directly states his forward-looking support for voter ID requirements. Cut the office self-identification 'As Delegate' and his name, replacing both with '[He]'."
Eric J. Phillips,housing,3,"Phillips was chief patron of HB1057 (2026), creating a state Rural Housing Infrastructure Fund providing grants for water/sewer/road improvements to support housing development in rural localities including his own district, and HB1058 (enacted 2026), authorizing industrial/economic development authorities in Halifax, Henry, Pittsylvania, Danville, and Martinsville to finance affordable housing construction via bonds. This reflects support for targeted government assistance for affordable housing rather than a hands-off market approach or direct public housing.",https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1057,https://www.keepinglawsimple.org/states/virginia/bills/2026/HB1058,https://www.vpap.org/legislators/380864-eric-phillips/legislation/,,,
Madison Whittle,abortion,4,"Whittle was sworn in Jan. 14, 2026, the same day the House passed HJ1 (reproductive-freedom amendment) 64-34 on a reported party-line vote with no Republican crossovers noted by Cardinal News or Ballotpedia. His individual vote is not separately confirmed in sources reviewed, but as a Republican member with no documented exception, he is scored as having voted with the caucus in opposition, consistent with restricting abortion to rape/incest/maternal-health exceptions.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://lis.virginia.gov/bill-details/20261/HJ1,,,,
