full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
Joseph P. McNamara,abortion,4,"In the House's Jan-Feb 2026 second-passage votes on the reproductive-freedom constitutional amendment package, McNamara voted No on HJ1 (64-Y, 34-N), HB6 (establishing a statutory right to obtain contraception, 64-Y, 34-N), HB781, and SJ1 (companion resolutions, both 'fundamental right to reproductive freedom'). Consistent opposition to enshrining broad, publicly-funded abortion/reproductive rights, without any found statement supporting a total ban with no exceptions, is most consistent with restricting abortion to cases of rape, incest, or serious maternal health risk.",https://www.vpap.org/legislators/225218-joe-mcnamara/list-votes/close-votes/?session=39,https://en.wikipedia.org/wiki/2026_Virginia_elections,,,,
Joseph P. McNamara,same-sex-marriage,5,"McNamara voted No on SJ3, the constitutional amendment repealing Virginia's Marshall-Newman same-sex marriage prohibition and establishing an affirmative right to marry (House vote 61-Y, 35-N, Feb. 2, 2026). His vote to preserve the existing one-man-one-woman constitutional language, rather than repeal it, aligns with this stance even though the underlying provision is currently unenforceable under Obergefell v. Hodges.",https://www.vpap.org/legislators/225218-joe-mcnamara/list-votes/close-votes/?session=39,https://en.wikipedia.org/wiki/2026_Virginia_elections,,,,
Joseph P. McNamara,redistricting,2,"McNamara voted No on HJ4 (62-Y, 33-N, 1-A, Jan. 2026), a constitutional amendment granting the General Assembly a temporary, trigger-conditioned exception to redraw congressional maps mid-decade (only if another state redistricted outside its normal cycle), rather than leaving map-drawing solely to Virginia's existing bipartisan independent redistricting commission (established 2020). His No vote, on a party-line tally, aligns with House GOP messaging (led by Minority Leader Terry Kilgore) defending that existing commission process over a legislature-drawn mid-decade map.",https://www.vpap.org/legislators/225218-joe-mcnamara/list-votes/close-votes/?session=39,https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,
Joseph P. McNamara,taxes,4,"As chief patron in the 2026 session, McNamara introduced HB12 (increasing the state income tax standard deduction), HB566 (tangible personal property tax relief), and HB13 (sales tax exemption for food and hygiene products) - a consistent slate of targeted tax-cut bills spanning income, property, and sales tax, all of which were killed in committee. This pattern of authored (not just voted) tax-relief legislation reflects support for broad tax cuts.",https://www.vpap.org/legislators/225218-joe-mcnamara/?session=39,,,,,
Jason S. Ballard,abortion,4,"In the House's Jan-Feb 2026 second-passage votes on the reproductive-freedom constitutional amendment package, Ballard voted No on HJ1 (64-Y, 34-N), HB6 (establishing a statutory right to obtain contraception, 64-Y, 34-N), HB781, and SJ1 (companion resolutions, both 'fundamental right to reproductive freedom'). Consistent opposition to enshrining broad, publicly-funded abortion/reproductive rights, without any found statement supporting a total ban with no exceptions, is most consistent with restricting abortion to cases of rape, incest, or serious maternal health risk.",https://www.vpap.org/legislators/374412-jason-ballard/list-votes/close-votes/?session=39,https://en.wikipedia.org/wiki/2026_Virginia_elections,,,,
Jason S. Ballard,same-sex-marriage,5,"Ballard voted No on SJ3, the constitutional amendment repealing Virginia's Marshall-Newman same-sex marriage prohibition and establishing an affirmative right to marry (House vote 61-Y, 32-N, Feb. 2, 2026). His vote to preserve the existing one-man-one-woman constitutional language, rather than repeal it, aligns with this stance even though the underlying provision is currently unenforceable under Obergefell v. Hodges.",https://www.vpap.org/legislators/374412-jason-ballard/list-votes/close-votes/?session=39,https://en.wikipedia.org/wiki/2026_Virginia_elections,,,,
Jason S. Ballard,redistricting,2,"Ballard voted No on HJ4 (62-Y, 33-N, 1-A, Jan. 2026), a constitutional amendment granting the General Assembly a temporary, trigger-conditioned exception to redraw congressional maps mid-decade (only if another state redistricted outside its normal cycle), rather than leaving map-drawing solely to Virginia's existing bipartisan independent redistricting commission (established 2020). His No vote, on a party-line tally, aligns with House GOP messaging (led by Minority Leader Terry Kilgore) defending that existing commission process over a legislature-drawn mid-decade map.",https://www.vpap.org/legislators/374412-jason-ballard/list-votes/close-votes/?session=39,https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,
James W. Morefield,abortion,4,"Voted against HJ1, Virginia's constitutional amendment protecting abortion access, on its Jan. 15, 2026 second-passage vote (64-34, along party lines, with no Southwest Virginia Republican among the handful of GOP crossovers that day). His 2017 campaign platform pledged to oppose abortion rights and protect ""the lives of the unborn."" No bill or statement was found specifying a rape/incest/life-of-mother exception carve-out, so this is scored at the mainstream restrictive chair rather than a total, no-exceptions ban.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://ballotpedia.org/James_Morefield,,"As a new father who looks into the innocent and trusting eyes of our newborn daughter, I know the value of protecting the lives of the unborn. Our U.S. Constitution guarantees Life, Liberty and the Pursuit of happiness. As your state delegate, I will always passionately defend life.","As a new father…, I know the value of protecting the lives of the unborn. Our U.S. Constitution guarantees Life, Liberty and the Pursuit of happiness. …I will always passionately defend life.","Chosen because it is Morefield's own forward-looking pledge, in his own campaign platform, directly on the abortion question. Edited: cut the personal detail about his newborn daughter and the self-identifying phrase 'As your state delegate'; otherwise verbatim."
James W. Morefield,same-sex-marriage,5,"Voted against HJ3 on its Jan. 15, 2026 second passage (67-31), the amendment that would have repealed Virginia's existing constitutional definition of marriage as between one man and one woman (the Marshall-Newman provision) and replaced it with a marriage-equality guarantee. He was not among the three Republicans (Bloxom, Garrett, McNamara) who crossed over to support it, indicating he voted to keep the one-man-one-woman definition in the state constitution.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
James W. Morefield,redistricting,2,"Voted against HJ4 on its Jan. 15, 2026 second passage (62-33), which would have let the sitting legislature draw new congressional maps directly for the rest of the decade, bypassing Virginia's existing bipartisan independent redistricting commission (established 2020) for one cycle. GOP opposition was framed by Minority Leader Terry Kilgore as defending ""the Virginia way"" — the existing commission process — rather than adopting a legislature-drawn map the way other states did; the resulting map, had it survived, was projected to give one party roughly 10 of 11 congressional seats despite that party's opponents winning about 47.6% of the statewide vote in 2024.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://cardinalnews.org/2026/04/29/law-professor-cooking-virginias-referendum-on-partisan-gerrymandering/,,,,
