# NM + NE 165-04 reconciliation. DECIDED fields, NOT PROVISIONAL. NE-2 OPEN (Bacon retired -> NO-ROW). EXCLUDED pending-independents (Pitfall 5, NE petition window to 2026-08-01 -> Phase 167): NE-1 Austin Ahlman, NE-3 Macey Budke, NE-3 Mark Cohen.
state,cd,geo_id,full_name,party_from_field,decision,pid_or_external_id,is_incumbent,source
NM,1,3501,"Melanie A. Stansbury",Democratic,REUSE-INCUMBENT,-35001,true,"NM SoS"
NM,1,3501,"Didi Okpareke",Republican,NEW,-350126,false,"NM SoS"
NM,2,3502,"Gabe Vasquez",Democratic,REUSE-INCUMBENT,-35002,true,"NM SoS"
NM,2,3502,"Greg Cunningham",Republican,NEW,-350251,false,"NM SoS"
NM,3,3503,"Teresa Leger Fernandez",Democratic,REUSE-INCUMBENT,-35003,true,"NM SoS"
NM,3,3503,"Martin Zamora",Republican,NEW,-350382,false,"NM SoS"
NE,1,3101,"Mike Flood",Republican,REUSE-INCUMBENT,-31001,true,"NE SoS"
NE,1,3101,"Chris Backemeyer",Democratic,NEW,-310101,false,"NE SoS"
NE,1,3101,"Nik Sandman",Libertarian,NEW,-310102,false,"NE SoS"
NE,1,3101,"Austin Ahlman",Independent,EXCLUDE-PENDING-PETITION (167),,false,"NE petition window to 2026-08-01"
NE,2,3102,"Don Bacon",Republican,RETIRED-NO-ROW,0cc444a0-2ae6-48c3-ac8c-a99f45f1e14c,false,"retired 2025-06-30"
NE,2,3102,"Brinker Harding",Republican,NEW,-310201,false,"NE SoS"
NE,2,3102,"Denise Powell",Democratic,NEW,-310202,false,"NE SoS"
NE,2,3102,"Eric Foreman",Libertarian,NEW,-310203,false,"NE SoS"
NE,3,3103,"Adrian Smith",Republican,REUSE-INCUMBENT,-31003,true,"NE SoS"
NE,3,3103,"Becky Stille",Democratic,NEW,-310360,false,"NE SoS"
NE,3,3103,"David Else",Legal Marijuana NOW,NEW,-310361,false,"NE SoS"
NE,3,3103,"Macey Budke",Independent,EXCLUDE-PENDING-PETITION (167),,false,"NE petition window to 2026-08-01"
NE,3,3103,"Mark Cohen",Independent,EXCLUDE-PENDING-PETITION (167),,false,"NE petition window to 2026-08-01"
